condition,date,county,state,fips,illness
observed,2020-02-16,Aleutians East Borough,AK,02013,7.189985075213503
observed,2020-02-17,Aleutians East Borough,AK,02013,6.989985068267165
observed,2020-02-18,Aleutians East Borough,AK,02013,6.840000237564767
observed,2020-02-19,Aleutians East Borough,AK,02013,6.760000234786232
observed,2020-02-20,Aleutians East Borough,AK,02013,6.530015401305298
observed,2020-02-21,Aleutians East Borough,AK,02013,6.240000216725752
observed,2020-02-22,Aleutians East Borough,AK,02013,6.2699850432603474
observed,2020-02-23,Aleutians East Borough,AK,02013,6.040000209779413
observed,2020-02-24,Aleutians East Borough,AK,02013,5.909985030756938
observed,2020-02-25,Aleutians East Borough,AK,02013,5.76000020005454
observed,2020-02-26,Aleutians East Borough,AK,02013,5.549985018253531
observed,2020-02-27,Aleutians East Borough,AK,02013,5.370015361016537
observed,2020-02-28,Aleutians East Borough,AK,02013,5.179969830895449
observed,2020-02-29,Aleutians East Borough,AK,02013,5.029985000193051
observed,2020-03-01,Aleutians East Borough,AK,02013,5.040000175047722
observed,2020-03-02,Aleutians East Borough,AK,02013,5.1099850029715865
observed,2020-03-03,Aleutians East Borough,AK,02013,5.149985004360854
observed,2020-03-04,Aleutians East Borough,AK,02013,5.179969830895449
observed,2020-03-05,Aleutians East Borough,AK,02013,5.0900153512916635
observed,2020-03-06,Aleutians East Borough,AK,02013,4.960000172269188
observed,2020-03-07,Aleutians East Borough,AK,02013,4.920000170879919
observed,2020-03-08,Aleutians East Borough,AK,02013,5.080000176436991
observed,2020-03-09,Aleutians East Borough,AK,02013,5.139969829506182
observed,2020-03-10,Aleutians East Borough,AK,02013,5.160000179215525
observed,2020-03-11,Aleutians East Borough,AK,02013,4.97001534712386
observed,2020-03-12,Aleutians East Borough,AK,02013,5.040000175047722
observed,2020-03-13,Aleutians East Borough,AK,02013,5.120000177826259
observed,2020-03-14,Aleutians East Borough,AK,02013,5.1899850057501205
observed,2020-03-15,Aleutians East Borough,AK,02013,5.149985004360854
observed,2020-03-16,Aleutians East Borough,AK,02013,5.200000180604793
observed,2020-03-17,Aleutians East Borough,AK,02013,4.960000172269188
observed,2020-03-18,Aleutians East Borough,AK,02013,4.940030520589265
observed,2020-03-19,Aleutians East Borough,AK,02013,4.980030521978533
observed,2020-03-20,Aleutians East Borough,AK,02013,4.669984987689641
observed,2020-03-21,Aleutians East Borough,AK,02013,4.090015316559972
observed,2020-03-22,Aleutians East Borough,AK,02013,3.6800001278126224
observed,2020-03-23,Aleutians East Borough,AK,02013,3.400000118087749
observed,2020-03-24,Aleutians East Borough,AK,02013,3.010015279049746
observed,2020-03-25,Aleutians East Borough,AK,02013,2.690015267935605
observed,2020-03-26,Aleutians East Borough,AK,02013,2.269984904333583
observed,2020-03-27,Aleutians East Borough,AK,02013,1.88000006529558
observed,2020-03-28,Aleutians East Borough,AK,02013,1.6000000555707066
observed,2020-03-29,Aleutians East Borough,AK,02013,1.5099848779374985
observed,2020-03-30,Aleutians East Borough,AK,02013,1.4400000500136345
observed,2020-03-31,Aleutians East Borough,AK,02013,1.320000045845833
observed,2020-04-01,Aleutians East Borough,AK,02013,1.2100152165327018
observed,2020-04-02,Aleutians East Borough,AK,02013,1.109984864044822
observed,2020-04-03,Aleutians East Borough,AK,02013,0.9399696836330779
observed,2020-04-04,Aleutians East Borough,AK,02013,0.8199696794652747
observed,2020-04-05,Aleutians East Borough,AK,02013,0.7000303733268941
observed,2020-04-06,Aleutians East Borough,AK,02013,0.640000022228283
observed,2020-04-07,Aleutians East Borough,AK,02013,0.5300151929151518
observed,2020-04-08,Aleutians East Borough,AK,02013,0.48000001667121095
observed,2020-04-09,Aleutians East Borough,AK,02013,0.4100151887473486
observed,2020-04-10,Aleutians East Borough,AK,02013,0.3899848390380046
observed,2020-04-11,Aleutians East Borough,AK,02013,0.33001518596881435
observed,2020-04-12,Aleutians East Borough,AK,02013,0.2699848348702015
observed,2020-04-13,Aleutians East Borough,AK,02013,0.2299848334809326
observed,2020-04-14,Aleutians East Borough,AK,02013,0.1700151804117423
observed,2020-04-15,Aleutians East Borough,AK,02013,0.10003035248788
observed,2020-04-16,Aleutians East Borough,AK,02013,0.0
observed,2020-04-17,Aleutians East Borough,AK,02013,0.0
observed,2020-04-18,Aleutians East Borough,AK,02013,0.010015174854671991
observed,2020-04-19,Aleutians East Borough,AK,02013,0.010015174854671991
observed,2020-04-20,Aleutians East Borough,AK,02013,0.01996965167992316
observed,2020-04-21,Aleutians East Borough,AK,02013,0.0
observed,2020-04-22,Aleutians East Borough,AK,02013,0.01996965167992316
