condition,date,county,state,fips,illness
observed,2020-02-16,Autauga County,AL,01001,5.2900153582380005
observed,2020-02-17,Autauga County,AL,01001,5.490000190676983
observed,2020-02-18,Autauga County,AL,01001,5.260015357196051
observed,2020-02-19,Autauga County,AL,01001,5.680015371783361
observed,2020-02-20,Autauga County,AL,01001,5.659985022074015
observed,2020-02-21,Autauga County,AL,01001,5.430000188593082
observed,2020-02-22,Autauga County,AL,01001,5.160000179215525
observed,2020-02-23,Autauga County,AL,01001,5.100000177131624
observed,2020-02-24,Autauga County,AL,01001,4.360015325937528
observed,2020-02-25,Autauga County,AL,01001,4.360015325937528
observed,2020-02-26,Autauga County,AL,01001,4.1299849689345285
observed,2020-02-27,Autauga County,AL,01001,3.6600001271179887
observed,2020-02-28,Autauga County,AL,01001,3.4200001187823834
observed,2020-02-29,Autauga County,AL,01001,3.8200153071824157
observed,2020-03-01,Autauga County,AL,01001,3.850015308224366
observed,2020-03-02,Autauga County,AL,01001,3.8400001333696934
observed,2020-03-03,Autauga County,AL,01001,4.090015316559971
observed,2020-03-04,Autauga County,AL,01001,3.799984957473071
observed,2020-03-05,Autauga County,AL,01001,3.790015306140464
observed,2020-03-06,Autauga County,AL,01001,4.050000140663348
observed,2020-03-07,Autauga County,AL,01001,3.949984962682824
observed,2020-03-08,Autauga County,AL,01001,3.930000136495546
observed,2020-03-09,Autauga County,AL,01001,3.889984960598922
observed,2020-03-10,Autauga County,AL,01001,4.120015317601922
observed,2020-03-11,Autauga County,AL,01001,3.6600001271179887
observed,2020-03-12,Autauga County,AL,01001,4.230000146915053
observed,2020-03-13,Autauga County,AL,01001,4.450015329063381
observed,2020-03-14,Autauga County,AL,01001,4.339984976228184
observed,2020-03-15,Autauga County,AL,01001,4.800000166712117
observed,2020-03-16,Autauga County,AL,01001,5.160000179215525
observed,2020-03-17,Autauga County,AL,01001,4.969984998109149
observed,2020-03-18,Autauga County,AL,01001,4.810015341566789
observed,2020-03-19,Autauga County,AL,01001,4.800000166712117
observed,2020-03-20,Autauga County,AL,01001,4.5600001583765115
observed,2020-03-21,Autauga County,AL,01001,3.9700153123921686
observed,2020-03-22,Autauga County,AL,01001,3.850015308224366
observed,2020-03-23,Autauga County,AL,01001,3.790015306140464
