condition,date,county,state,fips,illness
observed,2020-02-16,Arkansas County,AR,05001,8.73996995454027
observed,2020-02-17,Arkansas County,AR,05001,8.990030661252614
observed,2020-02-18,Arkansas County,AR,05001,8.660007888030123
observed,2020-02-19,Arkansas County,AR,05001,8.23998511168178
observed,2020-02-20,Arkansas County,AR,05001,8.01996992953345
observed,2020-02-21,Arkansas County,AR,05001,7.629992677749125
observed,2020-02-22,Arkansas County,AR,05001,7.119969898274929
observed,2020-02-23,Arkansas County,AR,05001,7.470000259445733
observed,2020-02-24,Arkansas County,AR,05001,7.740000268823289
observed,2020-02-25,Arkansas County,AR,05001,7.409977495600796
observed,2020-02-26,Arkansas County,AR,05001,7.040007831764783
observed,2020-02-27,Arkansas County,AR,05001,7.800023032668224
observed,2020-02-28,Arkansas County,AR,05001,7.389969907652486
observed,2020-02-29,Arkansas County,AR,05001,7.0600154197130935
observed,2020-03-01,Arkansas County,AR,05001,8.660007888030123
observed,2020-03-02,Arkansas County,AR,05001,8.370000290704255
observed,2020-03-03,Arkansas County,AR,05001,8.300007875526715
observed,2020-03-04,Arkansas County,AR,05001,7.789985096052518
observed,2020-03-05,Arkansas County,AR,05001,7.0200002438164715
observed,2020-03-06,Arkansas County,AR,05001,6.990023004535555
observed,2020-03-07,Arkansas County,AR,05001,6.840000237564768
observed,2020-03-08,Arkansas County,AR,05001,6.95000782863893
observed,2020-03-09,Arkansas County,AR,05001,6.259985042913031
observed,2020-03-10,Arkansas County,AR,05001,5.8799774424613105
observed,2020-03-11,Arkansas County,AR,05001,5.449985014780362
observed,2020-03-12,Arkansas County,AR,05001,5.210030529966822
observed,2020-03-13,Arkansas County,AR,05001,4.940030520589264
observed,2020-03-14,Arkansas County,AR,05001,4.88000775674433
observed,2020-03-15,Arkansas County,AR,05001,4.3100304987083
observed,2020-03-16,Arkansas County,AR,05001,5.240007769247739
observed,2020-03-17,Arkansas County,AR,05001,5.190022942018509
observed,2020-03-18,Arkansas County,AR,05001,5.3399774237061965
observed,2020-03-19,Arkansas County,AR,05001,5.640022957647771
observed,2020-03-20,Arkansas County,AR,05001,5.510007778625296
observed,2020-03-21,Arkansas County,AR,05001,5.330007772373592
observed,2020-03-22,Arkansas County,AR,05001,4.799977404951084
observed,2020-03-23,Arkansas County,AR,05001,4.740022926389249
observed,2020-03-24,Arkansas County,AR,05001,3.5300077098565468
observed,2020-03-25,Arkansas County,AR,05001,3.719977367440858
observed,2020-03-26,Arkansas County,AR,05001,3.449977358063301
observed,2020-03-27,Arkansas County,AR,05001,3.1299925214565145
observed,2020-03-28,Arkansas County,AR,05001,2.3600076692204692
observed,2020-03-29,Arkansas County,AR,05001,2.209984902249682
observed,2020-03-30,Arkansas County,AR,05001,2.0900076598429123
observed,2020-03-31,Arkansas County,AR,05001,2.0900076598429123
observed,2020-04-01,Arkansas County,AR,05001,1.910007653591208
observed,2020-04-02,Arkansas County,AR,05001,1.800000062517045
observed,2020-04-03,Arkansas County,AR,05001,1.2500303924293257
observed,2020-04-04,Arkansas County,AR,05001,0.8300076160809815
observed,2020-04-05,Arkansas County,AR,05001,1.0500227982293096
observed,2020-04-06,Arkansas County,AR,05001,1.1200152134068486
observed,2020-04-07,Arkansas County,AR,05001,0.9699924464360634
observed,2020-04-08,Arkansas County,AR,05001,0.7800227888517525
observed,2020-04-09,Arkansas County,AR,05001,0.7899924401843574
observed,2020-04-10,Arkansas County,AR,05001,0.5800151946517363
observed,2020-04-11,Arkansas County,AR,05001,0.6000227826000484
observed,2020-04-12,Arkansas County,AR,05001,0.6599772611618823
observed,2020-04-13,Arkansas County,AR,05001,0.29000759732586917
observed,2020-04-14,Arkansas County,AR,05001,0.24002277009663828
observed,2020-04-15,Arkansas County,AR,05001,0.0
observed,2020-04-16,Arkansas County,AR,05001,0.0
observed,2020-04-17,Arkansas County,AR,05001,0.0
observed,2020-04-18,Arkansas County,AR,05001,0.0
observed,2020-04-19,Arkansas County,AR,05001,0.0
observed,2020-04-20,Arkansas County,AR,05001,0.0
observed,2020-04-21,Arkansas County,AR,05001,0.0
observed,2020-04-22,Arkansas County,AR,05001,0.0
