condition,date,county,state,fips,illness
observed,2020-02-16,Apache County,AZ,04001,4.739984990120861
observed,2020-02-17,Apache County,AZ,04001,4.560015332883867
observed,2020-02-18,Apache County,AZ,04001,4.510015331147282
observed,2020-02-19,Apache County,AZ,04001,4.089984967545261
observed,2020-02-20,Apache County,AZ,04001,4.150000144136518
observed,2020-02-21,Apache County,AZ,04001,4.060015315518021
observed,2020-02-22,Apache County,AZ,04001,4.180007732432147
observed,2020-02-23,Apache County,AZ,04001,4.150000144136518
observed,2020-02-24,Apache County,AZ,04001,4.080007728958978
observed,2020-02-25,Apache County,AZ,04001,3.7500001302438415
observed,2020-02-26,Apache County,AZ,04001,3.660015301625345
observed,2020-02-27,Apache County,AZ,04001,3.580007711593132
observed,2020-02-28,Apache County,AZ,04001,2.9699925158994445
observed,2020-02-29,Apache County,AZ,04001,3.08998493281357
observed,2020-03-01,Apache County,AZ,04001,3.2800077011736253
observed,2020-03-02,Apache County,AZ,04001,3.2100152859960844
observed,2020-03-03,Apache County,AZ,04001,3.0600152807863306
observed,2020-03-04,Apache County,AZ,04001,3.2600152877326685
observed,2020-03-05,Apache County,AZ,04001,3.5399849484428305
observed,2020-03-06,Apache County,AZ,04001,3.6399849519159995
observed,2020-03-07,Apache County,AZ,04001,3.4600152946790064
observed,2020-03-08,Apache County,AZ,04001,3.7399849553891698
observed,2020-03-09,Apache County,AZ,04001,4.080007728958978
observed,2020-03-10,Apache County,AZ,04001,4.4199925662603965
observed,2020-03-11,Apache County,AZ,04001,3.930007723749224
observed,2020-03-12,Apache County,AZ,04001,3.9100153103082684
observed,2020-03-13,Apache County,AZ,04001,3.7399849553891698
observed,2020-03-14,Apache County,AZ,04001,3.9699925506311358
observed,2020-03-15,Apache County,AZ,04001,3.6100152998887602
observed,2020-03-16,Apache County,AZ,04001,3.2399849380233237
observed,2020-03-17,Apache County,AZ,04001,3.46999253326529
observed,2020-03-18,Apache County,AZ,04001,3.3600152912058374
observed,2020-03-19,Apache County,AZ,04001,3.9699925506311358
observed,2020-03-20,Apache County,AZ,04001,3.589984950179416
observed,2020-03-21,Apache County,AZ,04001,3.3500001163511657
observed,2020-03-22,Apache County,AZ,04001,3.2899849397599077
observed,2020-03-23,Apache County,AZ,04001,3.4500001198243346
observed,2020-03-24,Apache County,AZ,04001,3.1600152842594995
observed,2020-03-25,Apache County,AZ,04001,2.839984924130647
observed,2020-03-26,Apache County,AZ,04001,2.450000085092643
observed,2020-03-27,Apache County,AZ,04001,1.569992467275077
observed,2020-03-28,Apache County,AZ,04001,1.2399848685599417
observed,2020-03-29,Apache County,AZ,04001,1.0800076247639039
observed,2020-03-30,Apache County,AZ,04001,0.8800076178175661
observed,2020-03-31,Apache County,AZ,04001,0.7199924377531404
observed,2020-04-01,Apache County,AZ,04001,0.7300076126078121
observed,2020-04-02,Apache County,AZ,04001,0.6600151974302716
observed,2020-04-03,Apache County,AZ,04001,0.6399848477209269
observed,2020-04-04,Apache County,AZ,04001,0.8899848564038498
observed,2020-04-05,Apache County,AZ,04001,0.6199924342799703
observed,2020-04-06,Apache County,AZ,04001,0.6600151974302716
observed,2020-04-07,Apache County,AZ,04001,0.93000761955415
observed,2020-04-08,Apache County,AZ,04001,0.9500000329951066
observed,2020-04-09,Apache County,AZ,04001,1.0399848616136027
observed,2020-04-10,Apache County,AZ,04001,0.9000000312585216
observed,2020-04-11,Apache County,AZ,04001,0.7600152009034405
observed,2020-04-12,Apache County,AZ,04001,0.7699924394897243
observed,2020-04-13,Apache County,AZ,04001,0.5600151939571026
observed,2020-04-14,Apache County,AZ,04001,0.339984837301419
observed,2020-04-15,Apache County,AZ,04001,0.2300075952419663
observed,2020-04-16,Apache County,AZ,04001,0.3600151870107647
observed,2020-04-17,Apache County,AZ,04001,0.46999242907021743
observed,2020-04-18,Apache County,AZ,04001,0.48000760392488917
observed,2020-04-19,Apache County,AZ,04001,0.46999242907021743
observed,2020-04-20,Apache County,AZ,04001,0.43000760218830525
observed,2020-04-21,Apache County,AZ,04001,0.48000760392488917
observed,2020-04-22,Apache County,AZ,04001,0.6399848477209269
observed,2020-04-23,Apache County,AZ,04001,0.6899848494575108
observed,2020-04-24,Apache County,AZ,04001,0.6199924342799703
observed,2020-04-25,Apache County,AZ,04001,0.43998484077458905
observed,2020-04-26,Apache County,AZ,04001,0.31999242386046345
observed,2020-04-27,Apache County,AZ,04001,0.3100151852741797
observed,2020-04-28,Apache County,AZ,04001,0.339984837301419
