condition,date,county,state,fips,illness
observed,2020-02-16,Alameda County,CA,06001,6.669985057153024
observed,2020-02-17,Alameda County,CA,06001,6.699969883687619
observed,2020-02-18,Alameda County,CA,06001,6.739969885076887
observed,2020-02-19,Alameda County,CA,06001,7.0699850710457
observed,2020-02-20,Alameda County,CA,06001,6.800000236175499
observed,2020-02-21,Alameda County,CA,06001,6.680000232007696
observed,2020-02-22,Alameda County,CA,06001,6.800000236175499
observed,2020-02-23,Alameda County,CA,06001,6.549985052985221
observed,2020-02-24,Alameda County,CA,06001,6.259969868405675
observed,2020-02-25,Alameda County,CA,06001,6.2699850432603474
observed,2020-02-26,Alameda County,CA,06001,6.1700153888018905
observed,2020-02-27,Alameda County,CA,06001,5.930015380466283
observed,2020-02-28,Alameda County,CA,06001,5.570015367962874
observed,2020-02-29,Alameda County,CA,06001,5.459969840620322
observed,2020-03-01,Alameda County,CA,06001,5.320000184772596
observed,2020-03-02,Alameda County,CA,06001,5.379969837841786
observed,2020-03-03,Alameda County,CA,06001,5.589985019642797
observed,2020-03-04,Alameda County,CA,06001,5.6200305442068155
observed,2020-03-05,Alameda County,CA,06001,5.939969857291533
observed,2020-03-06,Alameda County,CA,06001,6.019969860070069
observed,2020-03-07,Alameda County,CA,06001,5.939969857291533
observed,2020-03-08,Alameda County,CA,06001,6.029985034924741
observed,2020-03-09,Alameda County,CA,06001,5.859969854512999
observed,2020-03-10,Alameda County,CA,06001,5.850015377687748
observed,2020-03-11,Alameda County,CA,06001,5.570015367962874
observed,2020-03-12,Alameda County,CA,06001,5.81001537629848
observed,2020-03-13,Alameda County,CA,06001,5.81996985312373
observed,2020-03-14,Alameda County,CA,06001,5.610015369352143
observed,2020-03-15,Alameda County,CA,06001,5.469985015474994
observed,2020-03-16,Alameda County,CA,06001,5.450015363795071
observed,2020-03-17,Alameda County,CA,06001,4.890015344345324
observed,2020-03-18,Alameda County,CA,06001,4.7700153401775225
observed,2020-03-19,Alameda County,CA,06001,4.890015344345324
observed,2020-03-20,Alameda County,CA,06001,4.509984982132571
observed,2020-03-21,Alameda County,CA,06001,3.5099849474008797
observed,2020-03-22,Alameda County,CA,06001,2.8500152734926756
observed,2020-03-23,Alameda County,CA,06001,2.429984909890653
observed,2020-03-24,Alameda County,CA,06001,2.290015254042929
observed,2020-03-25,Alameda County,CA,06001,2.0900152470965896
observed,2020-03-26,Alameda County,CA,06001,1.6699848834945688
observed,2020-03-27,Alameda County,CA,06001,1.30003039416591
observed,2020-03-28,Alameda County,CA,06001,1.250015217921969
observed,2020-03-29,Alameda County,CA,06001,1.2800000444565642
observed,2020-03-30,Alameda County,CA,06001,1.2800000444565642
observed,2020-03-31,Alameda County,CA,06001,1.2100152165327018
observed,2020-04-01,Alameda County,CA,06001,1.240000043067297
observed,2020-04-02,Alameda County,CA,06001,1.160000040288761
observed,2020-04-03,Alameda County,CA,06001,1.0100152095863628
observed,2020-04-04,Alameda County,CA,06001,1.0900152123648987
observed,2020-04-05,Alameda County,CA,06001,0.5700151943044189
observed,2020-04-06,Alameda County,CA,06001,0.44000001528194377
observed,2020-04-07,Alameda County,CA,06001,0.33996966279406376
observed,2020-04-08,Alameda County,CA,06001,0.5700151943044189
observed,2020-04-09,Alameda County,CA,06001,0.4299848404272718
observed,2020-04-10,Alameda County,CA,06001,0.6100151956936878
observed,2020-04-11,Alameda County,CA,06001,0.650015197082955
observed,2020-04-12,Alameda County,CA,06001,0.640000022228283
observed,2020-04-13,Alameda County,CA,06001,0.640000022228283
observed,2020-04-14,Alameda County,CA,06001,0.600000020839014
