condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,CO,08001,4.730007751534577
observed,2020-02-17,Adams County,CO,08001,4.619992573206735
observed,2020-02-18,Adams County,CO,08001,4.400000152819441
observed,2020-02-19,Adams County,CO,08001,4.039984965808676
observed,2020-02-20,Adams County,CO,08001,4.469992567996981
observed,2020-02-21,Adams County,CO,08001,4.900000170185286
observed,2020-02-22,Adams County,CO,08001,4.8899849953306145
observed,2020-02-23,Adams County,CO,08001,4.739984990120861
observed,2020-02-24,Adams County,CO,08001,4.900000170185286
observed,2020-02-25,Adams County,CO,08001,4.650000161502364
observed,2020-02-26,Adams County,CO,08001,4.650000161502364
observed,2020-02-27,Adams County,CO,08001,4.769992578416488
observed,2020-02-28,Adams County,CO,08001,3.680007715066301
observed,2020-02-29,Adams County,CO,08001,3.9899849640720917
observed,2020-03-01,Adams County,CO,08001,3.589984950179416
observed,2020-03-02,Adams County,CO,08001,3.960015312044852
observed,2020-03-03,Adams County,CO,08001,4.100000142399933
observed,2020-03-04,Adams County,CO,08001,4.210015320727775
observed,2020-03-05,Adams County,CO,08001,4.410015327674113
observed,2020-03-06,Adams County,CO,08001,4.250000147609687
observed,2020-03-07,Adams County,CO,08001,3.930007723749224
observed,2020-03-08,Adams County,CO,08001,4.2699925610506435
observed,2020-03-09,Adams County,CO,08001,4.83998499359403
observed,2020-03-10,Adams County,CO,08001,4.700000163238948
observed,2020-03-11,Adams County,CO,08001,4.519992569733566
observed,2020-03-12,Adams County,CO,08001,4.450000154556026
observed,2020-03-13,Adams County,CO,08001,4.4199925662603965
observed,2020-03-14,Adams County,CO,08001,4.56999257147015
observed,2020-03-15,Adams County,CO,08001,3.860015308571683
observed,2020-03-16,Adams County,CO,08001,3.669992540211629
observed,2020-03-17,Adams County,CO,08001,3.5100152964155913
observed,2020-03-18,Adams County,CO,08001,3.200000111141412
observed,2020-03-19,Adams County,CO,08001,3.7399849553891698
observed,2020-03-20,Adams County,CO,08001,3.3199925280555362
observed,2020-03-21,Adams County,CO,08001,3.3800077046467942
observed,2020-03-22,Adams County,CO,08001,3.269992526318952
observed,2020-03-23,Adams County,CO,08001,3.419992531528706
observed,2020-03-24,Adams County,CO,08001,3.1600152842594995
observed,2020-03-25,Adams County,CO,08001,2.9000001007219036
observed,2020-03-26,Adams County,CO,08001,2.53998491371114
observed,2020-03-27,Adams County,CO,08001,2.060015246054639
observed,2020-03-28,Adams County,CO,08001,1.6000000555707052
observed,2020-03-29,Adams County,CO,08001,1.6000000555707052
observed,2020-03-30,Adams County,CO,08001,1.6500000573072904
observed,2020-03-31,Adams County,CO,08001,1.7300076473395036
observed,2020-04-01,Adams County,CO,08001,1.4300076369199959
observed,2020-04-02,Adams County,CO,08001,1.169992453382401
observed,2020-04-03,Adams County,CO,08001,0.9699924464360622
observed,2020-04-04,Adams County,CO,08001,0.7899848529306809
observed,2020-04-05,Adams County,CO,08001,0.8100152026400255
observed,2020-04-06,Adams County,CO,08001,0.6100151956936876
observed,2020-04-07,Adams County,CO,08001,0.7000000243121837
observed,2020-04-08,Adams County,CO,08001,0.6100151956936876
observed,2020-04-09,Adams County,CO,08001,0.5300076056614742
observed,2020-04-10,Adams County,CO,08001,0.4500000156292608
observed,2020-04-11,Adams County,CO,08001,0.43998484077458905
observed,2020-04-12,Adams County,CO,08001,0.5300076056614742
observed,2020-04-13,Adams County,CO,08001,0.28998483556483506
observed,2020-04-14,Adams County,CO,08001,0.1899848320916661
observed,2020-04-15,Adams County,CO,08001,0.0800075900322134
observed,2020-04-16,Adams County,CO,08001,0.0
observed,2020-04-17,Adams County,CO,08001,0.16001518006442575
observed,2020-04-18,Adams County,CO,08001,0.06001517659125679
observed,2020-04-19,Adams County,CO,08001,0.06999241517754055
observed,2020-04-20,Adams County,CO,08001,0.030007588295628395
observed,2020-04-21,Adams County,CO,08001,0.0800075900322134
observed,2020-04-22,Adams County,CO,08001,0.28998483556483506
observed,2020-04-23,Adams County,CO,08001,0.46999242907021743
observed,2020-04-24,Adams County,CO,08001,0.5000000173658458
observed,2020-04-25,Adams County,CO,08001,0.3800076004517203
observed,2020-04-26,Adams County,CO,08001,0.2600151835375958
observed,2020-04-27,Adams County,CO,08001,0.1899848320916661
observed,2020-04-28,Adams County,CO,08001,0.1699924186507095
observed,2020-04-29,Adams County,CO,08001,0.0
observed,2020-04-30,Adams County,CO,08001,0.0
observed,2020-05-01,Adams County,CO,08001,0.0
observed,2020-05-02,Adams County,CO,08001,0.0
observed,2020-05-03,Adams County,CO,08001,0.0
observed,2020-05-04,Adams County,CO,08001,0.18000759350538234
observed,2020-05-05,Adams County,CO,08001,0.039984826881912156
observed,2020-05-06,Adams County,CO,08001,0.0
observed,2020-05-07,Adams County,CO,08001,0.0
observed,2020-05-08,Adams County,CO,08001,0.039984826881912156
observed,2020-05-09,Adams County,CO,08001,0.0
observed,2020-05-10,Adams County,CO,08001,0.0
observed,2020-05-11,Adams County,CO,08001,0.0
observed,2020-05-12,Adams County,CO,08001,0.0
observed,2020-05-13,Adams County,CO,08001,0.0
observed,2020-05-14,Adams County,CO,08001,0.06999241517754055
observed,2020-05-15,Adams County,CO,08001,0.1100151783278418
observed,2020-05-16,Adams County,CO,08001,0.1399848303550811
observed,2020-05-17,Adams County,CO,08001,0.23998483382825006
observed,2020-05-18,Adams County,CO,08001,0.3300075987151363
atypical,2020-03-09,Adams County,CO,08001,4.83998499359403
atypical,2020-03-10,Adams County,CO,08001,4.700000163238948
atypical,2020-03-11,Adams County,CO,08001,4.519992569733566
atypical,2020-03-12,Adams County,CO,08001,4.450000154556026
atypical,2020-03-13,Adams County,CO,08001,4.4199925662603965
atypical,2020-03-14,Adams County,CO,08001,4.56999257147015
atypical,2020-03-15,Adams County,CO,08001,3.860015308571683
atypical,2020-03-17,Adams County,CO,08001,3.5100152964155913
atypical,2020-03-18,Adams County,CO,08001,3.200000111141412
atypical,2020-03-19,Adams County,CO,08001,3.7399849553891698
