condition,date,county,state,fips,illness
observed,2020-02-16,Fairfield County,CT,09001,6.619992642670117
observed,2020-02-17,Fairfield County,CT,09001,6.370000221240872
observed,2020-02-18,Fairfield County,CT,09001,6.4199774612164235
observed,2020-02-19,Fairfield County,CT,09001,6.55997746607886
observed,2020-02-20,Fairfield County,CT,09001,6.190007802242846
observed,2020-02-21,Fairfield County,CT,09001,6.190007802242846
observed,2020-02-22,Fairfield County,CT,09001,6.180022976402884
observed,2020-02-23,Fairfield County,CT,09001,5.98000779494919
observed,2020-02-24,Fairfield County,CT,09001,5.90002296667801
observed,2020-02-25,Fairfield County,CT,09001,5.9199926183579334
observed,2020-02-26,Fairfield County,CT,09001,5.620022956953138
observed,2020-02-27,Fairfield County,CT,09001,5.4900077779306615
observed,2020-02-28,Fairfield County,CT,09001,5.000007760912133
observed,2020-02-29,Fairfield County,CT,09001,4.739977402867183
observed,2020-03-01,Fairfield County,CT,09001,4.939992584320876
observed,2020-03-02,Fairfield County,CT,09001,4.710022925347298
observed,2020-03-03,Fairfield County,CT,09001,4.790007753618477
observed,2020-03-04,Fairfield County,CT,09001,5.310015358932635
observed,2020-03-05,Fairfield County,CT,09001,5.2400153565014165
observed,2020-03-06,Fairfield County,CT,09001,5.119985003318901
observed,2020-03-07,Fairfield County,CT,09001,5.509977429610585
observed,2020-03-08,Fairfield County,CT,09001,5.320000184772597
observed,2020-03-09,Fairfield County,CT,09001,5.460000189635033
observed,2020-03-10,Fairfield County,CT,09001,5.959985032493523
observed,2020-03-11,Fairfield County,CT,09001,6.099985037355959
observed,2020-03-12,Fairfield County,CT,09001,5.889985030062305
observed,2020-03-13,Fairfield County,CT,09001,5.889985030062305
observed,2020-03-14,Fairfield County,CT,09001,5.740000199359907
observed,2020-03-15,Fairfield County,CT,09001,5.600000194497469
observed,2020-03-16,Fairfield County,CT,09001,5.390000187203814
observed,2020-03-17,Fairfield County,CT,09001,5.4399774271793655
observed,2020-03-18,Fairfield County,CT,09001,5.10001535163898
observed,2020-03-19,Fairfield County,CT,09001,4.930007758480914
observed,2020-03-20,Fairfield County,CT,09001,4.769984991162811
observed,2020-03-21,Fairfield County,CT,09001,4.620000160460412
observed,2020-03-22,Fairfield County,CT,09001,4.360022913191206
observed,2020-03-23,Fairfield County,CT,09001,4.3400001507355395
observed,2020-03-24,Fairfield County,CT,09001,4.3300153248955775
observed,2020-03-25,Fairfield County,CT,09001,4.160007731737513
observed,2020-03-26,Fairfield County,CT,09001,3.9200001361482286
observed,2020-03-27,Fairfield County,CT,09001,3.780000131285792
observed,2020-03-28,Fairfield County,CT,09001,3.3999925308340715
observed,2020-03-29,Fairfield County,CT,09001,3.479977359105251
observed,2020-03-30,Fairfield County,CT,09001,3.5499773615364703
observed,2020-03-31,Fairfield County,CT,09001,3.479977359105251
observed,2020-04-01,Fairfield County,CT,09001,3.150000109404827
observed,2020-04-02,Fairfield County,CT,09001,3.1599849352447875
observed,2020-04-03,Fairfield County,CT,09001,2.760007683113146
observed,2020-04-04,Fairfield County,CT,09001,2.5999849157950417
observed,2020-04-05,Fairfield County,CT,09001,2.4199924967970143
observed,2020-04-06,Fairfield County,CT,09001,2.260022840254655
observed,2020-04-07,Fairfield County,CT,09001,2.1000000729365507
observed,2020-04-08,Fairfield County,CT,09001,2.039984896345294
observed,2020-04-09,Fairfield County,CT,09001,1.780007649076087
observed,2020-04-10,Fairfield County,CT,09001,1.670015232509279
observed,2020-04-11,Fairfield County,CT,09001,1.4700000510555857
observed,2020-04-12,Fairfield County,CT,09001,1.3500228086488169
observed,2020-04-13,Fairfield County,CT,09001,1.4000000486243682
observed,2020-04-14,Fairfield County,CT,09001,1.3200152203531885
observed,2020-04-15,Fairfield County,CT,09001,1.2900076320575586
observed,2020-04-16,Fairfield County,CT,09001,1.1900000413307126
observed,2020-04-17,Fairfield County,CT,09001,1.2299924554663018
observed,2020-04-18,Fairfield County,CT,09001,1.1800152154907504
observed,2020-04-19,Fairfield County,CT,09001,1.150007627195122
observed,2020-04-20,Fairfield County,CT,09001,1.0899924506038652
observed,2020-04-21,Fairfield County,CT,09001,0.9100000316058381
observed,2020-04-22,Fairfield County,CT,09001,0.9599772715813895
observed,2020-04-23,Fairfield County,CT,09001,1.0000227964927249
observed,2020-04-24,Fairfield County,CT,09001,1.0199924481726477
observed,2020-04-25,Fairfield County,CT,09001,0.9800000340370572
observed,2020-04-26,Fairfield County,CT,09001,0.7900227891990692
observed,2020-04-27,Fairfield County,CT,09001,0.7300076126078124
observed,2020-04-28,Fairfield County,CT,09001,0.80000761503903
observed,2020-04-29,Fairfield County,CT,09001,0.8400000291746206
observed,2020-04-30,Fairfield County,CT,09001,0.8099924408789922
observed,2020-05-01,Fairfield County,CT,09001,1.0599848623082369
observed,2020-05-02,Fairfield County,CT,09001,1.0299772740126085
observed,2020-05-03,Fairfield County,CT,09001,0.8600227916302883
observed,2020-05-04,Fairfield County,CT,09001,0.8099924408789922
observed,2020-05-05,Fairfield County,CT,09001,0.8300152033346584
observed,2020-05-06,Fairfield County,CT,09001,0.6799772618565164
observed,2020-05-07,Fairfield County,CT,09001,0.590007607745376
observed,2020-05-08,Fairfield County,CT,09001,0.49998484285848926
observed,2020-05-09,Fairfield County,CT,09001,0.31999242386046367
observed,2020-05-10,Fairfield County,CT,09001,0.4100151887473488
observed,2020-05-11,Fairfield County,CT,09001,0.45999242872290014
observed,2020-05-12,Fairfield County,CT,09001,0.3700227746117597
observed,2020-05-13,Fairfield County,CT,09001,0.39997725213164337
observed,2020-05-14,Fairfield County,CT,09001,0.3700227746117597
observed,2020-05-15,Fairfield County,CT,09001,0.3400151863161298
observed,2020-05-16,Fairfield County,CT,09001,0.42000001458730957
observed,2020-05-17,Fairfield County,CT,09001,0.45000760288293945
observed,2020-05-18,Fairfield County,CT,09001,0.42000001458730957
atypical,2020-03-04,Fairfield County,CT,09001,5.310015358932635
atypical,2020-03-05,Fairfield County,CT,09001,5.2400153565014165
atypical,2020-03-07,Fairfield County,CT,09001,5.509977429610585
atypical,2020-03-08,Fairfield County,CT,09001,5.320000184772597
