condition,date,county,state,fips,illness
observed,2020-02-16,District of Columbia,DC,11001,7.440000258403781
observed,2020-02-17,District of Columbia,DC,11001,7.210015424922848
observed,2020-02-18,District of Columbia,DC,11001,7.080000245900373
observed,2020-02-19,District of Columbia,DC,11001,7.339969905915901
observed,2020-02-20,District of Columbia,DC,11001,6.3899850474281505
observed,2020-02-21,District of Columbia,DC,11001,6.309985044649615
observed,2020-02-22,District of Columbia,DC,11001,5.850015377687748
observed,2020-02-23,District of Columbia,DC,11001,5.560000193108202
observed,2020-02-24,District of Columbia,DC,11001,5.340030534481942
observed,2020-02-25,District of Columbia,DC,11001,5.1099850029715865
observed,2020-02-26,District of Columbia,DC,11001,4.629984986300374
observed,2020-02-27,District of Columbia,DC,11001,4.160000144483835
observed,2020-02-28,District of Columbia,DC,11001,4.379969803110096
observed,2020-02-29,District of Columbia,DC,11001,4.699969814224236
observed,2020-03-01,District of Columbia,DC,11001,4.920000170879919
observed,2020-03-02,District of Columbia,DC,11001,5.219969832284716
observed,2020-03-03,District of Columbia,DC,11001,5.240000181994062
observed,2020-03-04,District of Columbia,DC,11001,5.250015356848734
observed,2020-03-05,District of Columbia,DC,11001,5.2900153582380005
observed,2020-03-06,District of Columbia,DC,11001,5.139969829506182
observed,2020-03-07,District of Columbia,DC,11001,4.800000166712118
observed,2020-03-08,District of Columbia,DC,11001,5.099969828116913
observed,2020-03-09,District of Columbia,DC,11001,5.269985008528657
observed,2020-03-10,District of Columbia,DC,11001,4.930015345734593
observed,2020-03-11,District of Columbia,DC,11001,5.019969825338379
observed,2020-03-12,District of Columbia,DC,11001,5.080000176436991
observed,2020-03-13,District of Columbia,DC,11001,5.050015349902396
observed,2020-03-14,District of Columbia,DC,11001,5.040000175047722
observed,2020-03-15,District of Columbia,DC,11001,5.890015379077017
observed,2020-03-16,District of Columbia,DC,11001,5.579969844788125
observed,2020-03-17,District of Columbia,DC,11001,5.250015356848734
observed,2020-03-18,District of Columbia,DC,11001,5.299969835063252
observed,2020-03-19,District of Columbia,DC,11001,4.980030521978533
observed,2020-03-20,District of Columbia,DC,11001,4.339969801720828
observed,2020-03-21,District of Columbia,DC,11001,3.9200001361482286
observed,2020-03-22,District of Columbia,DC,11001,3.640000126423355
observed,2020-03-23,District of Columbia,DC,11001,3.1800304594614883
observed,2020-03-24,District of Columbia,DC,11001,2.7899849223940625
observed,2020-03-25,District of Columbia,DC,11001,2.120000073631185
observed,2020-03-26,District of Columbia,DC,11001,1.88000006529558
observed,2020-03-27,District of Columbia,DC,11001,1.6699848834945688
observed,2020-03-28,District of Columbia,DC,11001,1.3499848723804282
observed,2020-03-29,District of Columbia,DC,11001,1.1700152151434347
observed,2020-03-30,District of Columbia,DC,11001,1.3600000472351002
observed,2020-03-31,District of Columbia,DC,11001,1.069984862655553
observed,2020-04-01,District of Columbia,DC,11001,0.9899848598770187
observed,2020-04-02,District of Columbia,DC,11001,1.1700152151434347
observed,2020-04-03,District of Columbia,DC,11001,1.2199696933579514
observed,2020-04-04,District of Columbia,DC,11001,1.1899848668233561
observed,2020-04-05,District of Columbia,DC,11001,1.1800303899981068
observed,2020-04-06,District of Columbia,DC,11001,1.3099848709911592
observed,2020-04-07,District of Columbia,DC,11001,1.120000038899494
observed,2020-04-08,District of Columbia,DC,11001,0.8699848557092156
observed,2020-04-09,District of Columbia,DC,11001,0.7399696766867404
observed,2020-04-10,District of Columbia,DC,11001,0.6699848487628781
observed,2020-04-11,District of Columbia,DC,11001,0.560000019449747
observed,2020-04-12,District of Columbia,DC,11001,0.5799696711296701
observed,2020-04-13,District of Columbia,DC,11001,0.44000001528194377
observed,2020-04-14,District of Columbia,DC,11001,0.17996965723699346
observed,2020-04-15,District of Columbia,DC,11001,0.059969653069190304
observed,2020-04-16,District of Columbia,DC,11001,0.10003035248788
observed,2020-04-17,District of Columbia,DC,11001,0.20000000694633746
observed,2020-04-18,District of Columbia,DC,11001,0.12000000416780317
observed,2020-04-19,District of Columbia,DC,11001,0.0699848279238623
observed,2020-04-20,District of Columbia,DC,11001,0.05001517624394086
observed,2020-04-21,District of Columbia,DC,11001,0.0699848279238623
observed,2020-04-22,District of Columbia,DC,11001,0.14998483070239832
observed,2020-04-23,District of Columbia,DC,11001,0.22003035665568316
