condition,date,county,state,fips,illness
observed,2020-02-16,Alachua County,FL,12001,5.14000776577457
observed,2020-02-17,Alachua County,FL,12001,5.000007760912133
observed,2020-02-18,Alachua County,FL,12001,4.610015334620452
observed,2020-02-19,Alachua County,FL,12001,4.179977383417436
observed,2020-02-20,Alachua County,FL,12001,4.010022901035113
observed,2020-02-21,Alachua County,FL,12001,3.5600152981521758
observed,2020-02-22,Alachua County,FL,12001,3.649984952263316
observed,2020-02-23,Alachua County,FL,12001,3.5499773615364703
observed,2020-02-24,Alachua County,FL,12001,3.700015303014612
observed,2020-02-25,Alachua County,FL,12001,3.320007702562892
observed,2020-02-26,Alachua County,FL,12001,3.500000121560919
observed,2020-02-27,Alachua County,FL,12001,3.409977356674034
observed,2020-02-28,Alachua County,FL,12001,3.3500152908585203
observed,2020-02-29,Alachua County,FL,12001,3.1700228718604944
observed,2020-03-01,Alachua County,FL,12001,3.189992523540416
observed,2020-03-02,Alachua County,FL,12001,3.240022874291712
observed,2020-03-03,Alachua County,FL,12001,3.4500228815853675
observed,2020-03-04,Alachua County,FL,12001,3.700015303014612
observed,2020-03-05,Alachua County,FL,12001,3.8899925478526
observed,2020-03-06,Alachua County,FL,12001,3.8100077195814204
observed,2020-03-07,Alachua County,FL,12001,4.060000141010665
observed,2020-03-08,Alachua County,FL,12001,4.3300153248955775
observed,2020-03-09,Alachua County,FL,12001,4.279984974144282
observed,2020-03-10,Alachua County,FL,12001,4.130000143441884
observed,2020-03-11,Alachua County,FL,12001,4.610015334620452
observed,2020-03-12,Alachua County,FL,12001,5.009992586752094
observed,2020-03-13,Alachua County,FL,12001,5.289992596476968
observed,2020-03-14,Alachua County,FL,12001,5.4399774271793655
observed,2020-03-15,Alachua County,FL,12001,5.959985032493523
observed,2020-03-16,Alachua County,FL,12001,6.330007807105282
observed,2020-03-17,Alachua County,FL,12001,6.51998505194327
observed,2020-03-18,Alachua County,FL,12001,6.720000233396964
observed,2020-03-19,Alachua County,FL,12001,6.500015400263347
observed,2020-03-20,Alachua County,FL,12001,6.330007807105282
observed,2020-03-21,Alachua County,FL,12001,5.429992601339404
observed,2020-03-22,Alachua County,FL,12001,5.219992594045749
observed,2020-03-23,Alachua County,FL,12001,4.750015339482888
observed,2020-03-24,Alachua County,FL,12001,3.7599773688301243
observed,2020-03-25,Alachua County,FL,12001,3.4300001191297
observed,2020-03-26,Alachua County,FL,12001,2.909992513815543
observed,2020-03-27,Alachua County,FL,12001,2.55000767581949
observed,2020-03-28,Alachua County,FL,12001,2.139992487072141
observed,2020-03-29,Alachua County,FL,12001,2.109984898776513
observed,2020-03-30,Alachua County,FL,12001,1.9600000680741143
observed,2020-03-31,Alachua County,FL,12001,1.7000228208049073
observed,2020-04-01,Alachua County,FL,12001,1.589977293462356
observed,2020-04-02,Alachua County,FL,12001,1.5799924676223938
observed,2020-04-03,Alachua County,FL,12001,1.4600152252156249
observed,2020-04-04,Alachua County,FL,12001,1.4099848744643289
observed,2020-04-05,Alachua County,FL,12001,1.2800228062175978
observed,2020-04-06,Alachua County,FL,12001,1.1699772788750449
observed,2020-04-07,Alachua County,FL,12001,0.9899848598770178
observed,2020-04-08,Alachua County,FL,12001,1.150007627195122
observed,2020-04-09,Alachua County,FL,12001,1.1200000388994937
observed,2020-04-10,Alachua County,FL,12001,1.0800076247639046
observed,2020-04-11,Alachua County,FL,12001,1.0000227964927249
observed,2020-04-12,Alachua County,FL,12001,0.8499848550145813
observed,2020-04-13,Alachua County,FL,12001,0.7799848525833638
observed,2020-04-14,Alachua County,FL,12001,0.7000000243121841
observed,2020-04-15,Alachua County,FL,12001,0.7499772642877354
observed,2020-04-16,Alachua County,FL,12001,0.42998484042727175
observed,2020-04-17,Alachua County,FL,12001,0.42000001458730957
observed,2020-04-18,Alachua County,FL,12001,0.3899924262916811
observed,2020-04-19,Alachua County,FL,12001,0.3700227746117597
observed,2020-04-20,Alachua County,FL,12001,0.42000001458730957
observed,2020-04-21,Alachua County,FL,12001,0.48001519117856783
observed,2020-04-22,Alachua County,FL,12001,0.6200151960410043
observed,2020-04-23,Alachua County,FL,12001,0.5299924311541192
observed,2020-04-24,Alachua County,FL,12001,0.53997725699408
observed,2020-04-25,Alachua County,FL,12001,0.45999242872290014
observed,2020-04-26,Alachua County,FL,12001,0.6099772594252989
observed,2020-04-27,Alachua County,FL,12001,0.42000001458730957
observed,2020-04-28,Alachua County,FL,12001,0.3899924262916811
observed,2020-04-29,Alachua County,FL,12001,0.45999242872290014
observed,2020-04-30,Alachua County,FL,12001,0.42000001458730957
observed,2020-05-01,Alachua County,FL,12001,0.5299924311541192
observed,2020-05-02,Alachua County,FL,12001,0.4900000170185286
observed,2020-05-03,Alachua County,FL,12001,0.31000759802050143
observed,2020-05-04,Alachua County,FL,12001,0.24000759558928392
observed,2020-05-05,Alachua County,FL,12001,0.3700227746117597
observed,2020-05-06,Alachua County,FL,12001,0.49998484285848926
observed,2020-05-07,Alachua County,FL,12001,0.35998483799605274
observed,2020-05-08,Alachua County,FL,12001,0.3700227746117597
observed,2020-05-09,Alachua County,FL,12001,0.24999242142924463
observed,2020-05-10,Alachua County,FL,12001,0.2700151838849123
observed,2020-05-11,Alachua County,FL,12001,0.17999241899802712
