condition,date,county,state,fips,illness
observed,2020-02-16,Appling County,GA,13001,6.769977473372514
observed,2020-02-17,Appling County,GA,13001,6.13997745149155
observed,2020-02-18,Appling County,GA,13001,6.090000211515998
observed,2020-02-19,Appling County,GA,13001,5.970022969109229
observed,2020-02-20,Appling County,GA,13001,5.289992596476968
observed,2020-02-21,Appling County,GA,13001,4.869992581889657
observed,2020-02-22,Appling County,GA,13001,4.750015339482888
observed,2020-02-23,Appling County,GA,13001,4.470015329758014
observed,2020-02-24,Appling County,GA,13001,4.510007743893604
observed,2020-02-25,Appling County,GA,13001,4.160007731737513
observed,2020-02-26,Appling County,GA,13001,4.27000014830432
observed,2020-02-27,Appling County,GA,13001,3.9800153127394853
observed,2020-02-28,Appling County,GA,13001,4.130000143441884
observed,2020-02-29,Appling County,GA,13001,3.7899849571257542
observed,2020-03-01,Appling County,GA,13001,3.670007714718984
observed,2020-03-02,Appling County,GA,13001,3.590022886447804
observed,2020-03-03,Appling County,GA,13001,3.8199925454213823
observed,2020-03-04,Appling County,GA,13001,4.220022908328769
observed,2020-03-05,Appling County,GA,13001,4.360022913191206
observed,2020-03-06,Appling County,GA,13001,4.029992552715036
observed,2020-03-07,Appling County,GA,13001,4.290022910759988
observed,2020-03-08,Appling County,GA,13001,4.699984988731592
observed,2020-03-09,Appling County,GA,13001,4.890015344345325
observed,2020-03-10,Appling County,GA,13001,4.470015329758014
observed,2020-03-11,Appling County,GA,13001,4.909984996025248
observed,2020-03-12,Appling County,GA,13001,5.229977419885712
observed,2020-03-13,Appling County,GA,13001,5.509977429610585
observed,2020-03-14,Appling County,GA,13001,5.700007785224317
observed,2020-03-15,Appling County,GA,13001,5.9199926183579334
observed,2020-03-16,Appling County,GA,13001,5.950000206653562
observed,2020-03-17,Appling County,GA,13001,6.090000211515998
observed,2020-03-18,Appling County,GA,13001,6.379985047080833
observed,2020-03-19,Appling County,GA,13001,6.169985039787178
observed,2020-03-20,Appling County,GA,13001,5.620022956953138
observed,2020-03-21,Appling County,GA,13001,4.710022925347298
observed,2020-03-22,Appling County,GA,13001,4.500022918053643
observed,2020-03-23,Appling County,GA,13001,4.470015329758014
observed,2020-03-24,Appling County,GA,13001,3.7499925429901637
observed,2020-03-25,Appling County,GA,13001,3.199977349380378
observed,2020-03-26,Appling County,GA,13001,2.639977329930631
observed,2020-03-27,Appling County,GA,13001,2.429977322636975
observed,2020-03-28,Appling County,GA,13001,1.9399773056184466
observed,2020-03-29,Appling County,GA,13001,2.020015244665371
observed,2020-03-30,Appling County,GA,13001,1.8400228256673454
observed,2020-03-31,Appling County,GA,13001,1.4600152252156249
observed,2020-04-01,Appling County,GA,13001,1.449977288599918
observed,2020-04-02,Appling County,GA,13001,1.390015222784406
observed,2020-04-03,Appling County,GA,13001,1.3099772837374815
observed,2020-04-04,Appling County,GA,13001,1.4399924627599572
observed,2020-04-05,Appling County,GA,13001,1.4399924627599572
observed,2020-04-06,Appling County,GA,13001,1.239977281306264
observed,2020-04-07,Appling County,GA,13001,1.0299772740126085
observed,2020-04-08,Appling County,GA,13001,1.3099772837374815
observed,2020-04-09,Appling County,GA,13001,1.500007639351214
observed,2020-04-10,Appling County,GA,13001,1.6000152300780615
observed,2020-04-11,Appling County,GA,13001,1.6199848817579845
observed,2020-04-12,Appling County,GA,13001,1.3399848720331098
observed,2020-04-13,Appling County,GA,13001,1.2999924578975208
observed,2020-04-14,Appling County,GA,13001,1.2500152179219695
observed,2020-04-15,Appling County,GA,13001,1.0000227964927249
observed,2020-04-16,Appling County,GA,13001,0.6699924360165557
observed,2020-04-17,Appling County,GA,13001,0.6600076101765935
observed,2020-04-18,Appling County,GA,13001,0.4900000170185286
observed,2020-04-19,Appling County,GA,13001,0.42998484042727175
observed,2020-04-20,Appling County,GA,13001,0.5100227794741963
observed,2020-04-21,Appling County,GA,13001,0.31999242386046367
observed,2020-04-22,Appling County,GA,13001,0.53997725699408
observed,2020-04-23,Appling County,GA,13001,0.45000760288293945
observed,2020-04-24,Appling County,GA,13001,0.48001519117856783
observed,2020-04-25,Appling County,GA,13001,0.4400227770429772
observed,2020-04-26,Appling County,GA,13001,0.5100227794741963
observed,2020-04-27,Appling County,GA,13001,0.45999242872290014
observed,2020-04-28,Appling County,GA,13001,0.49998484285848926
observed,2020-04-29,Appling County,GA,13001,0.6099772594252989
observed,2020-04-30,Appling County,GA,13001,0.7000000243121841
observed,2020-05-01,Appling County,GA,13001,0.6900151984722218
observed,2020-05-02,Appling County,GA,13001,0.6399848477209273
observed,2020-05-03,Appling County,GA,13001,0.5100227794741963
observed,2020-05-04,Appling County,GA,13001,0.2300227697493217
observed,2020-05-05,Appling County,GA,13001,0.31999242386046367
observed,2020-05-06,Appling County,GA,13001,0.42000001458730957
observed,2020-05-07,Appling County,GA,13001,0.24999242142924463
observed,2020-05-08,Appling County,GA,13001,0.10000759072684741
observed,2020-05-09,Appling County,GA,13001,0.0
observed,2020-05-10,Appling County,GA,13001,0.0
observed,2020-05-11,Appling County,GA,13001,0.0
observed,2020-05-12,Appling County,GA,13001,0.009984825839960718
observed,2020-05-13,Appling County,GA,13001,0.17999241899802712
observed,2020-05-14,Appling County,GA,13001,0.28000000972487304
observed,2020-05-15,Appling County,GA,13001,0.24000759558928392
observed,2020-05-16,Appling County,GA,13001,0.24999242142924463
observed,2020-05-17,Appling County,GA,13001,0.25997724726920685
observed,2020-05-18,Appling County,GA,13001,0.4900000170185286
observed,2020-05-19,Appling County,GA,13001,0.24999242142924463
observed,2020-02-16,Atkinson County,GA,13003,6.080015385676036
observed,2020-02-17,Atkinson County,GA,13003,5.840007790086753
observed,2020-02-18,Atkinson County,GA,13003,5.90002296667801
observed,2020-02-19,Atkinson County,GA,13003,5.779992613495497
observed,2020-02-20,Atkinson County,GA,13003,5.280007770637006
observed,2020-02-21,Atkinson County,GA,13003,4.8099774052984
observed,2020-02-22,Atkinson County,GA,13003,4.610015334620452
observed,2020-02-23,Atkinson County,GA,13003,4.389977390711091
observed,2020-02-24,Atkinson County,GA,13003,4.300007736599949
observed,2020-02-25,Atkinson County,GA,13003,4.010022901035113
observed,2020-02-26,Atkinson County,GA,13003,3.9999849644194083
observed,2020-02-27,Atkinson County,GA,13003,3.609992538127727
observed,2020-02-28,Atkinson County,GA,13003,3.5200228840165853
observed,2020-02-29,Atkinson County,GA,13003,3.250007700131674
observed,2020-03-01,Atkinson County,GA,13003,3.2699773518115958
observed,2020-03-02,Atkinson County,GA,13003,3.0899849328135702
observed,2020-03-03,Atkinson County,GA,13003,3.2900001142672632
observed,2020-03-04,Atkinson County,GA,13003,3.6799925405589446
observed,2020-03-05,Atkinson County,GA,13003,3.8800077220126394
observed,2020-03-06,Atkinson County,GA,13003,3.5700001239921364
observed,2020-03-07,Atkinson County,GA,13003,3.719984954694535
observed,2020-03-08,Atkinson County,GA,13003,4.290022910759988
observed,2020-03-09,Atkinson County,GA,13003,4.410000153166757
observed,2020-03-10,Atkinson County,GA,13003,3.959992550283819
observed,2020-03-11,Atkinson County,GA,13003,4.319977388279872
observed,2020-03-12,Atkinson County,GA,13003,4.79999257945844
observed,2020-03-13,Atkinson County,GA,13003,4.990022935072172
observed,2020-03-14,Atkinson County,GA,13003,5.0199774125920555
observed,2020-03-15,Atkinson County,GA,13003,5.270022944797045
observed,2020-03-16,Atkinson County,GA,13003,5.369977424748148
observed,2020-03-17,Atkinson County,GA,13003,5.649977434473021
observed,2020-03-18,Atkinson County,GA,13003,6.120007799811627
observed,2020-03-19,Atkinson County,GA,13003,6.010015383244818
observed,2020-03-20,Atkinson County,GA,13003,5.60998502033743
observed,2020-03-21,Atkinson County,GA,13003,4.729992577027221
observed,2020-03-22,Atkinson County,GA,13003,4.559984983869156
observed,2020-03-23,Atkinson County,GA,13003,4.5899925721647845
observed,2020-03-24,Atkinson County,GA,13003,3.439984944969662
observed,2020-03-25,Atkinson County,GA,13003,2.9199773396555053
observed,2020-03-26,Atkinson County,GA,13003,2.6600000923862983
observed,2020-03-27,Atkinson County,GA,13003,2.429977322636975
observed,2020-03-28,Atkinson County,GA,13003,1.740015234940498
observed,2020-03-29,Atkinson County,GA,13003,1.6800000583492412
observed,2020-03-30,Atkinson County,GA,13003,1.5700076417824331
observed,2020-03-31,Atkinson County,GA,13003,1.2500152179219695
observed,2020-04-01,Atkinson County,GA,13003,1.1800152154907504
observed,2020-04-02,Atkinson County,GA,13003,1.150007627195122
observed,2020-04-03,Atkinson County,GA,13003,1.1100152130595329
observed,2020-04-04,Atkinson County,GA,13003,1.3799772861687005
observed,2020-04-05,Atkinson County,GA,13003,1.26000004376193
observed,2020-04-06,Atkinson County,GA,13003,1.0999772764438274
observed,2020-04-07,Atkinson County,GA,13003,0.6799772618565164
observed,2020-04-08,Atkinson County,GA,13003,1.0199924481726477
observed,2020-04-09,Atkinson County,GA,13003,0.9800000340370572
observed,2020-04-10,Atkinson County,GA,13003,1.0500000364682762
observed,2020-04-11,Atkinson County,GA,13003,1.0599848623082369
observed,2020-04-12,Atkinson County,GA,13003,0.7000000243121841
observed,2020-04-13,Atkinson County,GA,13003,0.7799848525833638
observed,2020-04-14,Atkinson County,GA,13003,0.6600076101765935
observed,2020-04-15,Atkinson County,GA,13003,0.5999924335853367
observed,2020-04-16,Atkinson County,GA,13003,0.4699772545628609
observed,2020-04-17,Atkinson County,GA,13003,0.4400227770429772
observed,2020-04-18,Atkinson County,GA,13003,0.31000759802050143
observed,2020-04-19,Atkinson County,GA,13003,0.1700075931580649
observed,2020-04-20,Atkinson County,GA,13003,0.2000151814536933
observed,2020-04-21,Atkinson County,GA,13003,0.1600227673181042
observed,2020-04-22,Atkinson County,GA,13003,0.39997725213164337
observed,2020-04-23,Atkinson County,GA,13003,0.32997724970042436
observed,2020-04-24,Atkinson County,GA,13003,0.3000227721805407
observed,2020-04-25,Atkinson County,GA,13003,0.31999242386046367
observed,2020-04-26,Atkinson County,GA,13003,0.5200076053141569
observed,2020-04-27,Atkinson County,GA,13003,0.4100151887473488
observed,2020-04-28,Atkinson County,GA,13003,0.3000227721805407
observed,2020-04-29,Atkinson County,GA,13003,0.39997725213164337
observed,2020-04-30,Atkinson County,GA,13003,0.48001519117856783
observed,2020-05-01,Atkinson County,GA,13003,0.5100227794741963
observed,2020-05-02,Atkinson County,GA,13003,0.4900000170185286
observed,2020-05-03,Atkinson County,GA,13003,0.3000227721805407
observed,2020-05-04,Atkinson County,GA,13003,0.21998483313361625
observed,2020-05-05,Atkinson County,GA,13003,0.42998484042727175
observed,2020-05-06,Atkinson County,GA,13003,0.5600000194497475
observed,2020-05-07,Atkinson County,GA,13003,0.42000001458730957
observed,2020-05-08,Atkinson County,GA,13003,0.31999242386046367
observed,2020-05-09,Atkinson County,GA,13003,0.1700075931580649
observed,2020-05-10,Atkinson County,GA,13003,0.21000000729365553
observed,2020-05-11,Atkinson County,GA,13003,0.1600227673181042
observed,2020-05-12,Atkinson County,GA,13003,0.24999242142924463
observed,2020-05-13,Atkinson County,GA,13003,0.21000000729365553
observed,2020-05-14,Atkinson County,GA,13003,0.3400151863161298
observed,2020-05-15,Atkinson County,GA,13003,0.25997724726920685
observed,2020-05-16,Atkinson County,GA,13003,0.2700151838849123
observed,2020-05-17,Atkinson County,GA,13003,0.28000000972487304
observed,2020-05-18,Atkinson County,GA,13003,0.4699772545628609
observed,2020-05-19,Atkinson County,GA,13003,0.24999242142924463
observed,2020-02-16,Bacon County,GA,13005,6.670022993421413
observed,2020-02-17,Bacon County,GA,13005,6.250022978834102
observed,2020-02-18,Bacon County,GA,13005,6.1500153881072555
observed,2020-02-19,Bacon County,GA,13005,5.950000206653562
observed,2020-02-20,Bacon County,GA,13005,5.2599850081813395
observed,2020-02-21,Bacon County,GA,13005,4.739977402867183
observed,2020-02-22,Bacon County,GA,13005,4.510007743893604
observed,2020-02-23,Bacon County,GA,13005,4.249977385848653
observed,2020-02-24,Bacon County,GA,13005,4.120015317601923
observed,2020-02-25,Bacon County,GA,13005,3.719984954694535
observed,2020-02-26,Bacon County,GA,13005,3.660022888879023
observed,2020-02-27,Bacon County,GA,13005,3.4300001191297
observed,2020-02-28,Bacon County,GA,13005,3.5499773615364703
observed,2020-02-29,Bacon County,GA,13005,3.299984940107224
observed,2020-03-01,Bacon County,GA,13005,3.2100152859960835
observed,2020-03-02,Bacon County,GA,13005,3.1100076952692364
observed,2020-03-03,Bacon County,GA,13005,3.460007707425328
observed,2020-03-04,Bacon County,GA,13005,3.9100153103082675
observed,2020-03-05,Bacon County,GA,13005,4.130000143441884
observed,2020-03-06,Bacon County,GA,13005,3.8100077195814204
observed,2020-03-07,Bacon County,GA,13005,3.940022898603896
observed,2020-03-08,Bacon County,GA,13005,4.459977393142308
observed,2020-03-09,Bacon County,GA,13005,4.690000162891631
observed,2020-03-10,Bacon County,GA,13005,4.0900077293062935
observed,2020-03-11,Bacon County,GA,13005,4.449992567302347
observed,2020-03-12,Bacon County,GA,13005,4.79999257945844
observed,2020-03-13,Bacon County,GA,13005,4.760000165322849
observed,2020-03-14,Bacon County,GA,13005,4.879977407729619
observed,2020-03-15,Bacon County,GA,13005,5.119985003318901
observed,2020-03-16,Bacon County,GA,13005,5.219992594045749
observed,2020-03-17,Bacon County,GA,13005,5.310015358932635
observed,2020-03-18,Bacon County,GA,13005,5.71997743690424
observed,2020-03-19,Bacon County,GA,13005,5.630007782793098
observed,2020-03-20,Bacon County,GA,13005,5.079992589183313
observed,2020-03-21,Bacon County,GA,13005,4.480000155597976
observed,2020-03-22,Bacon County,GA,13005,4.3300153248955775
observed,2020-03-23,Bacon County,GA,13005,4.230007734168732
observed,2020-03-24,Bacon County,GA,13005,3.5700001239921364
observed,2020-03-25,Bacon County,GA,13005,3.070015281133647
observed,2020-03-26,Bacon County,GA,13005,2.480007673388271
observed,2020-03-27,Bacon County,GA,13005,2.209992489503359
observed,2020-03-28,Bacon County,GA,13005,1.79997730075601
observed,2020-03-29,Bacon County,GA,13005,1.8200000632116777
observed,2020-03-30,Bacon County,GA,13005,1.6499924700536128
observed,2020-03-31,Bacon County,GA,13005,1.239977281306264
observed,2020-04-01,Bacon County,GA,13005,1.2800228062175978
observed,2020-04-02,Bacon County,GA,13005,1.2299924554663018
observed,2020-04-03,Bacon County,GA,13005,1.150007627195122
observed,2020-04-04,Bacon County,GA,13005,1.2900076320575586
observed,2020-04-05,Bacon County,GA,13005,1.2999924578975208
observed,2020-04-06,Bacon County,GA,13005,1.1100152130595329
observed,2020-04-07,Bacon County,GA,13005,0.889977269150172
observed,2020-04-08,Bacon County,GA,13005,1.2500152179219695
observed,2020-04-09,Bacon County,GA,13005,1.4399924627599572
observed,2020-04-10,Bacon County,GA,13005,1.519977291031137
observed,2020-04-11,Bacon County,GA,13005,1.5300152276468424
observed,2020-04-12,Bacon County,GA,13005,1.2800228062175978
observed,2020-04-13,Bacon County,GA,13005,1.2500152179219695
observed,2020-04-14,Bacon County,GA,13005,1.2100228037863787
observed,2020-04-15,Bacon County,GA,13005,0.9499924457414287
observed,2020-04-16,Bacon County,GA,13005,0.6099772594252989
observed,2020-04-17,Bacon County,GA,13005,0.5999924335853367
observed,2020-04-18,Bacon County,GA,13005,0.4400227770429772
observed,2020-04-19,Bacon County,GA,13005,0.3899924262916811
observed,2020-04-20,Bacon County,GA,13005,0.4699772545628609
observed,2020-04-21,Bacon County,GA,13005,0.28998483556483523
observed,2020-04-22,Bacon County,GA,13005,0.5100227794741963
observed,2020-04-23,Bacon County,GA,13005,0.42998484042727175
observed,2020-04-24,Bacon County,GA,13005,0.4400227770429772
observed,2020-04-25,Bacon County,GA,13005,0.38000760045172044
observed,2020-04-26,Bacon County,GA,13005,0.45000760288293945
observed,2020-04-27,Bacon County,GA,13005,0.39997725213164337
observed,2020-04-28,Bacon County,GA,13005,0.4400227770429772
observed,2020-04-29,Bacon County,GA,13005,0.53997725699408
observed,2020-04-30,Bacon County,GA,13005,0.7399924384477732
observed,2020-05-01,Bacon County,GA,13005,0.7200227867678503
observed,2020-05-02,Bacon County,GA,13005,0.5800227819054138
observed,2020-05-03,Bacon County,GA,13005,0.45000760288293945
observed,2020-05-04,Bacon County,GA,13005,0.28998483556483523
observed,2020-05-05,Bacon County,GA,13005,0.38000760045172044
observed,2020-05-06,Bacon County,GA,13005,0.48001519117856783
observed,2020-05-07,Bacon County,GA,13005,0.32997724970042436
observed,2020-05-08,Bacon County,GA,13005,0.18997724483798786
observed,2020-05-09,Bacon County,GA,13005,0.020022762455667673
observed,2020-05-10,Bacon County,GA,13005,0.06001517659125678
