condition,date,county,state,fips,illness
observed,2020-02-16,Adair County,IA,19001,8.489985120364702
observed,2020-02-17,Adair County,IA,19001,7.900000274380361
observed,2020-02-18,Adair County,IA,19001,8.050000279590112
observed,2020-02-19,Adair County,IA,19001,8.02996992988077
observed,2020-02-20,Adair County,IA,19001,8.810015480493554
observed,2020-02-21,Adair County,IA,19001,9.289985148150054
observed,2020-02-22,Adair County,IA,19001,8.92996996113929
observed,2020-02-23,Adair County,IA,19001,8.529969947246613
observed,2020-02-24,Adair County,IA,19001,8.02996992988077
observed,2020-02-25,Adair County,IA,19001,7.670030615406782
observed,2020-02-26,Adair County,IA,19001,7.7799699211978455
observed,2020-02-27,Adair County,IA,19001,7.360015430132602
observed,2020-02-28,Adair County,IA,19001,6.6500002309657456
observed,2020-02-29,Adair County,IA,19001,6.3899850474281505
observed,2020-03-01,Adair County,IA,19001,6.429969874310064
observed,2020-03-02,Adair County,IA,19001,7.239985076950088
observed,2020-03-03,Adair County,IA,19001,6.960015416239926
observed,2020-03-04,Adair County,IA,19001,6.3799698725734775
observed,2020-03-05,Adair County,IA,19001,6.120030561572661
observed,2020-03-06,Adair County,IA,19001,6.17996986562714
observed,2020-03-07,Adair County,IA,19001,6.100000211863316
observed,2020-03-08,Adair County,IA,19001,5.560015367615558
observed,2020-03-09,Adair County,IA,19001,5.739985024852551
observed,2020-03-10,Adair County,IA,19001,5.300000184077964
observed,2020-03-11,Adair County,IA,19001,4.929969822212526
observed,2020-03-12,Adair County,IA,19001,5.179969830895448
observed,2020-03-13,Adair County,IA,19001,5.350000185814547
observed,2020-03-14,Adair County,IA,19001,5.389985012696459
observed,2020-03-15,Adair County,IA,19001,5.139985004013537
observed,2020-03-16,Adair County,IA,19001,5.189985005750121
observed,2020-03-17,Adair County,IA,19001,4.870030518158048
observed,2020-03-18,Adair County,IA,19001,4.850000168448702
observed,2020-03-19,Adair County,IA,19001,4.8299698187393565
observed,2020-03-20,Adair County,IA,19001,4.57003050773854
observed,2020-03-21,Adair County,IA,19001,4.329969801373511
observed,2020-03-22,Adair County,IA,19001,3.6000001250340885
observed,2020-03-23,Adair County,IA,19001,3.0200304539044183
observed,2020-03-24,Adair County,IA,19001,2.9200304504312484
observed,2020-03-25,Adair County,IA,19001,2.7700304452214946
observed,2020-03-26,Adair County,IA,19001,2.5299697388564675
observed,2020-03-27,Adair County,IA,19001,2.3700304313288187
observed,2020-03-28,Adair County,IA,19001,1.7799697128076997
observed,2020-03-29,Adair County,IA,19001,1.5000000520975374
observed,2020-03-30,Adair County,IA,19001,1.3899848737696945
observed,2020-03-31,Adair County,IA,19001,1.3500000468877835
observed,2020-04-01,Adair County,IA,19001,1.1500000399414456
observed,2020-04-02,Adair County,IA,19001,1.1299696902321
observed,2020-04-03,Adair County,IA,19001,0.8899848564038487
observed,2020-04-04,Adair County,IA,19001,0.6200303705483594
observed,2020-04-05,Adair County,IA,19001,0.5500000191024298
observed,2020-04-06,Adair County,IA,19001,0.4200303636020215
observed,2020-04-07,Adair County,IA,19001,0.4700303653386054
observed,2020-04-08,Adair County,IA,19001,0.6100151956936866
observed,2020-04-09,Adair County,IA,19001,0.4600151904839326
observed,2020-04-10,Adair County,IA,19001,0.28998483556483506
observed,2020-04-11,Adair County,IA,19001,0.4000000138926758
observed,2020-04-12,Adair County,IA,19001,0.4200303636020215
observed,2020-04-13,Adair County,IA,19001,0.41001518874734866
observed,2020-04-14,Adair County,IA,19001,0.31001518527418076
observed,2020-04-15,Adair County,IA,19001,0.1399848303550811
observed,2020-04-16,Adair County,IA,19001,0.0
observed,2020-04-17,Adair County,IA,19001,0.0
observed,2020-04-18,Adair County,IA,19001,0.02003034970934571
observed,2020-04-19,Adair County,IA,19001,0.2200303566556836
observed,2020-04-20,Adair County,IA,19001,0.10000000347317002
observed,2020-04-21,Adair County,IA,19001,0.21001518180101075
observed,2020-04-22,Adair County,IA,19001,0.23998483382825114
observed,2020-04-23,Adair County,IA,19001,0.2500000086829218
