condition,date,county,state,fips,illness
observed,2020-02-16,Ada County,ID,16001,5.789977439335457
observed,2020-02-17,Ada County,ID,16001,6.430015397832129
observed,2020-02-18,Ada County,ID,16001,5.999977446629113
observed,2020-02-19,Ada County,ID,16001,6.570015402694565
observed,2020-02-20,Ada County,ID,16001,6.650000230965745
observed,2020-02-21,Ada County,ID,16001,6.4199774612164235
observed,2020-02-22,Ada County,ID,16001,6.47999263780768
observed,2020-02-23,Ada County,ID,16001,6.489977463647642
observed,2020-02-24,Ada County,ID,16001,6.199992628082806
observed,2020-02-25,Ada County,ID,16001,5.560007780361881
observed,2020-02-26,Ada County,ID,16001,5.270022944797045
observed,2020-02-27,Ada County,ID,16001,5.079992589183313
observed,2020-02-28,Ada County,ID,16001,4.8099774052984
observed,2020-02-29,Ada County,ID,16001,4.690000162891631
observed,2020-03-01,Ada County,ID,16001,4.769984991162811
observed,2020-03-02,Ada County,ID,16001,4.909984996025248
observed,2020-03-03,Ada County,ID,16001,5.359992598908185
observed,2020-03-04,Ada County,ID,16001,5.320000184772597
observed,2020-03-05,Ada County,ID,16001,5.690022959384355
observed,2020-03-06,Ada County,ID,16001,5.4800229520907004
observed,2020-03-07,Ada County,ID,16001,5.299977422316929
observed,2020-03-08,Ada County,ID,16001,5.600000194497469
observed,2020-03-09,Ada County,ID,16001,5.380015361363854
observed,2020-03-10,Ada County,ID,16001,5.009992586752094
observed,2020-03-11,Ada County,ID,16001,4.3400001507355395
observed,2020-03-12,Ada County,ID,16001,4.459977393142308
observed,2020-03-13,Ada County,ID,16001,4.430022915622425
observed,2020-03-14,Ada County,ID,16001,4.3400001507355395
observed,2020-03-15,Ada County,ID,16001,4.680015337051669
observed,2020-03-16,Ada County,ID,16001,4.629984986300373
observed,2020-03-17,Ada County,ID,16001,4.489984981437937
observed,2020-03-18,Ada County,ID,16001,4.659992574596004
observed,2020-03-19,Ada County,ID,16001,5.089977415023274
observed,2020-03-20,Ada County,ID,16001,5.14000776577457
observed,2020-03-21,Ada County,ID,16001,4.239992560008692
observed,2020-03-22,Ada County,ID,16001,3.3999925308340715
observed,2020-03-23,Ada County,ID,16001,3.189992523540416
observed,2020-03-24,Ada County,ID,16001,3.019984930382351
observed,2020-03-25,Ada County,ID,16001,2.6299925040906698
observed,2020-03-26,Ada County,ID,16001,1.8800152398029344
observed,2020-03-27,Ada County,ID,16001,1.1599924530350842
observed,2020-03-28,Ada County,ID,16001,0.9100000316058381
observed,2020-03-29,Ada County,ID,16001,0.9000152057658773
observed,2020-03-30,Ada County,ID,16001,0.9100000316058381
observed,2020-03-31,Ada County,ID,16001,0.8499848550145813
observed,2020-04-01,Ada County,ID,16001,0.870007617470249
observed,2020-04-02,Ada County,ID,16001,0.6500227843366327
observed,2020-04-03,Ada County,ID,16001,0.4699772545628609
observed,2020-04-04,Ada County,ID,16001,0.9899848598770178
observed,2020-04-05,Ada County,ID,16001,0.7499772642877354
observed,2020-04-06,Ada County,ID,16001,0.6500227843366327
observed,2020-04-07,Ada County,ID,16001,0.49998484285848926
observed,2020-04-08,Ada County,ID,16001,0.6399848477209273
observed,2020-04-09,Ada County,ID,16001,0.5600000194497475
observed,2020-04-10,Ada County,ID,16001,0.7200227867678503
observed,2020-04-11,Ada County,ID,16001,0.7600152009034409
observed,2020-04-12,Ada County,ID,16001,0.7399924384477732
observed,2020-04-13,Ada County,ID,16001,0.8199772667189529
observed,2020-04-14,Ada County,ID,16001,0.6500227843366327
observed,2020-04-15,Ada County,ID,16001,0.7600152009034409
observed,2020-04-16,Ada County,ID,16001,0.6900151984722218
observed,2020-04-17,Ada County,ID,16001,0.9000152057658773
observed,2020-04-18,Ada County,ID,16001,1.0899924506038652
observed,2020-04-19,Ada County,ID,16001,1.1900000413307126
observed,2020-04-20,Ada County,ID,16001,1.1800152154907504
observed,2020-04-21,Ada County,ID,16001,0.9000152057658773
observed,2020-04-22,Ada County,ID,16001,0.889977269150172
observed,2020-04-23,Ada County,ID,16001,0.7799848525833638
observed,2020-04-24,Ada County,ID,16001,0.5699848452897083
observed,2020-04-25,Ada County,ID,16001,0.31000759802050143
observed,2020-04-26,Ada County,ID,16001,0.14000000486243652
observed,2020-04-27,Ada County,ID,16001,0.0
observed,2020-04-28,Ada County,ID,16001,0.0
observed,2020-04-29,Ada County,ID,16001,0.0
observed,2020-04-30,Ada County,ID,16001,0.0
observed,2020-05-01,Ada County,ID,16001,0.0
observed,2020-05-02,Ada County,ID,16001,0.0
observed,2020-05-03,Ada County,ID,16001,0.0
observed,2020-05-04,Ada County,ID,16001,0.0
observed,2020-05-05,Ada County,ID,16001,0.0
observed,2020-05-06,Ada County,ID,16001,0.14998483070239874
observed,2020-05-07,Ada County,ID,16001,0.06001517659125678
observed,2020-05-08,Ada County,ID,16001,0.14998483070239874
observed,2020-05-09,Ada County,ID,16001,0.21998483313361625
observed,2020-05-10,Ada County,ID,16001,0.24999242142924463
observed,2020-05-11,Ada County,ID,16001,0.35998483799605274
observed,2020-05-12,Ada County,ID,16001,0.21000000729365553
observed,2020-05-13,Ada County,ID,16001,0.1700075931580649
observed,2020-05-14,Ada County,ID,16001,0.5500151936097853
observed,2020-05-15,Ada County,ID,16001,0.35000001215609206
observed,2020-05-16,Ada County,ID,16001,0.21998483313361625
observed,2020-05-17,Ada County,ID,16001,0.18997724483798786
observed,2020-05-18,Ada County,ID,16001,0.2000151814536933
observed,2020-05-19,Ada County,ID,16001,0.14000000486243652
atypical,2020-03-05,Ada County,ID,16001,5.690022959384355
atypical,2020-03-06,Ada County,ID,16001,5.4800229520907004
atypical,2020-03-07,Ada County,ID,16001,5.299977422316929
atypical,2020-03-08,Ada County,ID,16001,5.600000194497469
atypical,2020-03-09,Ada County,ID,16001,5.380015361363854
atypical,2020-03-17,Ada County,ID,16001,4.489984981437937
atypical,2020-03-18,Ada County,ID,16001,4.659992574596004
atypical,2020-03-19,Ada County,ID,16001,5.089977415023274
atypical,2020-03-20,Ada County,ID,16001,5.14000776577457
atypical,2020-03-21,Ada County,ID,16001,4.239992560008692
atypical,2020-03-22,Ada County,ID,16001,3.3999925308340715
atypical,2020-03-23,Ada County,ID,16001,3.189992523540416
atypical,2020-03-24,Ada County,ID,16001,3.019984930382351
atypical,2020-03-25,Ada County,ID,16001,2.6299925040906698
atypical,2020-03-26,Ada County,ID,16001,1.8800152398029344
atypical,2020-04-17,Ada County,ID,16001,0.9000152057658773
atypical,2020-04-18,Ada County,ID,16001,1.0899924506038652
atypical,2020-04-19,Ada County,ID,16001,1.1900000413307126
atypical,2020-04-20,Ada County,ID,16001,1.1800152154907504
atypical,2020-04-21,Ada County,ID,16001,0.9000152057658773
atypical,2020-04-22,Ada County,ID,16001,0.889977269150172
observed,2020-02-16,Adams County,ID,16003,5.63999260863306
observed,2020-02-17,Adams County,ID,16003,6.050007797380409
observed,2020-02-18,Adams County,ID,16003,5.52001536622629
observed,2020-02-19,Adams County,ID,16003,6.080015385676036
observed,2020-02-20,Adams County,ID,16003,5.649977434473021
observed,2020-02-21,Adams County,ID,16003,5.399985013043777
observed,2020-02-22,Adams County,ID,16003,5.350007773068225
observed,2020-02-23,Adams County,ID,16003,5.2400153565014165
observed,2020-02-24,Adams County,ID,16003,5.049985000887684
observed,2020-02-25,Adams County,ID,16003,4.79999257945844
observed,2020-02-26,Adams County,ID,16003,4.449992567302347
observed,2020-02-27,Adams County,ID,16003,3.8299773712613434
observed,2020-02-28,Adams County,ID,16003,3.8999773736925625
observed,2020-02-29,Adams County,ID,16003,4.050015315170704
observed,2020-03-01,Adams County,ID,16003,4.300007736599949
observed,2020-03-02,Adams County,ID,16003,4.400015327326797
observed,2020-03-03,Adams County,ID,16003,4.710022925347298
observed,2020-03-04,Adams County,ID,16003,4.529977395573527
observed,2020-03-05,Adams County,ID,16003,4.650007748756041
observed,2020-03-06,Adams County,ID,16003,4.610015334620452
observed,2020-03-07,Adams County,ID,16003,4.540015332189233
observed,2020-03-08,Adams County,ID,16003,4.990022935072172
observed,2020-03-09,Adams County,ID,16003,5.18000017991016
observed,2020-03-10,Adams County,ID,16003,4.900000170185286
observed,2020-03-11,Adams County,ID,16003,4.400015327326797
observed,2020-03-12,Adams County,ID,16003,4.650007748756041
observed,2020-03-13,Adams County,ID,16003,4.669977400435964
observed,2020-03-14,Adams County,ID,16003,4.739977402867183
observed,2020-03-15,Adams County,ID,16003,5.149992591614532
observed,2020-03-16,Adams County,ID,16003,5.210007768205789
observed,2020-03-17,Adams County,ID,16003,4.960015346776542
observed,2020-03-18,Adams County,ID,16003,5.18000017991016
observed,2020-03-19,Adams County,ID,16003,5.399985013043777
observed,2020-03-20,Adams County,ID,16003,5.270022944797045
observed,2020-03-21,Adams County,ID,16003,4.6400229229160805
observed,2020-03-22,Adams County,ID,16003,3.8899925478526
observed,2020-03-23,Adams County,ID,16003,3.409977356674034
observed,2020-03-24,Adams County,ID,16003,3.329992528402854
observed,2020-03-25,Adams County,ID,16003,2.9700076904067996
observed,2020-03-26,Adams County,ID,16003,2.2499849036389494
observed,2020-03-27,Adams County,ID,16003,1.6300228183736898
observed,2020-03-28,Adams County,ID,16003,1.4200228110800344
observed,2020-03-29,Adams County,ID,16003,1.449977288599918
observed,2020-03-30,Adams County,ID,16003,1.3099772837374815
observed,2020-03-31,Adams County,ID,16003,1.3200152203531885
observed,2020-04-01,Adams County,ID,16003,1.0800076247639046
observed,2020-04-02,Adams County,ID,16003,0.9100000316058381
observed,2020-04-03,Adams County,ID,16003,0.6900151984722218
observed,2020-04-04,Adams County,ID,16003,0.9899848598770178
observed,2020-04-05,Adams County,ID,16003,1.0400152106283138
observed,2020-04-06,Adams County,ID,16003,0.8199772667189529
observed,2020-04-07,Adams County,ID,16003,0.6699924360165557
observed,2020-04-08,Adams County,ID,16003,0.7700000267434016
observed,2020-04-09,Adams County,ID,16003,0.6900151984722218
observed,2020-04-10,Adams County,ID,16003,0.80000761503903
observed,2020-04-11,Adams County,ID,16003,0.8099924408789922
observed,2020-04-12,Adams County,ID,16003,0.7700000267434016
observed,2020-04-13,Adams County,ID,16003,0.8600227916302883
observed,2020-04-14,Adams County,ID,16003,0.6900151984722218
observed,2020-04-15,Adams County,ID,16003,0.7399924384477732
observed,2020-04-16,Adams County,ID,16003,0.5999924335853367
observed,2020-04-17,Adams County,ID,16003,0.6699924360165557
observed,2020-04-18,Adams County,ID,16003,0.80000761503903
observed,2020-04-19,Adams County,ID,16003,0.9000152057658773
observed,2020-04-20,Adams County,ID,16003,0.9000152057658773
observed,2020-04-21,Adams County,ID,16003,0.6200151960410043
observed,2020-04-22,Adams County,ID,16003,0.6099772594252989
observed,2020-04-23,Adams County,ID,16003,0.5999924335853367
observed,2020-04-24,Adams County,ID,16003,0.3899924262916811
observed,2020-04-25,Adams County,ID,16003,0.2700151838849123
observed,2020-04-26,Adams County,ID,16003,0.21998483313361625
observed,2020-04-27,Adams County,ID,16003,0.0
observed,2020-04-28,Adams County,ID,16003,0.0
observed,2020-04-29,Adams County,ID,16003,0.03999241413558911
observed,2020-04-30,Adams County,ID,16003,0.09002276488688518
observed,2020-05-01,Adams County,ID,16003,0.03000758829562839
observed,2020-05-02,Adams County,ID,16003,0.03999241413558911
observed,2020-05-03,Adams County,ID,16003,0.0
observed,2020-05-04,Adams County,ID,16003,0.14000000486243652
observed,2020-05-05,Adams County,ID,16003,0.14000000486243652
observed,2020-05-06,Adams County,ID,16003,0.18997724483798786
observed,2020-05-07,Adams County,ID,16003,0.11997724240676884
observed,2020-05-08,Adams County,ID,16003,0.18997724483798786
observed,2020-05-09,Adams County,ID,16003,0.2700151838849123
observed,2020-05-10,Adams County,ID,16003,0.35000001215609206
observed,2020-05-11,Adams County,ID,16003,0.3899924262916811
observed,2020-05-12,Adams County,ID,16003,0.2000151814536933
observed,2020-05-13,Adams County,ID,16003,0.18997724483798786
