condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,IN,18001,7.259969903137367
observed,2020-02-17,Adams County,IN,18001,7.269985077992038
observed,2020-02-18,Adams County,IN,18001,7.149985073824236
observed,2020-02-19,Adams County,IN,18001,6.139969864237872
observed,2020-02-20,Adams County,IN,18001,6.060030559488759
observed,2020-02-21,Adams County,IN,18001,5.909985030756938
observed,2020-02-22,Adams County,IN,18001,6.109985037703277
observed,2020-02-23,Adams County,IN,18001,5.6200305442068155
observed,2020-02-24,Adams County,IN,18001,5.730015373519945
observed,2020-02-25,Adams County,IN,18001,5.610015369352143
observed,2020-02-26,Adams County,IN,18001,5.500030540039012
observed,2020-02-27,Adams County,IN,18001,5.8400002028330755
observed,2020-02-28,Adams County,IN,18001,5.7399698503451955
observed,2020-02-29,Adams County,IN,18001,5.010015348513127
observed,2020-03-01,Adams County,IN,18001,4.81001534156679
observed,2020-03-02,Adams County,IN,18001,5.179969830895449
observed,2020-03-03,Adams County,IN,18001,5.469985015474994
observed,2020-03-04,Adams County,IN,18001,5.200000180604793
observed,2020-03-05,Adams County,IN,18001,4.850015342956057
observed,2020-03-06,Adams County,IN,18001,4.309984975186233
observed,2020-03-07,Adams County,IN,18001,3.930015311002902
observed,2020-03-08,Adams County,IN,18001,4.610015334620451
observed,2020-03-09,Adams County,IN,18001,4.250015322117043
observed,2020-03-10,Adams County,IN,18001,4.820030516421462
observed,2020-03-11,Adams County,IN,18001,5.029985000193051
observed,2020-03-12,Adams County,IN,18001,5.340030534481942
observed,2020-03-13,Adams County,IN,18001,5.680000197276005
observed,2020-03-14,Adams County,IN,18001,6.069985036314009
observed,2020-03-15,Adams County,IN,18001,6.149985039092544
observed,2020-03-16,Adams County,IN,18001,6.139969864237872
observed,2020-03-17,Adams County,IN,18001,5.779969851734463
observed,2020-03-18,Adams County,IN,18001,5.909985030756938
observed,2020-03-19,Adams County,IN,18001,5.8400002028330755
observed,2020-03-20,Adams County,IN,18001,5.5099850168642615
observed,2020-03-21,Adams County,IN,18001,4.520000156987244
observed,2020-03-22,Adams County,IN,18001,4.100030491414644
observed,2020-03-23,Adams County,IN,18001,3.3800304664078276
observed,2020-03-24,Adams County,IN,18001,3.3300152901638866
observed,2020-03-25,Adams County,IN,18001,3.2000001111414114
observed,2020-03-26,Adams County,IN,18001,2.469984911279922
observed,2020-03-27,Adams County,IN,18001,1.810015237371716
observed,2020-03-28,Adams County,IN,18001,1.7400304094478536
observed,2020-03-29,Adams County,IN,18001,1.810015237371716
observed,2020-03-30,Adams County,IN,18001,1.5499848793267657
observed,2020-03-31,Adams County,IN,18001,1.320000045845833
observed,2020-04-01,Adams County,IN,18001,1.149984865434089
