condition,date,county,state,fips,illness
observed,2020-02-16,Adair County,KY,21001,5.760022961815574
observed,2020-02-17,Adair County,KY,21001,5.620022956953138
observed,2020-02-18,Adair County,KY,21001,4.979984998456465
observed,2020-02-19,Adair County,KY,21001,4.629984986300373
observed,2020-02-20,Adair County,KY,21001,4.850022930209734
observed,2020-02-21,Adair County,KY,21001,4.5899925721647845
observed,2020-02-22,Adair County,KY,21001,4.529977395573527
observed,2020-02-23,Adair County,KY,21001,4.620000160460412
observed,2020-02-24,Adair County,KY,21001,4.500022918053643
observed,2020-02-25,Adair County,KY,21001,4.470015329758014
observed,2020-02-26,Adair County,KY,21001,4.780022927778517
observed,2020-02-27,Adair County,KY,21001,5.4200077754994425
observed,2020-02-28,Adair County,KY,21001,5.7300153735199455
observed,2020-02-29,Adair County,KY,21001,5.670000196928688
observed,2020-03-01,Adair County,KY,21001,6.05999262322037
observed,2020-03-02,Adair County,KY,21001,6.349977458785205
observed,2020-03-03,Adair County,KY,21001,6.32002298126532
observed,2020-03-04,Adair County,KY,21001,6.4000078095365005
observed,2020-03-05,Adair County,KY,21001,5.779992613495497
observed,2020-03-06,Adair County,KY,21001,5.390000187203814
observed,2020-03-07,Adair County,KY,21001,5.2599850081813395
observed,2020-03-08,Adair County,KY,21001,5.4800229520907004
observed,2020-03-09,Adair County,KY,21001,5.390000187203814
observed,2020-03-10,Adair County,KY,21001,5.380015361363854
observed,2020-03-11,Adair County,KY,21001,5.560007780361881
observed,2020-03-12,Adair County,KY,21001,5.889985030062305
observed,2020-03-13,Adair County,KY,21001,6.080015385676036
observed,2020-03-14,Adair County,KY,21001,6.209977453922768
observed,2020-03-15,Adair County,KY,21001,6.090000211515998
observed,2020-03-16,Adair County,KY,21001,6.449985049512052
observed,2020-03-17,Adair County,KY,21001,6.300000218809654
observed,2020-03-18,Adair County,KY,21001,6.750007821692592
observed,2020-03-19,Adair County,KY,21001,6.1600002139472165
observed,2020-03-20,Adair County,KY,21001,5.770007787655534
observed,2020-03-21,Adair County,KY,21001,4.769984991162811
observed,2020-03-22,Adair County,KY,21001,4.480000155597976
observed,2020-03-23,Adair County,KY,21001,4.160007731737513
observed,2020-03-24,Adair County,KY,21001,3.240022874291712
observed,2020-03-25,Adair County,KY,21001,2.8799849255199144
observed,2020-03-26,Adair County,KY,21001,2.459984910932605
observed,2020-03-27,Adair County,KY,21001,1.910022828098563
observed,2020-03-28,Adair County,KY,21001,1.610000055918022
observed,2020-03-29,Adair County,KY,21001,1.7199924724848303
observed,2020-03-30,Adair County,KY,21001,1.6599772958935735
observed,2020-03-31,Adair County,KY,21001,1.8299848890516384
observed,2020-04-01,Adair County,KY,21001,1.7700228232361264
observed,2020-04-02,Adair County,KY,21001,1.6000152300780615
observed,2020-04-03,Adair County,KY,21001,1.5300152276468424
observed,2020-04-04,Adair County,KY,21001,1.780007649076087
observed,2020-04-05,Adair County,KY,21001,1.589977293462356
observed,2020-04-06,Adair County,KY,21001,1.4900228135112534
observed,2020-04-07,Adair County,KY,21001,1.5700076417824331
observed,2020-04-08,Adair County,KY,21001,1.2500152179219695
observed,2020-04-09,Adair County,KY,21001,1.1800152154907504
observed,2020-04-10,Adair County,KY,21001,1.0899924506038652
observed,2020-04-11,Adair County,KY,21001,1.0999772764438274
observed,2020-04-12,Adair County,KY,21001,0.8199772667189529
observed,2020-04-13,Adair County,KY,21001,0.870007617470249
observed,2020-04-14,Adair County,KY,21001,0.8300152033346584
observed,2020-04-15,Adair County,KY,21001,0.7600152009034409
observed,2020-04-16,Adair County,KY,21001,0.8199772667189529
observed,2020-04-17,Adair County,KY,21001,0.80000761503903
observed,2020-04-18,Adair County,KY,21001,0.7399924384477732
observed,2020-04-19,Adair County,KY,21001,0.53997725699408
observed,2020-04-20,Adair County,KY,21001,0.32997724970042436
observed,2020-04-21,Adair County,KY,21001,0.24999242142924463
observed,2020-04-22,Adair County,KY,21001,0.28000000972487304
observed,2020-04-23,Adair County,KY,21001,0.07998482827117973
observed,2020-04-24,Adair County,KY,21001,0.2000151814536933
