condition,date,county,state,fips,illness
observed,2020-02-16,Acadia Parish,LA,22001,5.1400153530282475
observed,2020-02-17,Acadia Parish,LA,22001,5.299985009570607
observed,2020-02-18,Acadia Parish,LA,22001,5.320015359279951
observed,2020-02-19,Acadia Parish,LA,22001,5.239985007486705
observed,2020-02-20,Acadia Parish,LA,22001,4.8199849928993945
observed,2020-02-21,Acadia Parish,LA,22001,4.609984985605739
observed,2020-02-22,Acadia Parish,LA,22001,4.699984988731591
observed,2020-02-23,Acadia Parish,LA,22001,4.500000156292609
observed,2020-02-24,Acadia Parish,LA,22001,4.590000159418461
observed,2020-02-25,Acadia Parish,LA,22001,4.369984977270134
observed,2020-02-26,Acadia Parish,LA,22001,4.620000160460412
observed,2020-02-27,Acadia Parish,LA,22001,4.789984991857445
observed,2020-02-28,Acadia Parish,LA,22001,4.990015347818494
observed,2020-02-29,Acadia Parish,LA,22001,4.939984997067198
observed,2020-03-01,Acadia Parish,LA,22001,5.1400153530282475
observed,2020-03-02,Acadia Parish,LA,22001,5.34000018546723
observed,2020-03-03,Acadia Parish,LA,22001,5.449985014780361
observed,2020-03-04,Acadia Parish,LA,22001,5.5099850168642615
observed,2020-03-05,Acadia Parish,LA,22001,5.770015374909213
observed,2020-03-06,Acadia Parish,LA,22001,5.640000195886737
observed,2020-03-07,Acadia Parish,LA,22001,5.599985019990114
observed,2020-03-08,Acadia Parish,LA,22001,5.689985023115966
observed,2020-03-09,Acadia Parish,LA,22001,5.8300153769931145
observed,2020-03-10,Acadia Parish,LA,22001,5.680015371783361
observed,2020-03-11,Acadia Parish,LA,22001,5.329985010612557
observed,2020-03-12,Acadia Parish,LA,22001,4.440000154208708
observed,2020-03-13,Acadia Parish,LA,22001,4.5499849835218384
observed,2020-03-14,Acadia Parish,LA,22001,4.219984972060381
observed,2020-03-15,Acadia Parish,LA,22001,4.219984972060381
observed,2020-03-16,Acadia Parish,LA,22001,4.770000165670166
observed,2020-03-17,Acadia Parish,LA,22001,4.510015331147281
observed,2020-03-18,Acadia Parish,LA,22001,4.5499849835218384
observed,2020-03-19,Acadia Parish,LA,22001,5.310000184425279
observed,2020-03-20,Acadia Parish,LA,22001,5.149985004360853
observed,2020-03-21,Acadia Parish,LA,22001,5.119985003318902
observed,2020-03-22,Acadia Parish,LA,22001,5.0899850022769515
observed,2020-03-23,Acadia Parish,LA,22001,4.849984993941346
observed,2020-03-24,Acadia Parish,LA,22001,4.270015322811676
observed,2020-03-25,Acadia Parish,LA,22001,3.9100153103082667
observed,2020-03-26,Acadia Parish,LA,22001,3.949984962682824
observed,2020-03-27,Acadia Parish,LA,22001,2.929984927256499
observed,2020-03-28,Acadia Parish,LA,22001,2.6400000916916637
observed,2020-03-29,Acadia Parish,LA,22001,2.659984917878943
observed,2020-03-30,Acadia Parish,LA,22001,2.179984901207731
observed,2020-03-31,Acadia Parish,LA,22001,1.5400152279941601
observed,2020-04-01,Acadia Parish,LA,22001,1.500000052097536
observed,2020-04-02,Acadia Parish,LA,22001,1.6600152321619628
observed,2020-04-03,Acadia Parish,LA,22001,1.560000054181438
observed,2020-04-04,Acadia Parish,LA,22001,1.3500000468877829
observed,2020-04-05,Acadia Parish,LA,22001,1.3699848730750608
observed,2020-04-06,Acadia Parish,LA,22001,1.2799848699492085
observed,2020-04-07,Acadia Parish,LA,22001,1.2600000437619305
observed,2020-04-08,Acadia Parish,LA,22001,1.12001521340685
observed,2020-04-09,Acadia Parish,LA,22001,0.9300000323004727
observed,2020-04-10,Acadia Parish,LA,22001,0.769984852236046
observed,2020-04-11,Acadia Parish,LA,22001,0.7800000270907184
observed,2020-04-12,Acadia Parish,LA,22001,0.9000000312585223
observed,2020-04-13,Acadia Parish,LA,22001,0.9300000323004727
observed,2020-04-14,Acadia Parish,LA,22001,0.9100152061131948
observed,2020-04-15,Acadia Parish,LA,22001,0.8500152040292928
observed,2020-04-16,Acadia Parish,LA,22001,0.5899848459843425
observed,2020-04-17,Acadia Parish,LA,22001,0.48000001667121217
observed,2020-04-18,Acadia Parish,LA,22001,0.7000151988195397
observed,2020-04-19,Acadia Parish,LA,22001,0.670015197777588
observed,2020-04-20,Acadia Parish,LA,22001,0.5700000197970633
observed,2020-04-21,Acadia Parish,LA,22001,0.3600000125034082
observed,2020-04-22,Acadia Parish,LA,22001,0.4200000145873102
observed,2020-04-23,Acadia Parish,LA,22001,0.5100000177131625
observed,2020-04-24,Acadia Parish,LA,22001,0.5200151925678349
observed,2020-04-25,Acadia Parish,LA,22001,0.5100000177131625
observed,2020-04-26,Acadia Parish,LA,22001,0.2500151831902779
observed,2020-04-27,Acadia Parish,LA,22001,0.07998482827117995
observed,2020-04-28,Acadia Parish,LA,22001,0.04998482722922958
observed,2020-04-29,Acadia Parish,LA,22001,0.1099848293131303
observed,2020-04-30,Acadia Parish,LA,22001,0.0
observed,2020-05-01,Acadia Parish,LA,22001,0.0
observed,2020-05-02,Acadia Parish,LA,22001,0.0
observed,2020-05-03,Acadia Parish,LA,22001,0.0
observed,2020-05-04,Acadia Parish,LA,22001,0.1600151800644255
observed,2020-05-05,Acadia Parish,LA,22001,0.1600151800644255
observed,2020-05-06,Acadia Parish,LA,22001,0.13998483035508066
observed,2020-05-07,Acadia Parish,LA,22001,0.2100000072936551
observed,2020-05-08,Acadia Parish,LA,22001,0.19998483243898266
observed,2020-05-09,Acadia Parish,LA,22001,0.3199848366067854
observed,2020-05-10,Acadia Parish,LA,22001,0.28001518423222954
observed,2020-05-11,Acadia Parish,LA,22001,0.3900000135453598
observed,2020-05-12,Acadia Parish,LA,22001,0.30000001041950747
observed,2020-05-13,Acadia Parish,LA,22001,0.22998483348093302
observed,2020-05-14,Acadia Parish,LA,22001,0.2599848345228847
observed,2020-05-15,Acadia Parish,LA,22001,0.18000000625170473
observed,2020-05-16,Acadia Parish,LA,22001,0.28001518423222954
observed,2020-05-17,Acadia Parish,LA,22001,0.30000001041950747
observed,2020-05-18,Acadia Parish,LA,22001,0.4399848407745881
observed,2020-05-19,Acadia Parish,LA,22001,0.5599848449423909
observed,2020-02-16,Allen Parish,LA,22003,5.350007773068225
observed,2020-02-17,Allen Parish,LA,22003,5.380015361363854
observed,2020-02-18,Allen Parish,LA,22003,5.320000184772597
observed,2020-02-19,Allen Parish,LA,22003,5.1899850057501205
observed,2020-02-20,Allen Parish,LA,22003,4.669977400435964
observed,2020-02-21,Allen Parish,LA,22003,4.500022918053643
observed,2020-02-22,Allen Parish,LA,22003,4.629984986300373
observed,2020-02-23,Allen Parish,LA,22003,4.690000162891631
observed,2020-02-24,Allen Parish,LA,22003,4.750015339482888
observed,2020-02-25,Allen Parish,LA,22003,4.5700229204848615
observed,2020-02-26,Allen Parish,LA,22003,4.769984991162811
observed,2020-02-27,Allen Parish,LA,22003,4.939992584320876
observed,2020-02-28,Allen Parish,LA,22003,5.2599850081813395
observed,2020-02-29,Allen Parish,LA,22003,5.219992594045749
observed,2020-03-01,Allen Parish,LA,22003,5.4399774271793655
observed,2020-03-02,Allen Parish,LA,22003,5.4800229520907004
observed,2020-03-03,Allen Parish,LA,22003,5.740000199359907
observed,2020-03-04,Allen Parish,LA,22003,5.6799850227686495
observed,2020-03-05,Allen Parish,LA,22003,5.940015380813601
observed,2020-03-06,Allen Parish,LA,22003,5.779992613495497
observed,2020-03-07,Allen Parish,LA,22003,5.740000199359907
observed,2020-03-08,Allen Parish,LA,22003,5.940015380813601
observed,2020-03-09,Allen Parish,LA,22003,6.050007797380409
observed,2020-03-10,Allen Parish,LA,22003,5.889985030062305
observed,2020-03-11,Allen Parish,LA,22003,5.310015358932635
observed,2020-03-12,Allen Parish,LA,22003,4.470015329758014
observed,2020-03-13,Allen Parish,LA,22003,4.629984986300373
observed,2020-03-14,Allen Parish,LA,22003,4.559984983869156
observed,2020-03-15,Allen Parish,LA,22003,4.510007743893604
observed,2020-03-16,Allen Parish,LA,22003,4.900000170185286
observed,2020-03-17,Allen Parish,LA,22003,4.5700229204848615
observed,2020-03-18,Allen Parish,LA,22003,4.669977400435964
observed,2020-03-19,Allen Parish,LA,22003,5.460000189635033
observed,2020-03-20,Allen Parish,LA,22003,5.299977422316929
observed,2020-03-21,Allen Parish,LA,22003,5.429992601339404
observed,2020-03-22,Allen Parish,LA,22003,5.270022944797045
observed,2020-03-23,Allen Parish,LA,22003,4.9499774101608365
observed,2020-03-24,Allen Parish,LA,22003,4.389977390711091
observed,2020-03-25,Allen Parish,LA,22003,4.0800229034663325
observed,2020-03-26,Allen Parish,LA,22003,4.120015317601923
observed,2020-03-27,Allen Parish,LA,22003,3.0899849328135702
observed,2020-03-28,Allen Parish,LA,22003,2.690007680681927
observed,2020-03-29,Allen Parish,LA,22003,2.739984920657478
observed,2020-03-30,Allen Parish,LA,22003,2.2499849036389494
observed,2020-03-31,Allen Parish,LA,22003,1.589977293462356
observed,2020-04-01,Allen Parish,LA,22003,1.479984876895548
observed,2020-04-02,Allen Parish,LA,22003,1.6499924700536128
observed,2020-04-03,Allen Parish,LA,22003,1.5099924651911762
observed,2020-04-04,Allen Parish,LA,22003,1.239977281306264
