condition,date,county,state,fips,illness
observed,2020-02-15,Barnstable County,MA,25001,9.100000000000001
observed,2020-02-16,Barnstable County,MA,25001,8.7
observed,2020-02-17,Barnstable County,MA,25001,8.809999999999999
observed,2020-02-18,Barnstable County,MA,25001,8.37
observed,2020-02-19,Barnstable County,MA,25001,7.8100000000000005
observed,2020-02-20,Barnstable County,MA,25001,7.300000000000001
observed,2020-02-21,Barnstable County,MA,25001,6.920000000000002
observed,2020-02-22,Barnstable County,MA,25001,6.3
observed,2020-02-23,Barnstable County,MA,25001,6.010000000000001
observed,2020-02-24,Barnstable County,MA,25001,5.6899999999999995
observed,2020-02-25,Barnstable County,MA,25001,5.359999999999999
observed,2020-02-26,Barnstable County,MA,25001,5.300000000000001
observed,2020-02-27,Barnstable County,MA,25001,4.87
observed,2020-02-28,Barnstable County,MA,25001,4.78
observed,2020-02-29,Barnstable County,MA,25001,4.87
observed,2020-03-01,Barnstable County,MA,25001,4.26
observed,2020-03-02,Barnstable County,MA,25001,4.569999999999999
observed,2020-03-03,Barnstable County,MA,25001,5.029999999999999
observed,2020-03-04,Barnstable County,MA,25001,4.92
observed,2020-03-05,Barnstable County,MA,25001,4.69
observed,2020-03-06,Barnstable County,MA,25001,4.930000000000001
observed,2020-03-07,Barnstable County,MA,25001,4.770000000000001
observed,2020-03-08,Barnstable County,MA,25001,5.3100000000000005
observed,2020-03-09,Barnstable County,MA,25001,5.64
observed,2020-03-10,Barnstable County,MA,25001,5.720000000000001
observed,2020-03-11,Barnstable County,MA,25001,5.66
observed,2020-03-12,Barnstable County,MA,25001,5.62
observed,2020-03-13,Barnstable County,MA,25001,5.4300000000000015
observed,2020-03-14,Barnstable County,MA,25001,5.130000000000001
observed,2020-03-15,Barnstable County,MA,25001,5.15
observed,2020-03-16,Barnstable County,MA,25001,4.65
observed,2020-03-17,Barnstable County,MA,25001,4.200000000000001
observed,2020-03-18,Barnstable County,MA,25001,4.46
observed,2020-03-19,Barnstable County,MA,25001,4.090000000000001
observed,2020-03-20,Barnstable County,MA,25001,3.810000000000001
observed,2020-03-21,Barnstable County,MA,25001,3.6300000000000012
observed,2020-03-22,Barnstable County,MA,25001,3.0999999999999996
observed,2020-03-23,Barnstable County,MA,25001,2.690000000000001
observed,2020-03-24,Barnstable County,MA,25001,2.1799999999999993
observed,2020-03-25,Barnstable County,MA,25001,1.67
observed,2020-03-26,Barnstable County,MA,25001,1.4299999999999997
observed,2020-03-27,Barnstable County,MA,25001,1.3100000000000005
observed,2020-03-28,Barnstable County,MA,25001,1.350000000000001
observed,2020-03-29,Barnstable County,MA,25001,1.4200000000000006
observed,2020-03-30,Barnstable County,MA,25001,1.58
observed,2020-03-31,Barnstable County,MA,25001,1.5700000000000007
observed,2020-04-01,Barnstable County,MA,25001,1.4999999999999993
observed,2020-04-02,Barnstable County,MA,25001,1.2799999999999994
observed,2020-04-03,Barnstable County,MA,25001,1.2000000000000006
observed,2020-04-04,Barnstable County,MA,25001,1.2599999999999993
observed,2020-04-05,Barnstable County,MA,25001,1.2700000000000002
observed,2020-04-06,Barnstable County,MA,25001,0.7699999999999998
observed,2020-04-07,Barnstable County,MA,25001,0.6599999999999999
observed,2020-04-08,Barnstable County,MA,25001,0.5000000000000004
observed,2020-04-09,Barnstable County,MA,25001,0.48000000000000026
observed,2020-04-10,Barnstable County,MA,25001,0.4500000000000009
observed,2020-04-11,Barnstable County,MA,25001,0.3099999999999998
observed,2020-04-12,Barnstable County,MA,25001,0.26999999999999946
observed,2020-04-13,Barnstable County,MA,25001,0.04000000000000032
observed,2020-04-14,Barnstable County,MA,25001,0.04000000000000032
observed,2020-04-15,Barnstable County,MA,25001,0.0
observed,2020-04-16,Barnstable County,MA,25001,0.0
observed,2020-04-17,Barnstable County,MA,25001,0.0
observed,2020-04-18,Barnstable County,MA,25001,0.0
observed,2020-04-19,Barnstable County,MA,25001,0.02000000000000016
observed,2020-04-20,Barnstable County,MA,25001,0.0
observed,2020-04-21,Barnstable County,MA,25001,0.0
observed,2020-04-22,Barnstable County,MA,25001,0.04000000000000032
observed,2020-04-23,Barnstable County,MA,25001,0.1000000000000008
atypical,2020-03-08,Barnstable County,MA,25001,5.3100000000000005
atypical,2020-03-09,Barnstable County,MA,25001,5.64
atypical,2020-03-10,Barnstable County,MA,25001,5.720000000000001
atypical,2020-03-11,Barnstable County,MA,25001,5.66
