condition,date,county,state,fips,illness
observed,2020-02-16,Allegany County,MD,24001,8.169992696504238
observed,2020-02-17,Allegany County,MD,24001,7.980023038919928
observed,2020-02-18,Allegany County,MD,24001,7.629992677749125
observed,2020-02-19,Allegany County,MD,24001,7.510015435342355
observed,2020-02-20,Allegany County,MD,24001,7.139977486223241
observed,2020-02-21,Allegany County,MD,24001,7.2900002531940284
observed,2020-02-22,Allegany County,MD,24001,6.900023001409702
observed,2020-02-23,Allegany County,MD,24001,6.939969892023226
observed,2020-02-24,Allegany County,MD,24001,6.540022988906293
observed,2020-02-25,Allegany County,MD,24001,6.18999262773549
observed,2020-02-26,Allegany County,MD,24001,5.850000203180392
observed,2020-02-27,Allegany County,MD,24001,5.859969854512999
observed,2020-02-28,Allegany County,MD,24001,5.730022960773624
observed,2020-02-29,Allegany County,MD,24001,5.660030545596083
observed,2020-03-01,Allegany County,MD,24001,5.550022954521918
observed,2020-03-02,Allegany County,MD,24001,5.899985030409621
observed,2020-03-03,Allegany County,MD,24001,5.480030539344379
observed,2020-03-04,Allegany County,MD,24001,5.4200077754994425
observed,2020-03-05,Allegany County,MD,24001,5.57003054247023
observed,2020-03-06,Allegany County,MD,24001,5.550022954521918
observed,2020-03-07,Allegany County,MD,24001,5.269985008528655
observed,2020-03-08,Allegany County,MD,24001,5.42997742683205
observed,2020-03-09,Allegany County,MD,24001,5.100022938892659
observed,2020-03-10,Allegany County,MD,24001,4.970007759870182
observed,2020-03-11,Allegany County,MD,24001,4.670030511211707
observed,2020-03-12,Allegany County,MD,24001,4.659992574596003
observed,2020-03-13,Allegany County,MD,24001,4.540015332189232
observed,2020-03-14,Allegany County,MD,24001,4.299992562092594
observed,2020-03-15,Allegany County,MD,24001,4.7799698170027725
observed,2020-03-16,Allegany County,MD,24001,4.50000015629261
observed,2020-03-17,Allegany County,MD,24001,4.299992562092594
observed,2020-03-18,Allegany County,MD,24001,4.50000015629261
observed,2020-03-19,Allegany County,MD,24001,4.459984980395986
observed,2020-03-20,Allegany County,MD,24001,4.149969795121807
observed,2020-03-21,Allegany County,MD,24001,3.809977370566709
observed,2020-03-22,Allegany County,MD,24001,3.2699773518115967
observed,2020-03-23,Allegany County,MD,24001,2.749984921004794
observed,2020-03-24,Allegany County,MD,24001,2.3699773205530743
observed,2020-03-25,Allegany County,MD,24001,2.0400228326136833
observed,2020-03-26,Allegany County,MD,24001,1.710000059391192
observed,2020-03-27,Allegany County,MD,24001,1.4499697013462416
observed,2020-03-28,Allegany County,MD,24001,1.4499697013462416
observed,2020-03-29,Allegany County,MD,24001,1.2800076317102427
observed,2020-03-30,Allegany County,MD,24001,1.2100152165327016
observed,2020-03-31,Allegany County,MD,24001,1.1499924526877676
observed,2020-04-01,Allegany County,MD,24001,0.9900000343843736
observed,2020-04-02,Allegany County,MD,24001,1.0300152102809976
observed,2020-04-03,Allegany County,MD,24001,0.9999696857169803
observed,2020-04-04,Allegany County,MD,24001,0.8599848553618984
observed,2020-04-05,Allegany County,MD,24001,0.8199696794652762
observed,2020-04-06,Allegany County,MD,24001,0.9299772705394393
observed,2020-04-07,Allegany County,MD,24001,0.8100000281326695
observed,2020-04-08,Allegany County,MD,24001,0.6000227826000484
observed,2020-04-09,Allegany County,MD,24001,0.5400000187551123
observed,2020-04-10,Allegany County,MD,24001,0.40998483973263716
observed,2020-04-11,Allegany County,MD,24001,0.3600000125034082
observed,2020-04-12,Allegany County,MD,24001,0.369969663836015
observed,2020-04-13,Allegany County,MD,24001,0.09000000312585302
observed,2020-04-14,Allegany County,MD,24001,0.0
observed,2020-04-15,Allegany County,MD,24001,0.0
observed,2020-04-16,Allegany County,MD,24001,0.0
observed,2020-04-17,Allegany County,MD,24001,0.0
observed,2020-04-18,Allegany County,MD,24001,0.0
observed,2020-04-19,Allegany County,MD,24001,0.0
observed,2020-04-20,Allegany County,MD,24001,0.0
observed,2020-04-21,Allegany County,MD,24001,0.0
observed,2020-04-22,Allegany County,MD,24001,0.06999241517754098
observed,2020-04-23,Allegany County,MD,24001,0.15999241830339206
observed,2020-04-24,Allegany County,MD,24001,0.17003035491909924
observed,2020-04-25,Allegany County,MD,24001,0.17003035491909924
observed,2020-04-26,Allegany County,MD,24001,0.40001518840003225
observed,2020-04-27,Allegany County,MD,24001,0.3300227732224913
observed,2020-04-28,Allegany County,MD,24001,0.3399924245550981
observed,2020-04-29,Allegany County,MD,24001,0.3600000125034082
observed,2020-04-30,Allegany County,MD,24001,0.26003035804495034
observed,2020-05-01,Allegany County,MD,24001,0.5400000187551123
observed,2020-05-02,Allegany County,MD,24001,0.47000760357757326
observed,2020-05-03,Allegany County,MD,24001,0.42002277634834434
observed,2020-05-04,Allegany County,MD,24001,0.3899772517843271
observed,2020-05-05,Allegany County,MD,24001,0.40001518840003225
observed,2020-05-06,Allegany County,MD,24001,0.369969663836015
observed,2020-05-07,Allegany County,MD,24001,0.31001518527417926
observed,2020-05-08,Allegany County,MD,24001,0.15999241830339206
observed,2020-05-09,Allegany County,MD,24001,0.09000000312585302
observed,2020-05-10,Allegany County,MD,24001,0.0
observed,2020-05-11,Allegany County,MD,24001,0.0
observed,2020-05-12,Allegany County,MD,24001,0.049984827229228944
observed,2020-05-13,Allegany County,MD,24001,0.11000759107416312
observed,2020-05-14,Allegany County,MD,24001,0.15999241830339206
observed,2020-05-15,Allegany County,MD,24001,0.1500227669707872
observed,2020-05-16,Allegany County,MD,24001,0.22998483348093304
observed,2020-05-17,Allegany County,MD,24001,0.2200151821483282
observed,2020-05-18,Allegany County,MD,24001,0.26003035804495034
observed,2020-05-19,Allegany County,MD,24001,0.24002277009663828
