condition,date,county,state,fips,illness
observed,2020-02-16,Androscoggin County,ME,23001,9.189985144676886
observed,2020-02-17,Androscoggin County,ME,23001,8.989985137730548
observed,2020-02-18,Androscoggin County,ME,23001,9.11001549091306
observed,2020-02-19,Androscoggin County,ME,23001,8.55000029695596
observed,2020-02-20,Androscoggin County,ME,23001,7.860015447498448
observed,2020-02-21,Androscoggin County,ME,23001,7.420030606723858
observed,2020-02-22,Androscoggin County,ME,23001,7.089985071740334
observed,2020-02-23,Androscoggin County,ME,23001,6.3799698725734775
observed,2020-02-24,Androscoggin County,ME,23001,5.889985030062305
observed,2020-02-25,Androscoggin County,ME,23001,5.3600153606692205
observed,2020-02-26,Androscoggin County,ME,23001,5.070030525104386
observed,2020-02-27,Androscoggin County,ME,23001,4.989984998803783
observed,2020-02-28,Androscoggin County,ME,23001,4.820030516421461
observed,2020-02-29,Androscoggin County,ME,23001,4.850000168448702
observed,2020-03-01,Androscoggin County,ME,23001,4.970030521631216
observed,2020-03-02,Androscoggin County,ME,23001,4.510015331147283
observed,2020-03-03,Androscoggin County,ME,23001,4.750000164975532
observed,2020-03-04,Androscoggin County,ME,23001,5.070030525104386
observed,2020-03-05,Androscoggin County,ME,23001,4.870030518158048
observed,2020-03-06,Androscoggin County,ME,23001,4.800000166712118
observed,2020-03-07,Androscoggin County,ME,23001,4.920030519894632
observed,2020-03-08,Androscoggin County,ME,23001,4.879969820475942
observed,2020-03-09,Androscoggin County,ME,23001,5.270030532050724
observed,2020-03-10,Androscoggin County,ME,23001,5.500000191024302
observed,2020-03-11,Androscoggin County,ME,23001,5.4600153641423885
observed,2020-03-12,Androscoggin County,ME,23001,5.729969849997878
observed,2020-03-13,Androscoggin County,ME,23001,5.860015378035066
observed,2020-03-14,Androscoggin County,ME,23001,5.570030542470231
observed,2020-03-15,Androscoggin County,ME,23001,5.370030535523892
observed,2020-03-16,Androscoggin County,ME,23001,5.339985010959875
observed,2020-03-17,Androscoggin County,ME,23001,4.7899849918574455
observed,2020-03-18,Androscoggin County,ME,23001,4.039984965808678
observed,2020-03-19,Androscoggin County,ME,23001,4.350000151082856
observed,2020-03-20,Androscoggin County,ME,23001,3.9799697892174186
observed,2020-03-21,Androscoggin County,ME,23001,3.6799697787979126
observed,2020-03-22,Androscoggin County,ME,23001,3.420030467797094
observed,2020-03-23,Androscoggin County,ME,23001,2.979969754485729
observed,2020-03-24,Androscoggin County,ME,23001,2.6200304400117425
observed,2020-03-25,Androscoggin County,ME,23001,2.0899848980818785
observed,2020-03-26,Androscoggin County,ME,23001,1.610015230425378
observed,2020-03-27,Androscoggin County,ME,23001,1.429969700651608
observed,2020-03-28,Androscoggin County,ME,23001,1.2500000434146135
observed,2020-03-29,Androscoggin County,ME,23001,1.2899848702965266
observed,2020-03-30,Androscoggin County,ME,23001,1.5100152269522082
observed,2020-03-31,Androscoggin County,ME,23001,1.620030405280051
observed,2020-04-01,Androscoggin County,ME,23001,1.6299697075979458
observed,2020-04-02,Androscoggin County,ME,23001,1.670030407016635
observed,2020-04-03,Androscoggin County,ME,23001,1.470030400070297
observed,2020-04-04,Androscoggin County,ME,23001,1.4399848755062807
observed,2020-04-05,Androscoggin County,ME,23001,1.4600152252156242
observed,2020-04-06,Androscoggin County,ME,23001,1.3600152217424564
observed,2020-04-07,Androscoggin County,ME,23001,0.9100152061131944
observed,2020-04-08,Androscoggin County,ME,23001,0.7899848529306809
observed,2020-04-09,Androscoggin County,ME,23001,0.6500000225755997
observed,2020-04-10,Androscoggin County,ME,23001,0.6399848477209269
observed,2020-04-11,Androscoggin County,ME,23001,0.539984844247757
observed,2020-04-12,Androscoggin County,ME,23001,0.339984837301419
observed,2020-04-13,Androscoggin County,ME,23001,0.3200303601288515
observed,2020-04-14,Androscoggin County,ME,23001,0.2000000069463379
observed,2020-04-15,Androscoggin County,ME,23001,0.18998483209166503
observed,2020-04-16,Androscoggin County,ME,23001,0.12996965550040826
observed,2020-04-17,Androscoggin County,ME,23001,0.17003035491909968
observed,2020-04-18,Androscoggin County,ME,23001,0.18998483209166503
observed,2020-04-19,Androscoggin County,ME,23001,0.2200303566556836
observed,2020-04-20,Androscoggin County,ME,23001,0.2500000086829218
observed,2020-04-21,Androscoggin County,ME,23001,0.1600151800644268
observed,2020-04-22,Androscoggin County,ME,23001,0.2600151835375947
observed,2020-04-23,Androscoggin County,ME,23001,0.28998483556483506
observed,2020-04-24,Androscoggin County,ME,23001,0.3899848390380029
observed,2020-04-25,Androscoggin County,ME,23001,0.339984837301419
observed,2020-04-26,Androscoggin County,ME,23001,0.22996965897357827
observed,2020-04-27,Androscoggin County,ME,23001,0.12003035318251358
observed,2020-04-28,Androscoggin County,ME,23001,0.15000000520975396
observed,2020-04-29,Androscoggin County,ME,23001,0.15000000520975396
observed,2020-04-30,Androscoggin County,ME,23001,0.1600151800644268
observed,2020-05-01,Androscoggin County,ME,23001,0.32996966244674614
observed,2020-05-02,Androscoggin County,ME,23001,0.3700303618654376
observed,2020-05-03,Androscoggin County,ME,23001,0.2700303583922675
observed,2020-05-04,Androscoggin County,ME,23001,0.3700303618654376
observed,2020-05-05,Androscoggin County,ME,23001,0.3799696641833322
observed,2020-05-06,Androscoggin County,ME,23001,0.3700303618654376
observed,2020-05-07,Androscoggin County,ME,23001,0.3000000104195079
observed,2020-05-08,Androscoggin County,ME,23001,0.2500000086829218
observed,2020-05-09,Androscoggin County,ME,23001,0.02003034970934571
observed,2020-05-10,Androscoggin County,ME,23001,0.010015174854672855
observed,2020-05-11,Androscoggin County,ME,23001,0.0
observed,2020-05-12,Androscoggin County,ME,23001,0.02003034970934571
observed,2020-05-13,Androscoggin County,ME,23001,0.0
observed,2020-05-14,Androscoggin County,ME,23001,0.0
observed,2020-05-15,Androscoggin County,ME,23001,0.0
