condition,date,county,state,fips,illness
observed,2020-02-16,Alcona County,MI,26001,7.48000025979305
observed,2020-02-17,Alcona County,MI,26001,7.210015424922848
observed,2020-02-18,Alcona County,MI,26001,6.650015405473101
observed,2020-02-19,Alcona County,MI,26001,6.760000234786232
observed,2020-02-20,Alcona County,MI,26001,6.770015409640904
observed,2020-02-21,Alcona County,MI,26001,6.610015404083834
observed,2020-02-22,Alcona County,MI,26001,6.240000216725752
observed,2020-02-23,Alcona County,MI,26001,6.22998504187108
observed,2020-02-24,Alcona County,MI,26001,6.429985048817418
observed,2020-02-25,Alcona County,MI,26001,6.349985046038883
observed,2020-02-26,Alcona County,MI,26001,5.690015372130677
observed,2020-02-27,Alcona County,MI,26001,5.539969843398857
observed,2020-02-28,Alcona County,MI,26001,5.730015373519945
observed,2020-02-29,Alcona County,MI,26001,5.960000207000879
observed,2020-03-01,Alcona County,MI,26001,5.7399698503451955
observed,2020-03-02,Alcona County,MI,26001,5.069985001582317
observed,2020-03-03,Alcona County,MI,26001,5.120000177826259
observed,2020-03-04,Alcona County,MI,26001,4.920000170879919
observed,2020-03-05,Alcona County,MI,26001,4.629984986300374
observed,2020-03-06,Alcona County,MI,26001,3.979969789217419
observed,2020-03-07,Alcona County,MI,26001,3.8000001319804255
observed,2020-03-08,Alcona County,MI,26001,4.29001532350631
observed,2020-03-09,Alcona County,MI,26001,4.000000138926764
observed,2020-03-10,Alcona County,MI,26001,4.13001531794924
observed,2020-03-11,Alcona County,MI,26001,4.81001534156679
observed,2020-03-12,Alcona County,MI,26001,5.259969833673983
observed,2020-03-13,Alcona County,MI,26001,5.469985015474994
observed,2020-03-14,Alcona County,MI,26001,5.5099850168642615
observed,2020-03-15,Alcona County,MI,26001,5.600000194497469
observed,2020-03-16,Alcona County,MI,26001,5.6200305442068155
observed,2020-03-17,Alcona County,MI,26001,5.469985015474994
observed,2020-03-18,Alcona County,MI,26001,5.259969833673983
observed,2020-03-19,Alcona County,MI,26001,4.829984993246713
observed,2020-03-20,Alcona County,MI,26001,4.7700153401775225
observed,2020-03-21,Alcona County,MI,26001,4.530015331841916
observed,2020-03-22,Alcona County,MI,26001,4.570015333231184
observed,2020-03-23,Alcona County,MI,26001,4.3300153248955775
observed,2020-03-24,Alcona County,MI,26001,4.3499849765755005
observed,2020-03-25,Alcona County,MI,26001,4.3300153248955775
observed,2020-03-26,Alcona County,MI,26001,3.7799697822710816
observed,2020-03-27,Alcona County,MI,26001,2.979969754485728
observed,2020-03-28,Alcona County,MI,26001,2.499969737814517
observed,2020-03-29,Alcona County,MI,26001,2.1899849015550488
observed,2020-03-30,Alcona County,MI,26001,1.850015238760985
observed,2020-03-31,Alcona County,MI,26001,1.5799697058613609
observed,2020-04-01,Alcona County,MI,26001,1.3899848737696954
observed,2020-04-02,Alcona County,MI,26001,1.0800000375102268
observed,2020-04-03,Alcona County,MI,26001,1.0400000361209578
observed,2020-04-04,Alcona County,MI,26001,0.7399696766867404
observed,2020-04-05,Alcona County,MI,26001,0.8500152040292924
observed,2020-04-06,Alcona County,MI,26001,0.650015197082955
observed,2020-04-07,Alcona County,MI,26001,0.5300151929151518
observed,2020-04-08,Alcona County,MI,26001,0.46998484181653893
observed,2020-04-09,Alcona County,MI,26001,0.6699848487628781
observed,2020-04-10,Alcona County,MI,26001,0.7099848501521453
observed,2020-04-11,Alcona County,MI,26001,0.7600000263960844
observed,2020-04-12,Alcona County,MI,26001,0.5799696711296701
observed,2020-04-13,Alcona County,MI,26001,0.6900151984722221
observed,2020-04-14,Alcona County,MI,26001,0.6299848473736093
observed,2020-04-15,Alcona County,MI,26001,0.5799696711296701
observed,2020-04-16,Alcona County,MI,26001,0.4500151901366158
observed,2020-04-17,Alcona County,MI,26001,0.20000000694633746
observed,2020-04-18,Alcona County,MI,26001,0.05001517624394086
observed,2020-04-19,Alcona County,MI,26001,0.0
observed,2020-04-20,Alcona County,MI,26001,0.13001517902247514
observed,2020-04-21,Alcona County,MI,26001,0.0
observed,2020-04-22,Alcona County,MI,26001,0.0
observed,2020-04-23,Alcona County,MI,26001,0.0
observed,2020-04-24,Alcona County,MI,26001,0.0
observed,2020-04-25,Alcona County,MI,26001,0.0
observed,2020-04-26,Alcona County,MI,26001,0.090015177633208
observed,2020-04-27,Alcona County,MI,26001,0.25996966001552774
observed,2020-04-28,Alcona County,MI,26001,0.24000000833560634
observed,2020-04-29,Alcona County,MI,26001,0.1700151804117423
observed,2020-04-30,Alcona County,MI,26001,0.21001518180101117
observed,2020-05-01,Alcona County,MI,26001,0.2299848334809326
observed,2020-05-02,Alcona County,MI,26001,0.22003035665568316
observed,2020-05-03,Alcona County,MI,26001,0.21001518180101117
observed,2020-05-04,Alcona County,MI,26001,0.059969653069190304
observed,2020-05-05,Alcona County,MI,26001,0.0
observed,2020-05-06,Alcona County,MI,26001,0.0
observed,2020-05-07,Alcona County,MI,26001,0.0
observed,2020-05-08,Alcona County,MI,26001,0.090015177633208
observed,2020-05-09,Alcona County,MI,26001,0.0
observed,2020-05-10,Alcona County,MI,26001,0.0
observed,2020-05-11,Alcona County,MI,26001,0.0
observed,2020-05-12,Alcona County,MI,26001,0.0
observed,2020-05-13,Alcona County,MI,26001,0.0
observed,2020-05-14,Alcona County,MI,26001,0.0
observed,2020-05-15,Alcona County,MI,26001,0.0
observed,2020-05-16,Alcona County,MI,26001,0.0
observed,2020-05-17,Alcona County,MI,26001,0.0
observed,2020-05-18,Alcona County,MI,26001,0.0
observed,2020-05-19,Alcona County,MI,26001,0.0
observed,2020-02-16,Alger County,MI,26003,8.23998511168178
observed,2020-02-17,Alger County,MI,26003,8.25999269963009
observed,2020-02-18,Alger County,MI,26003,7.890023035794076
observed,2020-02-19,Alger County,MI,26003,8.169992696504238
observed,2020-02-20,Alger County,MI,26003,8.390007878652566
observed,2020-02-21,Alger County,MI,26003,7.969985102304222
observed,2020-02-22,Alger County,MI,26003,7.699985092926666
observed,2020-02-23,Alger County,MI,26003,7.659969917030042
observed,2020-02-24,Alger County,MI,26003,7.479969910778338
observed,2020-02-25,Alger County,MI,26003,7.26002301391311
observed,2020-02-26,Alger County,MI,26003,6.4199774612164235
observed,2020-02-27,Alger County,MI,26003,6.009992621483786
observed,2020-02-28,Alger County,MI,26003,5.789977439335458
observed,2020-02-29,Alger County,MI,26003,6.149977451838866
observed,2020-03-01,Alger County,MI,26003,5.699977436209607
observed,2020-03-02,Alger County,MI,26003,5.210030529966822
observed,2020-03-03,Alger County,MI,26003,5.100022938892659
observed,2020-03-04,Alger County,MI,26003,5.150007766121887
observed,2020-03-05,Alger County,MI,26003,4.889977408076936
observed,2020-03-06,Alger County,MI,26003,4.540015332189232
observed,2020-03-07,Alger County,MI,26003,4.529977395573527
observed,2020-03-08,Alger County,MI,26003,4.360015325937528
observed,2020-03-09,Alger County,MI,26003,5.010022935766806
observed,2020-03-10,Alger County,MI,26003,4.729984989773543
observed,2020-03-11,Alger County,MI,26003,5.370022948270214
observed,2020-03-12,Alger County,MI,26003,5.989985033535474
