condition,date,county,state,fips,illness
observed,2020-02-16,Adair County,MO,29001,8.760023066010648
observed,2020-02-17,Adair County,MO,29001,8.509977533805657
observed,2020-02-18,Adair County,MO,29001,9.460000328561796
observed,2020-02-19,Adair County,MO,29001,9.480030678271142
observed,2020-02-20,Adair County,MO,29001,10.45000036294617
observed,2020-02-21,Adair County,MO,29001,9.949992758326646
observed,2020-02-22,Adair County,MO,29001,9.760038275249693
observed,2020-02-23,Adair County,MO,29001,9.329969975031965
observed,2020-02-24,Adair County,MO,29001,8.889969959750022
observed,2020-02-25,Adair County,MO,29001,8.719962366591956
observed,2020-02-26,Adair County,MO,29001,8.270030636245796
observed,2020-02-27,Adair County,MO,29001,7.500030609502394
observed,2020-02-28,Adair County,MO,29001,7.1999926628144975
observed,2020-02-29,Adair County,MO,29001,6.53999263989158
observed,2020-03-01,Adair County,MO,29001,6.830015411724806
observed,2020-03-02,Adair County,MO,29001,7.909985100220321
observed,2020-03-03,Adair County,MO,29001,8.009969929186132
observed,2020-03-04,Adair County,MO,29001,7.050015419365778
observed,2020-03-05,Adair County,MO,29001,6.849962301643693
observed,2020-03-06,Adair County,MO,29001,6.759992647532554
observed,2020-03-07,Adair County,MO,29001,6.40996228636175
observed,2020-03-08,Adair County,MO,29001,6.1300381491736555
observed,2020-03-09,Adair County,MO,29001,6.149985039092543
observed,2020-03-10,Adair County,MO,29001,5.5299622557978605
observed,2020-03-11,Adair County,MO,29001,5.1200077650799365
observed,2020-03-12,Adair County,MO,29001,5.240022943755093
observed,2020-03-13,Adair County,MO,29001,5.089962240515917
observed,2020-03-14,Adair County,MO,29001,4.759962229054459
observed,2020-03-15,Adair County,MO,29001,4.580022920832179
observed,2020-03-16,Adair County,MO,29001,4.939984997067198
observed,2020-03-17,Adair County,MO,29001,4.460007742157019
observed,2020-03-18,Adair County,MO,29001,4.750030513990242
observed,2020-03-19,Adair County,MO,29001,4.750030513990242
observed,2020-03-20,Adair County,MO,29001,4.389984977964767
observed,2020-03-21,Adair County,MO,29001,3.930038072763934
observed,2020-03-22,Adair County,MO,29001,3.6199849512213653
observed,2020-03-23,Adair County,MO,29001,2.940038038379561
observed,2020-03-24,Adair County,MO,29001,2.500038023097617
observed,2020-03-25,Adair County,MO,29001,2.720038030738589
observed,2020-03-26,Adair County,MO,29001,2.0400076581063282
observed,2020-03-27,Adair County,MO,29001,2.090000072589234
observed,2020-03-28,Adair County,MO,29001,1.5799772931150393
observed,2020-03-29,Adair County,MO,29001,1.2999696961364866
observed,2020-03-30,Adair County,MO,29001,0.9900000343843736
observed,2020-03-31,Adair County,MO,29001,0.9799848595297007
observed,2020-04-01,Adair County,MO,29001,0.8400227909356536
observed,2020-04-02,Adair County,MO,29001,0.5299696693930847
observed,2020-04-03,Adair County,MO,29001,0.35996207623501886
observed,2020-04-04,Adair County,MO,29001,0.18002276801273862
observed,2020-04-05,Adair County,MO,29001,0.19996965793162594
observed,2020-04-06,Adair County,MO,29001,0.08003793904692445
observed,2020-04-07,Adair County,MO,29001,0.11000000382048701
observed,2020-04-08,Adair County,MO,29001,0.30003794668789613
observed,2020-04-09,Adair County,MO,29001,0.17000759315806577
observed,2020-04-10,Adair County,MO,29001,0.049992414482905895
observed,2020-04-11,Adair County,MO,29001,0.14997724344872004
observed,2020-04-12,Adair County,MO,29001,0.08003793904692445
observed,2020-04-13,Adair County,MO,29001,0.06000758933757874
observed,2020-04-14,Adair County,MO,29001,0.0899696541111413
observed,2020-04-15,Adair County,MO,29001,0.0
observed,2020-04-16,Adair County,MO,29001,0.0
observed,2020-04-17,Adair County,MO,29001,0.0
observed,2020-04-18,Adair County,MO,29001,0.350030361170802
observed,2020-04-19,Adair County,MO,29001,0.5399848442477575
observed,2020-04-20,Adair County,MO,29001,0.5299696693930847
observed,2020-04-21,Adair County,MO,29001,0.5799620838759929
observed,2020-04-22,Adair County,MO,29001,0.6800303726322606
observed,2020-04-23,Adair County,MO,29001,0.6499848480682444
