condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,MS,28001,6.4199774612164235
observed,2020-02-17,Adams County,MS,28001,6.769977473372514
observed,2020-02-18,Adams County,MS,28001,6.339992632945243
observed,2020-02-19,Adams County,MS,28001,6.099985037355959
observed,2020-02-20,Adams County,MS,28001,5.620022956953138
observed,2020-02-21,Adams County,MS,28001,5.089977415023274
observed,2020-02-22,Adams County,MS,28001,5.000007760912133
observed,2020-02-23,Adams County,MS,28001,5.280007770637006
observed,2020-02-24,Adams County,MS,28001,5.539985017906213
observed,2020-02-25,Adams County,MS,28001,5.10001535163898
observed,2020-02-26,Adams County,MS,28001,5.310015358932635
observed,2020-02-27,Adams County,MS,28001,5.539985017906213
observed,2020-02-28,Adams County,MS,28001,5.380015361363854
observed,2020-02-29,Adams County,MS,28001,5.460000189635033
observed,2020-03-01,Adams County,MS,28001,5.999977446629113
observed,2020-03-02,Adams County,MS,28001,6.169985039787178
observed,2020-03-03,Adams County,MS,28001,6.230000216378436
observed,2020-03-04,Adams County,MS,28001,6.360015395400911
observed,2020-03-05,Adams County,MS,28001,6.209977453922768
observed,2020-03-06,Adams County,MS,28001,6.209977453922768
observed,2020-03-07,Adams County,MS,28001,6.080015385676036
observed,2020-03-08,Adams County,MS,28001,6.099985037355959
observed,2020-03-09,Adams County,MS,28001,5.9199926183579334
observed,2020-03-10,Adams County,MS,28001,5.740000199359907
observed,2020-03-11,Adams County,MS,28001,5.149992591614532
observed,2020-03-12,Adams County,MS,28001,4.389977390711091
observed,2020-03-13,Adams County,MS,28001,4.470015329758014
observed,2020-03-14,Adams County,MS,28001,4.1500229058975515
observed,2020-03-15,Adams County,MS,28001,4.279984974144282
observed,2020-03-16,Adams County,MS,28001,4.680015337051669
observed,2020-03-17,Adams County,MS,28001,4.3400001507355395
observed,2020-03-18,Adams County,MS,28001,4.169992557577473
observed,2020-03-19,Adams County,MS,28001,4.470015329758014
observed,2020-03-20,Adams County,MS,28001,4.319977388279872
observed,2020-03-21,Adams County,MS,28001,4.220022908328769
observed,2020-03-22,Adams County,MS,28001,4.319977388279872
observed,2020-03-23,Adams County,MS,28001,3.940022898603896
observed,2020-03-24,Adams County,MS,28001,3.4500228815853675
observed,2020-03-25,Adams County,MS,28001,3.649984952263316
