condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,ND,38001,6.129992625651588
observed,2020-02-17,Adams County,ND,38001,6.129992625651588
observed,2020-02-18,Adams County,ND,38001,6.1600002139472165
observed,2020-02-19,Adams County,ND,38001,5.569992606201842
observed,2020-02-20,Adams County,ND,38001,5.98000779494919
observed,2020-02-21,Adams County,ND,38001,6.729985059236925
observed,2020-02-22,Adams County,ND,38001,6.309985044649615
observed,2020-02-23,Adams County,ND,38001,5.52001536622629
observed,2020-02-24,Adams County,ND,38001,6.02000020908478
observed,2020-02-25,Adams County,ND,38001,5.709992611064278
observed,2020-02-26,Adams County,ND,38001,6.029985034924741
observed,2020-02-27,Adams County,ND,38001,6.339992632945243
observed,2020-02-28,Adams County,ND,38001,5.340022947228263
observed,2020-02-29,Adams County,ND,38001,5.989992620789152
observed,2020-03-01,Adams County,ND,38001,5.270022944797045
observed,2020-03-02,Adams County,ND,38001,5.18000017991016
observed,2020-03-03,Adams County,ND,38001,5.079992589183313
observed,2020-03-04,Adams County,ND,38001,4.860007756049696
observed,2020-03-05,Adams County,ND,38001,4.459977393142308
observed,2020-03-06,Adams County,ND,38001,4.3400001507355395
observed,2020-03-07,Adams County,ND,38001,3.9999849644194083
observed,2020-03-08,Adams County,ND,38001,3.780000131285792
observed,2020-03-09,Adams County,ND,38001,4.379992564871128
observed,2020-03-10,Adams County,ND,38001,4.319977388279872
observed,2020-03-11,Adams County,ND,38001,4.069984966850627
observed,2020-03-12,Adams County,ND,38001,4.279984974144282
observed,2020-03-13,Adams County,ND,38001,4.0900077293062935
observed,2020-03-14,Adams County,ND,38001,4.5700229204848615
observed,2020-03-15,Adams County,ND,38001,4.290022910759988
observed,2020-03-16,Adams County,ND,38001,4.3300153248955775
observed,2020-03-17,Adams County,ND,38001,4.0900077293062935
observed,2020-03-18,Adams County,ND,38001,4.459977393142308
observed,2020-03-19,Adams County,ND,38001,4.529977395573527
observed,2020-03-20,Adams County,ND,38001,4.179977383417436
observed,2020-03-21,Adams County,ND,38001,3.9800153127394853
observed,2020-03-22,Adams County,ND,38001,3.3999925308340715
observed,2020-03-23,Adams County,ND,38001,3.5499773615364703
observed,2020-03-24,Adams County,ND,38001,3.259992525971635
observed,2020-03-25,Adams County,ND,38001,2.760007683113146
observed,2020-03-26,Adams County,ND,38001,2.310000080230206
observed,2020-03-27,Adams County,ND,38001,1.9299924797784858
observed,2020-03-28,Adams County,ND,38001,1.7500000607804587
observed,2020-03-29,Adams County,ND,38001,1.980022830529782
observed,2020-03-30,Adams County,ND,38001,1.8299848890516384
observed,2020-03-31,Adams County,ND,38001,2.0600076588009615
observed,2020-04-01,Adams County,ND,38001,1.6499924700536128
observed,2020-04-02,Adams County,ND,38001,1.6400076442136506
observed,2020-04-03,Adams County,ND,38001,1.4600152252156249
observed,2020-04-04,Adams County,ND,38001,1.26000004376193
observed,2020-04-05,Adams County,ND,38001,1.1100152130595329
observed,2020-04-06,Adams County,ND,38001,1.0199924481726477
observed,2020-04-07,Adams County,ND,38001,0.9300227940615058
observed,2020-04-08,Adams County,ND,38001,0.8400000291746206
observed,2020-04-09,Adams County,ND,38001,0.6399848477209273
observed,2020-04-10,Adams County,ND,38001,0.49998484285848926
observed,2020-04-11,Adams County,ND,38001,0.49998484285848926
observed,2020-04-12,Adams County,ND,38001,0.4699772545628609
observed,2020-04-13,Adams County,ND,38001,0.25997724726920685
observed,2020-04-14,Adams County,ND,38001,0.14998483070239874
observed,2020-04-15,Adams County,ND,38001,0.03000758829562839
observed,2020-04-16,Adams County,ND,38001,0.0
observed,2020-04-17,Adams County,ND,38001,0.06001517659125678
observed,2020-04-18,Adams County,ND,38001,0.0
observed,2020-04-19,Adams County,ND,38001,0.07998482827117973
observed,2020-04-20,Adams County,ND,38001,0.07000000243121901
observed,2020-04-21,Adams County,ND,38001,0.0
observed,2020-04-22,Adams County,ND,38001,0.020022762455667673
observed,2020-04-23,Adams County,ND,38001,0.2700151838849123
observed,2020-04-24,Adams County,ND,38001,0.28000000972487304
observed,2020-04-25,Adams County,ND,38001,0.2300227697493217
observed,2020-04-26,Adams County,ND,38001,0.09002276488688518
observed,2020-04-27,Adams County,ND,38001,0.07000000243121901
observed,2020-04-28,Adams County,ND,38001,0.03999241413558911
observed,2020-04-29,Adams County,ND,38001,0.14998483070239874
observed,2020-04-30,Adams County,ND,38001,0.10999241656680812
observed,2020-05-01,Adams County,ND,38001,0.24000759558928392
observed,2020-05-02,Adams County,ND,38001,0.21998483313361625
observed,2020-05-03,Adams County,ND,38001,0.18997724483798786
observed,2020-05-04,Adams County,ND,38001,0.38000760045172044
observed,2020-05-05,Adams County,ND,38001,0.28998483556483523
observed,2020-05-06,Adams County,ND,38001,0.14000000486243652
observed,2020-05-07,Adams County,ND,38001,0.07000000243121901
observed,2020-05-08,Adams County,ND,38001,0.18997724483798786
observed,2020-05-09,Adams County,ND,38001,0.11997724240676884
observed,2020-05-10,Adams County,ND,38001,0.009984825839960718
observed,2020-05-11,Adams County,ND,38001,0.07998482827117973
observed,2020-05-12,Adams County,ND,38001,0.28998483556483523
observed,2020-05-13,Adams County,ND,38001,0.14998483070239874
observed,2020-05-14,Adams County,ND,38001,0.3700227746117597
observed,2020-05-15,Adams County,ND,38001,0.38000760045172044
observed,2020-05-16,Adams County,ND,38001,0.35998483799605274
observed,2020-05-17,Adams County,ND,38001,0.53997725699408
observed,2020-05-18,Adams County,ND,38001,0.7099848501521449
observed,2020-05-19,Adams County,ND,38001,0.590007607745376
observed,2020-02-16,Barnes County,ND,38003,8.619992712133499
observed,2020-02-17,Barnes County,ND,38003,8.25999269963009
observed,2020-02-18,Barnes County,ND,38003,8.540030645623352
observed,2020-02-19,Barnes County,ND,38003,7.820030620616535
observed,2020-02-20,Barnes County,ND,38003,7.789985096052518
observed,2020-02-21,Barnes County,ND,38003,7.800023032668224
observed,2020-02-22,Barnes County,ND,38003,7.62002302641652
observed,2020-02-23,Barnes County,ND,38003,6.900023001409702
observed,2020-02-24,Barnes County,ND,38003,6.799985061668143
observed,2020-02-25,Barnes County,ND,38003,6.579969879519817
observed,2020-02-26,Barnes County,ND,38003,6.489969876393964
observed,2020-02-27,Barnes County,ND,38003,6.399969873268111
observed,2020-02-28,Barnes County,ND,38003,5.57003054247023
observed,2020-02-29,Barnes County,ND,38003,6.1100305612253445
observed,2020-03-01,Barnes County,ND,38003,5.6099774330837535
observed,2020-03-02,Barnes County,ND,38003,5.620015369699459
observed,2020-03-03,Barnes County,ND,38003,5.269985008528655
observed,2020-03-04,Barnes County,ND,38003,5.01999258709941
observed,2020-03-05,Barnes County,ND,38003,4.63998498664769
observed,2020-03-06,Barnes County,ND,38003,4.329969801373511
observed,2020-03-07,Barnes County,ND,38003,4.230000146915053
observed,2020-03-08,Barnes County,ND,38003,3.6000001250340876
observed,2020-03-09,Barnes County,ND,38003,3.510000121908235
observed,2020-03-10,Barnes County,ND,38003,3.5500152978048587
observed,2020-03-11,Barnes County,ND,38003,3.390022879501467
observed,2020-03-12,Barnes County,ND,38003,3.5199697732408417
observed,2020-03-13,Barnes County,ND,38003,3.809977370566709
observed,2020-03-14,Barnes County,ND,38003,4.279984974144282
observed,2020-03-15,Barnes County,ND,38003,4.329969801373511
observed,2020-03-16,Barnes County,ND,38003,4.3100304987083
observed,2020-03-17,Barnes County,ND,38003,4.189984971018431
observed,2020-03-18,Barnes County,ND,38003,5.2800229451443625
observed,2020-03-19,Barnes County,ND,38003,5.049969826380329
observed,2020-03-20,Barnes County,ND,38003,4.279984974144282
observed,2020-03-21,Barnes County,ND,38003,4.110022904508283
observed,2020-03-22,Barnes County,ND,38003,3.6000001250340876
observed,2020-03-23,Barnes County,ND,38003,3.1500001094048264
observed,2020-03-24,Barnes County,ND,38003,3.1500001094048264
observed,2020-03-25,Barnes County,ND,38003,2.6500152665463363
observed,2020-03-26,Barnes County,ND,38003,2.409992496449698
observed,2020-03-27,Barnes County,ND,38003,1.9399848928721248
observed,2020-03-28,Barnes County,ND,38003,1.820007650465355
observed,2020-03-29,Barnes County,ND,38003,1.8299773017979617
observed,2020-03-30,Barnes County,ND,38003,1.4400000500136347
observed,2020-03-31,Barnes County,ND,38003,1.4400000500136347
observed,2020-04-01,Barnes County,ND,38003,1.0300152102809976
observed,2020-04-02,Barnes County,ND,38003,1.1499924526877676
observed,2020-04-03,Barnes County,ND,38003,1.0199772736652923
observed,2020-04-04,Barnes County,ND,38003,0.8300076160809815
observed,2020-04-05,Barnes County,ND,38003,0.6200303705483604
observed,2020-04-06,Barnes County,ND,38003,0.5800151946517363
observed,2020-04-07,Barnes County,ND,38003,0.6999924370585063
observed,2020-04-08,Barnes County,ND,38003,0.6300000218809654
observed,2020-04-09,Barnes County,ND,38003,0.7200000250068184
observed,2020-04-10,Barnes County,ND,38003,0.6700151977775894
observed,2020-04-11,Barnes County,ND,38003,0.4299924276809492
observed,2020-04-12,Barnes County,ND,38003,0.29000759732586917
observed,2020-04-13,Barnes County,ND,38003,0.17003035491909924
observed,2020-04-14,Barnes County,ND,38003,0.04001517589662408
