condition,date,county,state,fips,illness
observed,2020-02-16,Belknap County,NH,33001,9.300000323004728
observed,2020-02-17,Belknap County,NH,33001,9.010015487439892
observed,2020-02-18,Belknap County,NH,33001,9.120030665767734
observed,2020-02-19,Belknap County,NH,33001,8.629969950719783
observed,2020-02-20,Belknap County,NH,33001,8.039985104735441
observed,2020-02-21,Belknap County,NH,33001,7.520030610197028
observed,2020-02-22,Belknap County,NH,33001,7.1700305980409365
observed,2020-02-23,Belknap County,NH,33001,6.46001539887408
observed,2020-02-24,Belknap County,NH,33001,5.939985031798889
observed,2020-02-25,Belknap County,NH,33001,5.4100153624058045
observed,2020-02-26,Belknap County,NH,33001,5.129969829158864
observed,2020-02-27,Belknap County,NH,33001,5.0399850005403675
observed,2020-02-28,Belknap County,NH,33001,4.850000168448702
observed,2020-02-29,Belknap County,NH,33001,4.910015345039959
observed,2020-03-01,Belknap County,NH,33001,5.070030525104386
observed,2020-03-02,Belknap County,NH,33001,4.539984983174521
observed,2020-03-03,Belknap County,NH,33001,4.7799698170027725
observed,2020-03-04,Belknap County,NH,33001,5.100000177131624
observed,2020-03-05,Belknap County,NH,33001,4.889984995330613
observed,2020-03-06,Belknap County,NH,33001,4.820030516421461
observed,2020-03-07,Belknap County,NH,33001,5.000000173658456
observed,2020-03-08,Belknap County,NH,33001,4.97996982394911
observed,2020-03-09,Belknap County,NH,33001,5.4100153624058045
observed,2020-03-10,Belknap County,NH,33001,5.710015372825312
observed,2020-03-11,Belknap County,NH,33001,5.650000196234056
observed,2020-03-12,Belknap County,NH,33001,5.950000206653561
observed,2020-03-13,Belknap County,NH,33001,6.07996986215397
observed,2020-03-14,Belknap County,NH,33001,5.779969851734464
observed,2020-03-15,Belknap County,NH,33001,5.570030542470231
observed,2020-03-16,Belknap County,NH,33001,5.470030538997062
observed,2020-03-17,Belknap County,NH,33001,4.929969822212526
observed,2020-03-18,Belknap County,NH,33001,4.189984971018429
observed,2020-03-19,Belknap County,NH,33001,4.50000015629261
observed,2020-03-20,Belknap County,NH,33001,3.9600153120448534
observed,2020-03-21,Belknap County,NH,33001,3.6899849536525835
observed,2020-03-22,Belknap County,NH,33001,3.4399849449696616
observed,2020-03-23,Belknap County,NH,33001,3.0200304539044183
observed,2020-03-24,Belknap County,NH,33001,2.6700304417483265
observed,2020-03-25,Belknap County,NH,33001,2.1799697267003753
observed,2020-03-26,Belknap County,NH,33001,1.670030407016635
observed,2020-03-27,Belknap County,NH,33001,1.4899848772428645
observed,2020-03-28,Belknap County,NH,33001,1.3299696971784378
observed,2020-03-29,Belknap County,NH,33001,1.2500000434146135
observed,2020-03-30,Belknap County,NH,33001,1.4399848755062807
observed,2020-03-31,Belknap County,NH,33001,1.5700304035434671
observed,2020-04-01,Belknap County,NH,33001,1.5700304035434671
observed,2020-04-02,Belknap County,NH,33001,1.670030407016635
observed,2020-04-03,Belknap County,NH,33001,1.4799697023881917
observed,2020-04-04,Belknap County,NH,33001,1.4500000503609514
observed,2020-04-05,Belknap County,NH,33001,1.4399848755062807
observed,2020-04-06,Belknap County,NH,33001,1.4399848755062807
observed,2020-04-07,Belknap County,NH,33001,0.9899848598770188
observed,2020-04-08,Belknap County,NH,33001,0.9100152061131944
observed,2020-04-09,Belknap County,NH,33001,0.7700303757581134
observed,2020-04-10,Belknap County,NH,33001,0.7000000243121837
observed,2020-04-11,Belknap County,NH,33001,0.5799696711296701
observed,2020-04-12,Belknap County,NH,33001,0.3799696641833322
observed,2020-04-13,Belknap County,NH,33001,0.3600151870107647
observed,2020-04-14,Belknap County,NH,33001,0.23998483382825114
observed,2020-04-15,Belknap County,NH,33001,0.2500000086829218
observed,2020-04-16,Belknap County,NH,33001,0.18998483209166503
observed,2020-04-17,Belknap County,NH,33001,0.22996965897357827
observed,2020-04-18,Belknap County,NH,33001,0.2500000086829218
observed,2020-04-19,Belknap County,NH,33001,0.3000000104195079
observed,2020-04-20,Belknap County,NH,33001,0.31001518527418076
observed,2020-04-21,Belknap County,NH,33001,0.2200303566556836
observed,2020-04-22,Belknap County,NH,33001,0.339984837301419
observed,2020-04-23,Belknap County,NH,33001,0.3700303618654376
observed,2020-04-24,Belknap County,NH,33001,0.4700303653386054
observed,2020-04-25,Belknap County,NH,33001,0.43998484077458905
observed,2020-04-26,Belknap County,NH,33001,0.35000001215609183
observed,2020-04-27,Belknap County,NH,33001,0.23998483382825114
observed,2020-04-28,Belknap County,NH,33001,0.2700303583922675
observed,2020-04-29,Belknap County,NH,33001,0.2700303583922675
observed,2020-04-30,Belknap County,NH,33001,0.2600151835375947
observed,2020-05-01,Belknap County,NH,33001,0.5000000173658458
observed,2020-05-02,Belknap County,NH,33001,0.539984844247757
observed,2020-05-03,Belknap County,NH,33001,0.35000001215609183
observed,2020-05-04,Belknap County,NH,33001,0.4500000156292619
observed,2020-05-05,Belknap County,NH,33001,0.5200303670751916
observed,2020-05-06,Belknap County,NH,33001,0.5299696693930862
observed,2020-05-07,Belknap County,NH,33001,0.4700303653386054
observed,2020-05-08,Belknap County,NH,33001,0.4200303636020215
observed,2020-05-09,Belknap County,NH,33001,0.11001517832784072
observed,2020-05-10,Belknap County,NH,33001,0.11001517832784072
observed,2020-05-11,Belknap County,NH,33001,0.0
observed,2020-05-12,Belknap County,NH,33001,0.12996965550040826
observed,2020-05-13,Belknap County,NH,33001,0.050000001736583935
observed,2020-05-14,Belknap County,NH,33001,0.0
observed,2020-05-15,Belknap County,NH,33001,0.0
observed,2020-05-16,Belknap County,NH,33001,0.010015174854672855
observed,2020-05-17,Belknap County,NH,33001,0.07996965376382431
observed,2020-05-18,Belknap County,NH,33001,0.15000000520975396
observed,2020-05-19,Belknap County,NH,33001,0.2200303566556836
atypical,2020-03-09,Belknap County,NH,33001,5.4100153624058045
atypical,2020-03-10,Belknap County,NH,33001,5.710015372825312
atypical,2020-03-11,Belknap County,NH,33001,5.650000196234056
atypical,2020-03-12,Belknap County,NH,33001,5.950000206653561
atypical,2020-03-13,Belknap County,NH,33001,6.07996986215397
atypical,2020-03-14,Belknap County,NH,33001,5.779969851734464
atypical,2020-03-15,Belknap County,NH,33001,5.570030542470231
