condition,date,county,state,fips,illness
observed,2020-02-16,Atlantic County,NJ,34001,6.740022995852631
observed,2020-02-17,Atlantic County,NJ,34001,6.659985056805707
observed,2020-02-18,Atlantic County,NJ,34001,6.180022976402884
observed,2020-02-19,Atlantic County,NJ,34001,6.610007816830155
observed,2020-02-20,Atlantic County,NJ,34001,5.999977446629113
observed,2020-02-21,Atlantic County,NJ,34001,5.880000204222343
observed,2020-02-22,Atlantic County,NJ,34001,5.849992615926714
observed,2020-02-23,Atlantic County,NJ,34001,5.590015368657509
observed,2020-02-24,Atlantic County,NJ,34001,5.530000192066252
observed,2020-02-25,Atlantic County,NJ,34001,5.380015361363854
observed,2020-02-26,Atlantic County,NJ,34001,5.310015358932635
observed,2020-02-27,Atlantic County,NJ,34001,5.040000175047722
observed,2020-02-28,Atlantic County,NJ,34001,4.960015346776542
observed,2020-02-29,Atlantic County,NJ,34001,4.659992574596004
observed,2020-03-01,Atlantic County,NJ,34001,4.879977407729619
observed,2020-03-02,Atlantic County,NJ,34001,4.739977402867183
observed,2020-03-03,Atlantic County,NJ,34001,4.879977407729619
observed,2020-03-04,Atlantic County,NJ,34001,5.219992594045749
observed,2020-03-05,Atlantic County,NJ,34001,5.380015361363854
observed,2020-03-06,Atlantic County,NJ,34001,5.070007763343352
observed,2020-03-07,Atlantic County,NJ,34001,5.390000187203814
observed,2020-03-08,Atlantic County,NJ,34001,5.630007782793098
observed,2020-03-09,Atlantic County,NJ,34001,5.560007780361881
observed,2020-03-10,Atlantic County,NJ,34001,5.52001536622629
observed,2020-03-11,Atlantic County,NJ,34001,5.110000177478941
observed,2020-03-12,Atlantic County,NJ,34001,4.72000775118726
observed,2020-03-13,Atlantic County,NJ,34001,4.790007753618477
observed,2020-03-14,Atlantic County,NJ,34001,4.879977407729619
observed,2020-03-15,Atlantic County,NJ,34001,5.159977417454493
observed,2020-03-16,Atlantic County,NJ,34001,5.110000177478941
observed,2020-03-17,Atlantic County,NJ,34001,4.8300001677540685
observed,2020-03-18,Atlantic County,NJ,34001,5.009992586752094
observed,2020-03-19,Atlantic County,NJ,34001,4.960015346776542
observed,2020-03-20,Atlantic County,NJ,34001,5.14000776577457
observed,2020-03-21,Atlantic County,NJ,34001,5.000007760912133
observed,2020-03-22,Atlantic County,NJ,34001,4.680015337051669
observed,2020-03-23,Atlantic County,NJ,34001,4.41998497900672
observed,2020-03-24,Atlantic County,NJ,34001,4.410000153166757
observed,2020-03-25,Atlantic County,NJ,34001,4.190015320033141
observed,2020-03-26,Atlantic County,NJ,34001,4.020007726875076
observed,2020-03-27,Atlantic County,NJ,34001,3.8199925454213823
observed,2020-03-28,Atlantic County,NJ,34001,3.390007704994111
observed,2020-03-29,Atlantic County,NJ,34001,3.310022876722931
observed,2020-03-30,Atlantic County,NJ,34001,3.4699925332652906
observed,2020-03-31,Atlantic County,NJ,34001,3.259992525971635
observed,2020-04-01,Atlantic County,NJ,34001,3.0100001045423905
observed,2020-04-02,Atlantic County,NJ,34001,3.070015281133647
observed,2020-04-03,Atlantic County,NJ,34001,2.8700000996799537
observed,2020-04-04,Atlantic County,NJ,34001,2.520000087523862
observed,2020-04-05,Atlantic County,NJ,34001,2.2700076660946173
observed,2020-04-06,Atlantic County,NJ,34001,2.1799849012077304
observed,2020-04-07,Atlantic County,NJ,34001,1.859992477347267
observed,2020-04-08,Atlantic County,NJ,34001,1.5300152276468424
observed,2020-04-09,Atlantic County,NJ,34001,1.3799772861687005
observed,2020-04-10,Atlantic County,NJ,34001,1.3699924603287383
observed,2020-04-11,Atlantic County,NJ,34001,1.4300076369199965
observed,2020-04-12,Atlantic County,NJ,34001,1.3699924603287383
observed,2020-04-13,Atlantic County,NJ,34001,1.449977288599918
observed,2020-04-14,Atlantic County,NJ,34001,1.2500152179219695
observed,2020-04-15,Atlantic County,NJ,34001,1.1599924530350842
observed,2020-04-16,Atlantic County,NJ,34001,1.1400228013551612
observed,2020-04-17,Atlantic County,NJ,34001,1.0800076247639046
observed,2020-04-18,Atlantic County,NJ,34001,0.9300227940615058
observed,2020-04-19,Atlantic County,NJ,34001,0.8499848550145813
observed,2020-04-20,Atlantic County,NJ,34001,0.7099848501521449
observed,2020-04-21,Atlantic County,NJ,34001,0.5699848452897083
observed,2020-04-22,Atlantic County,NJ,34001,0.5299924311541192
