condition,date,county,state,fips,illness
observed,2020-02-16,Bernalillo County,NM,35001,5.209985006444755
observed,2020-02-17,Bernalillo County,NM,35001,5.220000181299427
observed,2020-02-18,Bernalillo County,NM,35001,4.969984998109149
observed,2020-02-19,Bernalillo County,NM,35001,4.540015332189233
observed,2020-02-20,Bernalillo County,NM,35001,4.830000167754067
observed,2020-02-21,Bernalillo County,NM,35001,4.999984999151099
observed,2020-02-22,Bernalillo County,NM,35001,5.070000176089674
observed,2020-02-23,Bernalillo County,NM,35001,4.920000170879919
observed,2020-02-24,Bernalillo County,NM,35001,5.080015350944346
observed,2020-02-25,Bernalillo County,NM,35001,4.690015337398986
observed,2020-02-26,Bernalillo County,NM,35001,4.510015331147281
observed,2020-02-27,Bernalillo County,NM,35001,4.069984966850627
observed,2020-02-28,Bernalillo County,NM,35001,3.439984944969661
observed,2020-02-29,Bernalillo County,NM,35001,3.5200152967629084
observed,2020-03-01,Bernalillo County,NM,35001,3.5500152978048587
observed,2020-03-02,Bernalillo County,NM,35001,3.799984957473071
observed,2020-03-03,Bernalillo County,NM,35001,3.810000132327743
observed,2020-03-04,Bernalillo County,NM,35001,3.990000138579447
observed,2020-03-05,Bernalillo County,NM,35001,4.099984967892577
observed,2020-03-06,Bernalillo County,NM,35001,4.260000147957004
observed,2020-03-07,Bernalillo County,NM,35001,4.069984966850627
observed,2020-03-08,Bernalillo County,NM,35001,4.249984973102332
observed,2020-03-09,Bernalillo County,NM,35001,4.609984985605739
observed,2020-03-10,Bernalillo County,NM,35001,4.780015340524839
observed,2020-03-11,Bernalillo County,NM,35001,4.420015328021429
observed,2020-03-12,Bernalillo County,NM,35001,4.369984977270134
observed,2020-03-13,Bernalillo County,NM,35001,4.249984973102332
observed,2020-03-14,Bernalillo County,NM,35001,4.249984973102332
observed,2020-03-15,Bernalillo County,NM,35001,3.739984955389169
observed,2020-03-16,Bernalillo County,NM,35001,3.390000117740433
observed,2020-03-17,Bernalillo County,NM,35001,3.600000125034088
observed,2020-03-18,Bernalillo County,NM,35001,3.600000125034088
observed,2020-03-19,Bernalillo County,NM,35001,4.360015325937528
observed,2020-03-20,Bernalillo County,NM,35001,4.0200001396213985
observed,2020-03-21,Bernalillo County,NM,35001,3.829984958515021
observed,2020-03-22,Bernalillo County,NM,35001,3.7300153040565633
observed,2020-03-23,Bernalillo County,NM,35001,3.8700001344116437
observed,2020-03-24,Bernalillo County,NM,35001,3.7800001312857914
observed,2020-03-25,Bernalillo County,NM,35001,3.4200001187823834
observed,2020-03-26,Bernalillo County,NM,35001,2.8999849262145485
observed,2020-03-27,Bernalillo County,NM,35001,2.04000007085265
observed,2020-03-28,Bernalillo County,NM,35001,1.750015235287815
observed,2020-03-29,Bernalillo County,NM,35001,1.8100152373717158
observed,2020-03-30,Bernalillo County,NM,35001,1.459984876200913
observed,2020-03-31,Bernalillo County,NM,35001,1.3900152227844056
observed,2020-04-01,Bernalillo County,NM,35001,1.3699848730750608
observed,2020-04-02,Bernalillo County,NM,35001,1.2400152175746526
observed,2020-04-03,Bernalillo County,NM,35001,1.039984861613603
observed,2020-04-04,Bernalillo County,NM,35001,0.9700152081970955
observed,2020-04-05,Bernalillo County,NM,35001,0.9900000343843747
observed,2020-04-06,Bernalillo County,NM,35001,0.8400000291746204
observed,2020-04-07,Bernalillo County,NM,35001,1.0500000364682753
observed,2020-04-08,Bernalillo County,NM,35001,0.9300000323004727
observed,2020-04-09,Bernalillo County,NM,35001,0.979984859529701
observed,2020-04-10,Bernalillo County,NM,35001,0.8200152029873424
observed,2020-04-11,Bernalillo County,NM,35001,0.670015197777588
observed,2020-04-12,Bernalillo County,NM,35001,0.7200000250068176
observed,2020-04-13,Bernalillo County,NM,35001,0.4399848407745881
observed,2020-04-14,Bernalillo County,NM,35001,0.31001518527417987
observed,2020-04-15,Bernalillo County,NM,35001,0.22001518214832752
observed,2020-04-16,Bernalillo County,NM,35001,0.1699848313970323
observed,2020-04-17,Bernalillo County,NM,35001,0.3400151863161302
observed,2020-04-18,Bernalillo County,NM,35001,0.3400151863161302
observed,2020-04-19,Bernalillo County,NM,35001,0.40001518840003225
observed,2020-04-20,Bernalillo County,NM,35001,0.3700151873580806
observed,2020-04-21,Bernalillo County,NM,35001,0.3400151863161302
observed,2020-04-22,Bernalillo County,NM,35001,0.5700000197970633
observed,2020-04-23,Bernalillo County,NM,35001,0.6799848491101949
observed,2020-04-24,Bernalillo County,NM,35001,0.6400151967356377
observed,2020-04-25,Bernalillo County,NM,35001,0.5500151936097853
observed,2020-04-26,Bernalillo County,NM,35001,0.4300151894419826
observed,2020-04-27,Bernalillo County,NM,35001,0.4099848397326378
observed,2020-04-28,Bernalillo County,NM,35001,0.4500000156292605
observed,2020-04-29,Bernalillo County,NM,35001,0.2599848345228847
observed,2020-04-30,Bernalillo County,NM,35001,0.3300000114614578
observed,2020-05-01,Bernalillo County,NM,35001,0.2700000093775571
observed,2020-05-02,Bernalillo County,NM,35001,0.19001518110637716
observed,2020-05-03,Bernalillo County,NM,35001,0.30000001041950747
observed,2020-05-04,Bernalillo County,NM,35001,0.5700000197970633
observed,2020-05-05,Bernalillo County,NM,35001,0.2599848345228847
observed,2020-05-06,Bernalillo County,NM,35001,0.10001517798052478
observed,2020-05-07,Bernalillo County,NM,35001,0.07001517693857442
observed,2020-05-08,Bernalillo County,NM,35001,0.0
observed,2020-05-09,Bernalillo County,NM,35001,0.0
observed,2020-05-10,Bernalillo County,NM,35001,0.0
observed,2020-05-11,Bernalillo County,NM,35001,0.0
observed,2020-05-12,Bernalillo County,NM,35001,0.0
observed,2020-05-13,Bernalillo County,NM,35001,0.0
observed,2020-05-14,Bernalillo County,NM,35001,0.0
observed,2020-05-15,Bernalillo County,NM,35001,0.0
observed,2020-05-16,Bernalillo County,NM,35001,0.0
observed,2020-05-17,Bernalillo County,NM,35001,0.0
observed,2020-05-18,Bernalillo County,NM,35001,0.0
observed,2020-05-19,Bernalillo County,NM,35001,0.0
atypical,2020-03-06,Bernalillo County,NM,35001,4.260000147957004
atypical,2020-03-08,Bernalillo County,NM,35001,4.249984973102332
atypical,2020-03-09,Bernalillo County,NM,35001,4.609984985605739
atypical,2020-03-10,Bernalillo County,NM,35001,4.780015340524839
atypical,2020-03-11,Bernalillo County,NM,35001,4.420015328021429
atypical,2020-03-12,Bernalillo County,NM,35001,4.369984977270134
atypical,2020-03-13,Bernalillo County,NM,35001,4.249984973102332
atypical,2020-03-14,Bernalillo County,NM,35001,4.249984973102332
atypical,2020-03-15,Bernalillo County,NM,35001,3.739984955389169
atypical,2020-03-17,Bernalillo County,NM,35001,3.600000125034088
atypical,2020-03-18,Bernalillo County,NM,35001,3.600000125034088
atypical,2020-03-19,Bernalillo County,NM,35001,4.360015325937528
atypical,2020-03-20,Bernalillo County,NM,35001,4.0200001396213985
atypical,2020-03-21,Bernalillo County,NM,35001,3.829984958515021
atypical,2020-03-22,Bernalillo County,NM,35001,3.7300153040565633
atypical,2020-03-23,Bernalillo County,NM,35001,3.8700001344116437
atypical,2020-03-24,Bernalillo County,NM,35001,3.7800001312857914
atypical,2020-03-25,Bernalillo County,NM,35001,3.4200001187823834
atypical,2020-03-26,Bernalillo County,NM,35001,2.8999849262145485
atypical,2020-03-27,Bernalillo County,NM,35001,2.04000007085265
atypical,2020-03-28,Bernalillo County,NM,35001,1.750015235287815
atypical,2020-03-29,Bernalillo County,NM,35001,1.8100152373717158
atypical,2020-03-30,Bernalillo County,NM,35001,1.459984876200913
atypical,2020-03-31,Bernalillo County,NM,35001,1.3900152227844056
