condition,date,county,state,fips,illness
observed,2020-02-16,Churchill County,NV,32001,6.49996987674128
observed,2020-02-17,Churchill County,NV,32001,6.720000233396963
observed,2020-02-18,Churchill County,NV,32001,6.85996988924469
observed,2020-02-19,Churchill County,NV,32001,7.330015429090651
observed,2020-02-20,Churchill County,NV,32001,7.160000248678908
observed,2020-02-21,Churchill County,NV,32001,7.0199698948017595
observed,2020-02-22,Churchill County,NV,32001,7.109985072434968
observed,2020-02-23,Churchill County,NV,32001,6.890015413808707
observed,2020-02-24,Churchill County,NV,32001,6.44000022367209
observed,2020-02-25,Churchill County,NV,32001,6.189985040481812
observed,2020-02-26,Churchill County,NV,32001,6.040000209779413
observed,2020-02-27,Churchill County,NV,32001,5.850015377687748
observed,2020-02-28,Churchill County,NV,32001,5.49001536518434
observed,2020-02-29,Churchill County,NV,32001,5.38998501269646
observed,2020-03-01,Churchill County,NV,32001,5.370015361016537
observed,2020-03-02,Churchill County,NV,32001,5.379969837841786
observed,2020-03-03,Churchill County,NV,32001,5.730015373519945
observed,2020-03-04,Churchill County,NV,32001,5.789985026589135
observed,2020-03-05,Churchill County,NV,32001,6.099969862848605
observed,2020-03-06,Churchill County,NV,32001,6.139969864237872
observed,2020-03-07,Churchill County,NV,32001,6.029985034924741
observed,2020-03-08,Churchill County,NV,32001,6.22998504187108
observed,2020-03-09,Churchill County,NV,32001,6.019969860070069
observed,2020-03-10,Churchill County,NV,32001,6.040000209779413
observed,2020-03-11,Churchill County,NV,32001,5.7099850238106
observed,2020-03-12,Churchill County,NV,32001,5.669985022421334
observed,2020-03-13,Churchill County,NV,32001,5.720000198665272
observed,2020-03-14,Churchill County,NV,32001,5.589985019642797
observed,2020-03-15,Churchill County,NV,32001,5.49001536518434
observed,2020-03-16,Churchill County,NV,32001,5.429985014085727
observed,2020-03-17,Churchill County,NV,32001,4.86998499463598
observed,2020-03-18,Churchill County,NV,32001,4.859969819781308
observed,2020-03-19,Churchill County,NV,32001,4.930015345734593
observed,2020-03-20,Churchill County,NV,32001,4.629984986300374
observed,2020-03-21,Churchill County,NV,32001,3.5799697753247424
