condition,date,county,state,fips,illness
observed,2020-02-15,Albany County,NY,36001,8.209999367088608
observed,2020-02-16,Albany County,NY,36001,7.909974683544304
observed,2020-02-17,Albany County,NY,36001,7.790012658227846
observed,2020-02-18,Albany County,NY,36001,7.669993670886076
observed,2020-02-19,Albany County,NY,36001,7.2
observed,2020-02-20,Albany County,NY,36001,6.100006329113924
observed,2020-02-21,Albany County,NY,36001,6.289974683544304
observed,2020-02-22,Albany County,NY,36001,5.709987341772151
observed,2020-02-23,Albany County,NY,36001,5.419993670886076
observed,2020-02-24,Albany County,NY,36001,5.590025316455696
observed,2020-02-25,Albany County,NY,36001,5.2999746835443045
observed,2020-02-26,Albany County,NY,36001,5.659974683544304
observed,2020-02-27,Albany County,NY,36001,5.250018987341772
observed,2020-02-28,Albany County,NY,36001,4.899987341772151
observed,2020-02-29,Albany County,NY,36001,5.039999999999999
observed,2020-03-01,Albany County,NY,36001,4.5
observed,2020-03-02,Albany County,NY,36001,4.370012658227847
observed,2020-03-03,Albany County,NY,36001,4.710018987341773
observed,2020-03-04,Albany County,NY,36001,4.690025316455697
observed,2020-03-05,Albany County,NY,36001,4.210006329113924
observed,2020-03-06,Albany County,NY,36001,4.570006329113925
observed,2020-03-07,Albany County,NY,36001,4.899987341772151
observed,2020-03-08,Albany County,NY,36001,5.270012658227848
observed,2020-03-09,Albany County,NY,36001,5.9599936708860755
observed,2020-03-10,Albany County,NY,36001,6.03
observed,2020-03-11,Albany County,NY,36001,6.139993670886075
observed,2020-03-12,Albany County,NY,36001,6.260012658227848
observed,2020-03-13,Albany County,NY,36001,6.379974683544304
observed,2020-03-14,Albany County,NY,36001,6.289974683544304
observed,2020-03-15,Albany County,NY,36001,5.869993670886075
observed,2020-03-16,Albany County,NY,36001,5.630012658227848
observed,2020-03-17,Albany County,NY,36001,5.3600126582278484
observed,2020-03-18,Albany County,NY,36001,5.290006329113924
observed,2020-03-19,Albany County,NY,36001,5.2599873417721525
observed,2020-03-20,Albany County,NY,36001,4.660006329113924
observed,2020-03-21,Albany County,NY,36001,4.309974683544303
observed,2020-03-22,Albany County,NY,36001,4.030006329113924
observed,2020-03-23,Albany County,NY,36001,3.709993670886076
observed,2020-03-24,Albany County,NY,36001,3.529993670886076
observed,2020-03-25,Albany County,NY,36001,3.220006329113924
observed,2020-03-26,Albany County,NY,36001,3.090018987341773
observed,2020-03-27,Albany County,NY,36001,2.9100189873417714
observed,2020-03-28,Albany County,NY,36001,2.9800253164556962
observed,2020-03-29,Albany County,NY,36001,3.090018987341773
observed,2020-03-30,Albany County,NY,36001,3.1699936708860763
observed,2020-03-31,Albany County,NY,36001,2.9100189873417714
observed,2020-04-01,Albany County,NY,36001,2.8000253164556965
observed,2020-04-02,Albany County,NY,36001,2.399981012658228
observed,2020-04-03,Albany County,NY,36001,2.039981012658227
observed,2020-04-04,Albany County,NY,36001,1.7699810126582283
observed,2020-04-05,Albany County,NY,36001,1.7699810126582283
observed,2020-04-06,Albany County,NY,36001,1.5300000000000007
observed,2020-04-07,Albany County,NY,36001,1.4900126582278472
observed,2020-04-08,Albany County,NY,36001,1.090025316455696
observed,2020-04-09,Albany County,NY,36001,0.9199936708860765
observed,2020-04-10,Albany County,NY,36001,0.7000063291139234
observed,2020-04-11,Albany County,NY,36001,0.5200063291139235
observed,2020-04-12,Albany County,NY,36001,0.5799873417721512
observed,2020-04-13,Albany County,NY,36001,0.4300063291139244
observed,2020-04-14,Albany County,NY,36001,0.3599999999999996
observed,2020-04-15,Albany County,NY,36001,0.3599999999999996
observed,2020-04-16,Albany County,NY,36001,0.48001898734177173
observed,2020-04-17,Albany County,NY,36001,0.5999810126582271
observed,2020-04-18,Albany County,NY,36001,0.5900126582278483
observed,2020-04-19,Albany County,NY,36001,0.5399999999999994
observed,2020-04-20,Albany County,NY,36001,0.3700253164556967
observed,2020-04-21,Albany County,NY,36001,0.3299810126582282
observed,2020-04-22,Albany County,NY,36001,0.3299810126582282
observed,2020-04-23,Albany County,NY,36001,0.5200063291139235
atypical,2020-03-09,Albany County,NY,36001,5.9599936708860755
atypical,2020-03-10,Albany County,NY,36001,6.03
atypical,2020-03-11,Albany County,NY,36001,6.139993670886075
atypical,2020-03-12,Albany County,NY,36001,6.260012658227848
atypical,2020-03-13,Albany County,NY,36001,6.379974683544304
atypical,2020-03-14,Albany County,NY,36001,6.289974683544304
atypical,2020-03-15,Albany County,NY,36001,5.869993670886075
atypical,2020-03-16,Albany County,NY,36001,5.630012658227848
atypical,2020-03-17,Albany County,NY,36001,5.3600126582278484
atypical,2020-03-18,Albany County,NY,36001,5.290006329113924
atypical,2020-03-19,Albany County,NY,36001,5.2599873417721525
atypical,2020-03-20,Albany County,NY,36001,4.660006329113924
observed,2020-02-15,Allegany County,NY,36003,5.699993670886075
observed,2020-02-16,Allegany County,NY,36003,5.3000189873417725
observed,2020-02-17,Allegany County,NY,36003,4.840012658227849
observed,2020-02-18,Allegany County,NY,36003,5.39
observed,2020-02-19,Allegany County,NY,36003,5.549981012658228
observed,2020-02-20,Allegany County,NY,36003,5.150006329113924
observed,2020-02-21,Allegany County,NY,36003,4.950018987341773
observed,2020-02-22,Allegany County,NY,36003,5.04
observed,2020-02-23,Allegany County,NY,36003,5.449987341772152
observed,2020-02-24,Allegany County,NY,36003,5.81
observed,2020-02-25,Allegany County,NY,36003,5.769993670886076
observed,2020-02-26,Allegany County,NY,36003,6.259998101265823
observed,2020-02-27,Allegany County,NY,36003,5.869987341772152
observed,2020-02-28,Allegany County,NY,36003,5.74
observed,2020-02-29,Allegany County,NY,36003,5.88
observed,2020-03-01,Allegany County,NY,36003,5.780006329113924
observed,2020-03-02,Allegany County,NY,36003,5.409981012658228
observed,2020-03-03,Allegany County,NY,36003,5.260012658227848
observed,2020-03-04,Allegany County,NY,36003,5.39
observed,2020-03-05,Allegany County,NY,36003,4.8899873417721516
observed,2020-03-06,Allegany County,NY,36003,5.409981012658228
observed,2020-03-07,Allegany County,NY,36003,6.109981012658228
observed,2020-03-08,Allegany County,NY,36003,5.510018987341772
observed,2020-03-09,Allegany County,NY,36003,4.989981012658228
observed,2020-03-10,Allegany County,NY,36003,4.719993670886076
observed,2020-03-11,Allegany County,NY,36003,4.660006329113924
observed,2020-03-12,Allegany County,NY,36003,4.700012658227848
observed,2020-03-13,Allegany County,NY,36003,4.460018987341773
observed,2020-03-14,Allegany County,NY,36003,4.520006329113924
