condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,OH,39001,7.869985098831054
observed,2020-02-17,Adams County,OH,39001,7.949985101609588
observed,2020-02-18,Adams County,OH,39001,7.840000272296457
observed,2020-02-19,Adams County,OH,39001,7.410015431869186
observed,2020-02-20,Adams County,OH,39001,7.130015422144313
observed,2020-02-21,Adams County,OH,39001,6.549985052985221
observed,2020-02-22,Adams County,OH,39001,6.3800305706029
observed,2020-02-23,Adams County,OH,39001,5.560000193108202
observed,2020-02-24,Adams County,OH,39001,5.240000181994062
observed,2020-02-25,Adams County,OH,39001,5.069985001582317
observed,2020-02-26,Adams County,OH,39001,5.340030534481942
observed,2020-02-27,Adams County,OH,39001,5.869985029367671
observed,2020-02-28,Adams County,OH,39001,5.930015380466283
observed,2020-02-29,Adams County,OH,39001,5.730015373519945
observed,2020-03-01,Adams County,OH,39001,5.960000207000879
observed,2020-03-02,Adams County,OH,39001,6.669985057153024
observed,2020-03-03,Adams County,OH,39001,6.730015408251637
observed,2020-03-04,Adams County,OH,39001,6.410015397137495
observed,2020-03-05,Adams County,OH,39001,5.600000194497469
observed,2020-03-06,Adams County,OH,39001,4.739969815613505
observed,2020-03-07,Adams County,OH,39001,4.060030490025378
observed,2020-03-08,Adams County,OH,39001,4.040000140316032
observed,2020-03-09,Adams County,OH,39001,4.490015330452649
observed,2020-03-10,Adams County,OH,39001,4.7700153401775225
observed,2020-03-11,Adams County,OH,39001,4.789984991857444
observed,2020-03-12,Adams County,OH,39001,5.6400001958867385
observed,2020-03-13,Adams County,OH,39001,6.029985034924741
observed,2020-03-14,Adams County,OH,39001,6.509985051595954
observed,2020-03-15,Adams County,OH,39001,6.019969860070069
observed,2020-03-16,Adams County,OH,39001,6.5899850543744884
observed,2020-03-17,Adams County,OH,39001,6.290015392969692
observed,2020-03-18,Adams County,OH,39001,6.080000211168682
observed,2020-03-19,Adams County,OH,39001,5.520000191718935
observed,2020-03-20,Adams County,OH,39001,5.059969826727645
observed,2020-03-21,Adams County,OH,39001,4.640000161155045
observed,2020-03-22,Adams County,OH,39001,4.260030496971715
observed,2020-03-23,Adams County,OH,39001,4.050015315170704
observed,2020-03-24,Adams County,OH,39001,3.170015284606816
observed,2020-03-25,Adams County,OH,39001,2.810015272103407
observed,2020-03-26,Adams County,OH,39001,2.5300152623785332
observed,2020-03-27,Adams County,OH,39001,2.30998490572285
observed,2020-03-28,Adams County,OH,39001,2.0699848973872457
observed,2020-03-29,Adams County,OH,39001,2.0400000708526504
observed,2020-03-30,Adams County,OH,39001,1.9200000666848471
observed,2020-03-31,Adams County,OH,39001,2.0000000694633813
observed,2020-04-01,Adams County,OH,39001,1.829984889051639
observed,2020-04-02,Adams County,OH,39001,1.6800000583492407
