condition,date,county,state,fips,illness
observed,2020-02-16,Baker County,OR,41001,5.110015351986297
observed,2020-02-17,Baker County,OR,41001,5.83998502832572
observed,2020-02-18,Baker County,OR,41001,5.419985013738409
observed,2020-02-19,Baker County,OR,41001,5.950015381160917
observed,2020-02-20,Baker County,OR,41001,5.790000201096491
observed,2020-02-21,Baker County,OR,41001,5.640000195886737
observed,2020-02-22,Baker County,OR,41001,5.550000192760885
observed,2020-02-23,Baker County,OR,41001,5.5200001917189345
observed,2020-02-24,Baker County,OR,41001,5.5200001917189345
observed,2020-02-25,Baker County,OR,41001,5.190000180257476
observed,2020-02-26,Baker County,OR,41001,4.600015334273134
observed,2020-02-27,Baker County,OR,41001,4.069984966850627
observed,2020-02-28,Baker County,OR,41001,4.219984972060381
observed,2020-02-29,Baker County,OR,41001,4.309984975186232
observed,2020-03-01,Baker County,OR,41001,4.590000159418461
observed,2020-03-02,Baker County,OR,41001,4.720015338440937
observed,2020-03-03,Baker County,OR,41001,4.680000162544314
observed,2020-03-04,Baker County,OR,41001,4.470000155250659
observed,2020-03-05,Baker County,OR,41001,4.390015326979479
observed,2020-03-06,Baker County,OR,41001,4.699984988731591
observed,2020-03-07,Baker County,OR,41001,4.810015341566789
observed,2020-03-08,Baker County,OR,41001,5.170015354070198
observed,2020-03-09,Baker County,OR,41001,5.2500001823413776
observed,2020-03-10,Baker County,OR,41001,4.950000171921871
observed,2020-03-11,Baker County,OR,41001,4.5499849835218384
observed,2020-03-12,Baker County,OR,41001,4.930015345734592
observed,2020-03-13,Baker County,OR,41001,4.930015345734592
observed,2020-03-14,Baker County,OR,41001,4.759984990815494
observed,2020-03-15,Baker County,OR,41001,5.1300001781735745
observed,2020-03-16,Baker County,OR,41001,5.1400153530282475
observed,2020-03-17,Baker County,OR,41001,4.860000168796018
observed,2020-03-18,Baker County,OR,41001,5.0899850022769515
observed,2020-03-19,Baker County,OR,41001,4.9800001729638215
observed,2020-03-20,Baker County,OR,41001,4.810015341566789
observed,2020-03-21,Baker County,OR,41001,4.300015323853627
observed,2020-03-22,Baker County,OR,41001,3.5100001219082357
observed,2020-03-23,Baker County,OR,41001,3.270000113572629
observed,2020-03-24,Baker County,OR,41001,3.229984937676006
observed,2020-03-25,Baker County,OR,41001,2.890015274881943
observed,2020-03-26,Baker County,OR,41001,2.3800152571687803
observed,2020-03-27,Baker County,OR,41001,1.9399848928721253
observed,2020-03-28,Baker County,OR,41001,1.6999848845365186
observed,2020-03-29,Baker County,OR,41001,1.7400000604331427
observed,2020-03-30,Baker County,OR,41001,1.7400000604331427
observed,2020-03-31,Baker County,OR,41001,1.6800000583492407
observed,2020-04-01,Baker County,OR,41001,1.4899848772428634
observed,2020-04-02,Baker County,OR,41001,1.1800152154907506
observed,2020-04-03,Baker County,OR,41001,0.9900000343843747
observed,2020-04-04,Baker County,OR,41001,0.8800152050712431
observed,2020-04-05,Baker County,OR,41001,0.8899848564038499
observed,2020-04-06,Baker County,OR,41001,0.750000026048768
observed,2020-04-07,Baker County,OR,41001,0.7600152009034404
observed,2020-04-08,Baker County,OR,41001,0.8800152050712431
observed,2020-04-09,Baker County,OR,41001,0.8200152029873424
observed,2020-04-10,Baker County,OR,41001,0.8800152050712431
observed,2020-04-11,Baker County,OR,41001,0.8899848564038499
observed,2020-04-12,Baker County,OR,41001,0.8500152040292928
observed,2020-04-13,Baker County,OR,41001,0.9000000312585223
observed,2020-04-14,Baker County,OR,41001,0.7999848532779975
observed,2020-04-15,Baker County,OR,41001,0.829984854319948
observed,2020-04-16,Baker County,OR,41001,0.6400151967356377
observed,2020-04-17,Baker County,OR,41001,0.7800000270907184
observed,2020-04-18,Baker County,OR,41001,1.000015209239047
observed,2020-04-19,Baker County,OR,41001,1.1400000395941279
observed,2020-04-20,Baker County,OR,41001,1.1500152144488003
observed,2020-04-21,Baker County,OR,41001,0.81000002813267
observed,2020-04-22,Baker County,OR,41001,0.7900152019453921
observed,2020-04-23,Baker County,OR,41001,0.7000151988195397
observed,2020-04-24,Baker County,OR,41001,0.4900151915258846
observed,2020-04-25,Baker County,OR,41001,0.3499848376487357
observed,2020-04-26,Baker County,OR,41001,0.19001518110637716
observed,2020-04-27,Baker County,OR,41001,0.040015175896622776
observed,2020-04-28,Baker County,OR,41001,0.1099848293131303
observed,2020-04-29,Baker County,OR,41001,0.289984835564835
observed,2020-04-30,Baker County,OR,41001,0.3199848366067854
observed,2020-05-01,Baker County,OR,41001,0.22998483348093302
observed,2020-05-02,Baker County,OR,41001,0.19001518110637716
observed,2020-05-03,Baker County,OR,41001,0.2500151831902779
observed,2020-05-04,Baker County,OR,41001,0.3900000135453598
observed,2020-05-05,Baker County,OR,41001,0.3400151863161302
observed,2020-05-06,Baker County,OR,41001,0.3700151873580806
observed,2020-05-07,Baker County,OR,41001,0.18000000625170473
observed,2020-05-08,Baker County,OR,41001,0.2500151831902779
observed,2020-05-09,Baker County,OR,41001,0.3300000114614578
observed,2020-05-10,Baker County,OR,41001,0.40001518840003225
observed,2020-05-11,Baker County,OR,41001,0.28001518423222954
observed,2020-05-12,Baker County,OR,41001,0.07998482827117995
observed,2020-05-13,Baker County,OR,41001,0.04998482722922958
observed,2020-05-14,Baker County,OR,41001,0.4200000145873102
observed,2020-05-15,Baker County,OR,41001,0.19001518110637716
observed,2020-05-16,Baker County,OR,41001,0.06000000208390201
observed,2020-05-17,Baker County,OR,41001,0.07998482827117995
observed,2020-05-18,Baker County,OR,41001,0.1099848293131303
observed,2020-05-19,Baker County,OR,41001,0.22001518214832752
observed,2020-02-16,Benton County,OR,41003,4.770000165670166
observed,2020-02-17,Benton County,OR,41003,4.920000170879919
observed,2020-02-18,Benton County,OR,41003,4.759984990815494
observed,2020-02-19,Benton County,OR,41003,4.870015343650691
observed,2020-02-20,Benton County,OR,41003,4.770000165670166
observed,2020-02-21,Benton County,OR,41003,4.6699849876896415
observed,2020-02-22,Benton County,OR,41003,4.5600001583765115
observed,2020-02-23,Benton County,OR,41003,4.500000156292609
observed,2020-02-24,Benton County,OR,41003,4.440000154208708
observed,2020-02-25,Benton County,OR,41003,4.6699849876896415
observed,2020-02-26,Benton County,OR,41003,4.510015331147281
observed,2020-02-27,Benton County,OR,41003,4.180015319685824
observed,2020-02-28,Benton County,OR,41003,4.1700001448311514
observed,2020-02-29,Benton County,OR,41003,4.180015319685824
observed,2020-03-01,Benton County,OR,41003,4.260000147957004
observed,2020-03-02,Benton County,OR,41003,4.450015329063381
observed,2020-03-03,Benton County,OR,41003,4.750015339482888
observed,2020-03-04,Benton County,OR,41003,4.900015344692641
observed,2020-03-05,Benton County,OR,41003,4.870015343650691
observed,2020-03-06,Benton County,OR,41003,5.170015354070198
observed,2020-03-07,Benton County,OR,41003,4.950000171921871
observed,2020-03-08,Benton County,OR,41003,5.1300001781735745
observed,2020-03-09,Benton County,OR,41003,5.599985019990114
observed,2020-03-10,Benton County,OR,41003,5.530015366573607
observed,2020-03-11,Benton County,OR,41003,5.110015351986297
observed,2020-03-12,Benton County,OR,41003,5.3599850116545085
observed,2020-03-13,Benton County,OR,41003,5.0899850022769515
observed,2020-03-14,Benton County,OR,41003,4.609984985605739
observed,2020-03-15,Benton County,OR,41003,4.8199849928993945
observed,2020-03-16,Benton County,OR,41003,4.789984991857445
observed,2020-03-17,Benton County,OR,41003,4.330015324895578
observed,2020-03-18,Benton County,OR,41003,4.339984976228184
observed,2020-03-19,Benton County,OR,41003,4.320000150040904
observed,2020-03-20,Benton County,OR,41003,4.290000148998954
observed,2020-03-21,Benton County,OR,41003,3.7000153030146117
observed,2020-03-22,Benton County,OR,41003,3.180000110446778
observed,2020-03-23,Benton County,OR,41003,3.1600152842594986
observed,2020-03-24,Benton County,OR,41003,3.1300152832175483
observed,2020-03-25,Benton County,OR,41003,2.9100001010692207
observed,2020-03-26,Benton County,OR,41003,2.4000000833560584
observed,2020-03-27,Benton County,OR,41003,1.9300152415395186
observed,2020-03-28,Benton County,OR,41003,1.8400152384136674
observed,2020-03-29,Benton County,OR,41003,1.8700152394556178
observed,2020-03-30,Benton County,OR,41003,1.789984887662371
observed,2020-03-31,Benton County,OR,41003,1.6800000583492407
observed,2020-04-01,Benton County,OR,41003,1.2900000448038809
observed,2020-04-02,Benton County,OR,41003,1.039984861613603
observed,2020-04-03,Benton County,OR,41003,0.8800152050712431
observed,2020-04-04,Benton County,OR,41003,1.0300152102809974
observed,2020-04-05,Benton County,OR,41003,0.8700000302165707
observed,2020-04-06,Benton County,OR,41003,0.7600152009034404
observed,2020-04-07,Benton County,OR,41003,0.769984852236046
observed,2020-04-08,Benton County,OR,41003,0.81000002813267
observed,2020-04-09,Benton County,OR,41003,0.580015194651737
observed,2020-04-10,Benton County,OR,41003,0.6199848470262929
observed,2020-04-11,Benton County,OR,41003,0.6499848480682432
observed,2020-04-12,Benton County,OR,41003,0.5400000187551129
observed,2020-04-13,Benton County,OR,41003,0.6600000229229156
observed,2020-04-14,Benton County,OR,41003,0.6799848491101949
observed,2020-04-15,Benton County,OR,41003,0.7099848501521452
observed,2020-04-16,Benton County,OR,41003,0.6900000239648673
observed,2020-04-17,Benton County,OR,41003,0.6300000218809653
observed,2020-04-18,Benton County,OR,41003,0.9400152071551451
observed,2020-04-19,Benton County,OR,41003,0.979984859529701
observed,2020-04-20,Benton County,OR,41003,0.9700152081970955
observed,2020-04-21,Benton County,OR,41003,0.7399848511940955
observed,2020-04-22,Benton County,OR,41003,0.7600152009034404
observed,2020-04-23,Benton County,OR,41003,0.6100151956936873
observed,2020-04-24,Benton County,OR,41003,0.5299848439004404
observed,2020-04-25,Benton County,OR,41003,0.5100000177131625
observed,2020-04-26,Benton County,OR,41003,0.30000001041950747
observed,2020-04-27,Benton County,OR,41003,0.18000000625170473
observed,2020-04-28,Benton County,OR,41003,0.31001518527417987
observed,2020-04-29,Benton County,OR,41003,0.4999848428584901
observed,2020-04-30,Benton County,OR,41003,0.4200000145873102
observed,2020-05-01,Benton County,OR,41003,0.3199848366067854
observed,2020-05-02,Benton County,OR,41003,0.2100000072936551
observed,2020-05-03,Benton County,OR,41003,0.30000001041950747
observed,2020-05-04,Benton County,OR,41003,0.4300151894419826
observed,2020-05-05,Benton County,OR,41003,0.3199848366067854
observed,2020-05-06,Benton County,OR,41003,0.3700151873580806
observed,2020-05-07,Benton County,OR,41003,0.1099848293131303
observed,2020-05-08,Benton County,OR,41003,0.1600151800644255
observed,2020-05-09,Benton County,OR,41003,0.10001517798052478
observed,2020-05-10,Benton County,OR,41003,0.15000000520975307
observed,2020-05-11,Benton County,OR,41003,0.019984826187277933
observed,2020-05-12,Benton County,OR,41003,0.0
observed,2020-05-13,Benton County,OR,41003,0.09000000312585237
observed,2020-05-14,Benton County,OR,41003,0.12000000416780272
observed,2020-05-15,Benton County,OR,41003,0.010015174854672423
observed,2020-05-16,Benton County,OR,41003,0.010015174854672423
observed,2020-05-17,Benton County,OR,41003,0.010015174854672423
observed,2020-05-18,Benton County,OR,41003,0.04998482722922958
observed,2020-05-19,Benton County,OR,41003,0.22001518214832752
atypical,2020-03-04,Benton County,OR,41003,4.900015344692641
atypical,2020-03-05,Benton County,OR,41003,4.870015343650691
atypical,2020-03-06,Benton County,OR,41003,5.170015354070198
atypical,2020-03-07,Benton County,OR,41003,4.950000171921871
