condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,PA,42001,6.309985044649615
observed,2020-02-17,Adams County,PA,42001,6.129992625651588
observed,2020-02-18,Adams County,PA,42001,5.819985027631086
observed,2020-02-19,Adams County,PA,42001,6.449985049512052
observed,2020-02-20,Adams County,PA,42001,5.740000199359907
observed,2020-02-21,Adams County,PA,42001,5.63999260863306
observed,2020-02-22,Adams County,PA,42001,5.14000776577457
observed,2020-02-23,Adams County,PA,42001,4.820015341914106
observed,2020-02-24,Adams County,PA,42001,4.790007753618477
observed,2020-02-25,Adams County,PA,42001,4.970000172616505
observed,2020-02-26,Adams County,PA,42001,4.379992564871128
observed,2020-02-27,Adams County,PA,42001,3.8999773736925625
observed,2020-02-28,Adams County,PA,42001,4.230007734168732
observed,2020-02-29,Adams County,PA,42001,4.510007743893604
observed,2020-03-01,Adams County,PA,42001,4.790007753618477
observed,2020-03-02,Adams County,PA,42001,5.089977415023274
observed,2020-03-03,Adams County,PA,42001,4.790007753618477
observed,2020-03-04,Adams County,PA,42001,4.669977400435964
observed,2020-03-05,Adams County,PA,42001,4.599977398004745
observed,2020-03-06,Adams County,PA,42001,4.489984981437937
observed,2020-03-07,Adams County,PA,42001,4.179977383417436
observed,2020-03-08,Adams County,PA,42001,4.279984974144282
observed,2020-03-09,Adams County,PA,42001,4.360022913191206
observed,2020-03-10,Adams County,PA,42001,4.069984966850627
observed,2020-03-11,Adams County,PA,42001,4.279984974144282
observed,2020-03-12,Adams County,PA,42001,4.319977388279872
observed,2020-03-13,Adams County,PA,42001,4.3300153248955775
observed,2020-03-14,Adams County,PA,42001,4.029992552715036
observed,2020-03-15,Adams County,PA,42001,4.400015327326797
observed,2020-03-16,Adams County,PA,42001,4.3400001507355395
observed,2020-03-17,Adams County,PA,42001,4.410000153166757
observed,2020-03-18,Adams County,PA,42001,4.470015329758014
observed,2020-03-19,Adams County,PA,42001,4.3300153248955775
observed,2020-03-20,Adams County,PA,42001,3.940022898603896
observed,2020-03-21,Adams County,PA,42001,3.500000121560919
