condition,date,county,state,fips,illness
observed,2020-02-16,Bristol County,RI,44001,8.320015463475025
observed,2020-02-17,Bristol County,RI,44001,7.980023038919928
observed,2020-02-18,Bristol County,RI,44001,7.9299699264075985
observed,2020-02-19,Bristol County,RI,44001,7.569969913904191
observed,2020-02-20,Bristol County,RI,44001,7.249985077297405
observed,2020-02-21,Bristol County,RI,44001,6.979985067919848
observed,2020-02-22,Bristol County,RI,44001,6.709985058542292
observed,2020-02-23,Bristol County,RI,44001,6.039969860764703
observed,2020-02-24,Bristol County,RI,44001,5.730022960773624
observed,2020-02-25,Bristol County,RI,44001,5.580000193802837
observed,2020-02-26,Bristol County,RI,44001,5.330007772373592
observed,2020-02-27,Bristol County,RI,44001,5.249977420580345
observed,2020-02-28,Bristol County,RI,44001,4.749992577721855
observed,2020-02-29,Bristol County,RI,44001,4.770000165670168
observed,2020-03-01,Bristol County,RI,44001,4.909984996025248
observed,2020-03-02,Bristol County,RI,44001,4.549984983521839
observed,2020-03-03,Bristol County,RI,44001,4.7000077504926265
observed,2020-03-04,Bristol County,RI,44001,5.100022938892659
observed,2020-03-05,Bristol County,RI,44001,5.010022935766806
observed,2020-03-06,Bristol County,RI,44001,4.770000165670168
observed,2020-03-07,Bristol County,RI,44001,4.970007759870182
observed,2020-03-08,Bristol County,RI,44001,4.830022929515102
observed,2020-03-09,Bristol County,RI,44001,5.370022948270214
observed,2020-03-10,Bristol County,RI,44001,5.730022960773624
observed,2020-03-11,Bristol County,RI,44001,5.989985033535474
observed,2020-03-12,Bristol County,RI,44001,5.94996985763885
observed,2020-03-13,Bristol County,RI,44001,5.960007794254557
observed,2020-03-14,Bristol County,RI,44001,5.820022963899475
observed,2020-03-15,Bristol County,RI,44001,5.57003054247023
observed,2020-03-16,Bristol County,RI,44001,5.499969842009591
observed,2020-03-17,Bristol County,RI,44001,5.100022938892659
observed,2020-03-18,Bristol County,RI,44001,4.599969810751068
observed,2020-03-19,Bristol County,RI,44001,4.81001534156679
observed,2020-03-20,Bristol County,RI,44001,4.299992562092594
observed,2020-03-21,Bristol County,RI,44001,4.009984964766725
observed,2020-03-22,Bristol County,RI,44001,3.849992546463333
observed,2020-03-23,Bristol County,RI,44001,3.4299697701149885
observed,2020-03-24,Bristol County,RI,44001,3.0899773455598925
observed,2020-03-25,Bristol County,RI,44001,2.8100076848497304
observed,2020-03-26,Bristol County,RI,44001,2.3899849085013862
observed,2020-03-27,Bristol County,RI,44001,2.1500304236878462
observed,2020-03-28,Bristol County,RI,44001,2.130022835739536
observed,2020-03-29,Bristol County,RI,44001,1.9700304174361423
observed,2020-03-30,Bristol County,RI,44001,1.9899697201013538
observed,2020-03-31,Bristol County,RI,44001,2.0799697232272067
observed,2020-04-01,Bristol County,RI,44001,1.9899697201013538
observed,2020-04-02,Bristol County,RI,44001,1.919977304923813
observed,2020-04-03,Bristol County,RI,44001,1.7199697107237968
observed,2020-04-04,Bristol County,RI,44001,1.6899924714428798
observed,2020-04-05,Bristol County,RI,44001,1.710000059391192
observed,2020-04-06,Bristol County,RI,44001,1.6899924714428798
observed,2020-04-07,Bristol County,RI,44001,1.2899772830428475
observed,2020-04-08,Bristol County,RI,44001,1.2300228044810138
observed,2020-04-09,Bristol County,RI,44001,1.1200152134068486
observed,2020-04-10,Bristol County,RI,44001,1.0300152102809976
observed,2020-04-11,Bristol County,RI,44001,0.9800303830517687
observed,2020-04-12,Bristol County,RI,44001,0.7699848522360473
observed,2020-04-13,Bristol County,RI,44001,0.7200000250068184
observed,2020-04-14,Bristol County,RI,44001,0.5100227794741954
observed,2020-04-15,Bristol County,RI,44001,0.5300303674225074
observed,2020-04-16,Bristol County,RI,44001,0.44003036429665443
observed,2020-04-17,Bristol County,RI,44001,0.45000001562926123
observed,2020-04-18,Bristol County,RI,44001,0.5800151946517363
observed,2020-04-19,Bristol County,RI,44001,0.6300000218809654
observed,2020-04-20,Bristol County,RI,44001,0.6300000218809654
observed,2020-04-21,Bristol County,RI,44001,0.49998484285849015
observed,2020-04-22,Bristol County,RI,44001,0.6700151977775894
observed,2020-04-23,Bristol County,RI,44001,0.7200000250068184
observed,2020-04-24,Bristol County,RI,44001,0.8199696794652762
observed,2020-04-25,Bristol County,RI,44001,0.8399772674135864
observed,2020-04-26,Bristol County,RI,44001,0.6399696732135721
observed,2020-04-27,Bristol County,RI,44001,0.49001519152588335
observed,2020-04-28,Bristol County,RI,44001,0.5300303674225074
observed,2020-04-29,Bristol County,RI,44001,0.5100227794741954
observed,2020-04-30,Bristol County,RI,44001,0.4599696669618661
observed,2020-05-01,Bristol County,RI,44001,0.49998484285849015
observed,2020-05-02,Bristol County,RI,44001,0.5300303674225074
