condition,date,county,state,fips,illness
observed,2020-02-16,Aurora County,SD,46003,8.579969948983198
observed,2020-02-17,Aurora County,SD,46003,8.150000283063283
observed,2020-02-18,Aurora County,SD,46003,8.329969940300275
observed,2020-02-19,Aurora County,SD,46003,7.820030620616537
observed,2020-02-20,Aurora County,SD,46003,8.450000293482791
observed,2020-02-21,Aurora County,SD,46003,9.360015499595985
observed,2020-02-22,Aurora County,SD,46003,9.02996996461246
observed,2020-02-23,Aurora County,SD,46003,8.270030636245796
observed,2020-02-24,Aurora County,SD,46003,8.210015459654539
observed,2020-02-25,Aurora County,SD,46003,8.02996992988077
observed,2020-02-26,Aurora County,SD,46003,8.260015461391124
observed,2020-02-27,Aurora County,SD,46003,7.929969926407599
observed,2020-02-28,Aurora County,SD,46003,6.529969877783231
observed,2020-02-29,Aurora County,SD,46003,6.6399850561110725
observed,2020-03-01,Aurora County,SD,46003,6.17996986562714
observed,2020-03-02,Aurora County,SD,46003,6.48998505090132
observed,2020-03-03,Aurora County,SD,46003,6.110015386717988
observed,2020-03-04,Aurora County,SD,46003,5.6700305459433995
observed,2020-03-05,Aurora County,SD,46003,5.170030528577554
observed,2020-03-06,Aurora County,SD,46003,4.939984997067199
observed,2020-03-07,Aurora County,SD,46003,5.07996982742228
observed,2020-03-08,Aurora County,SD,46003,4.489984981437937
observed,2020-03-09,Aurora County,SD,46003,4.429969804846681
observed,2020-03-10,Aurora County,SD,46003,4.129969794427173
observed,2020-03-11,Aurora County,SD,46003,4.139984969281845
observed,2020-03-12,Aurora County,SD,46003,4.360015325937529
observed,2020-03-13,Aurora County,SD,46003,4.420030502528786
observed,2020-03-14,Aurora County,SD,46003,5.000000173658456
observed,2020-03-15,Aurora County,SD,46003,4.639984986647692
observed,2020-03-16,Aurora County,SD,46003,4.660015336357037
observed,2020-03-17,Aurora County,SD,46003,4.5799698100564346
observed,2020-03-18,Aurora County,SD,46003,5.239985007486705
observed,2020-03-19,Aurora County,SD,46003,4.960015346776543
observed,2020-03-20,Aurora County,SD,46003,4.139984969281845
observed,2020-03-21,Aurora County,SD,46003,4.189984971018429
observed,2020-03-22,Aurora County,SD,46003,3.539984948442832
observed,2020-03-23,Aurora County,SD,46003,3.1100152825229155
observed,2020-03-24,Aurora County,SD,46003,3.08998493281357
observed,2020-03-25,Aurora County,SD,46003,2.660015266893654
observed,2020-03-26,Aurora County,SD,46003,2.3500000816194753
observed,2020-03-27,Aurora County,SD,46003,1.920030415699559
observed,2020-03-28,Aurora County,SD,46003,1.6500000573072915
observed,2020-03-29,Aurora County,SD,46003,1.6000000555707052
observed,2020-03-30,Aurora County,SD,46003,1.420030398333713
observed,2020-03-31,Aurora County,SD,46003,1.3200303948605432
observed,2020-04-01,Aurora County,SD,46003,0.9100152061131944
observed,2020-04-02,Aurora County,SD,46003,0.9500000329951055
observed,2020-04-03,Aurora County,SD,46003,0.7700303757581134
observed,2020-04-04,Aurora County,SD,46003,0.589984845984343
observed,2020-04-05,Aurora County,SD,46003,0.3799696641833322
observed,2020-04-06,Aurora County,SD,46003,0.2600151835375947
observed,2020-04-07,Aurora County,SD,46003,0.2799696607101622
observed,2020-04-08,Aurora County,SD,46003,0.32996966244674614
observed,2020-04-09,Aurora County,SD,46003,0.339984837301419
observed,2020-04-10,Aurora County,SD,46003,0.4700303653386054
observed,2020-04-11,Aurora County,SD,46003,0.4700303653386054
observed,2020-04-12,Aurora County,SD,46003,0.4799696676565001
observed,2020-04-13,Aurora County,SD,46003,0.339984837301419
observed,2020-04-14,Aurora County,SD,46003,0.28998483556483506
observed,2020-04-15,Aurora County,SD,46003,0.2000000069463379
observed,2020-04-16,Aurora County,SD,46003,0.06001517659125679
observed,2020-04-17,Aurora County,SD,46003,0.18998483209166503
observed,2020-04-18,Aurora County,SD,46003,0.07996965376382431
observed,2020-04-19,Aurora County,SD,46003,0.06001517659125679
observed,2020-04-20,Aurora County,SD,46003,0.0
observed,2020-04-21,Aurora County,SD,46003,0.0
observed,2020-04-22,Aurora County,SD,46003,0.0
observed,2020-04-23,Aurora County,SD,46003,0.0
observed,2020-04-24,Aurora County,SD,46003,0.0
observed,2020-04-25,Aurora County,SD,46003,0.0
observed,2020-04-26,Aurora County,SD,46003,0.0
observed,2020-04-27,Aurora County,SD,46003,0.0
observed,2020-04-28,Aurora County,SD,46003,0.0
observed,2020-04-29,Aurora County,SD,46003,0.0
observed,2020-04-30,Aurora County,SD,46003,0.0
observed,2020-05-01,Aurora County,SD,46003,0.02003034970934571
observed,2020-05-02,Aurora County,SD,46003,0.07003035144592965
observed,2020-05-03,Aurora County,SD,46003,0.010015174854672855
observed,2020-05-04,Aurora County,SD,46003,0.2000000069463379
observed,2020-05-05,Aurora County,SD,46003,0.2200303566556836
observed,2020-05-06,Aurora County,SD,46003,0.010015174854672855
observed,2020-05-07,Aurora County,SD,46003,0.0
observed,2020-05-08,Aurora County,SD,46003,0.0
observed,2020-05-09,Aurora County,SD,46003,0.0
observed,2020-05-10,Aurora County,SD,46003,0.0
observed,2020-05-11,Aurora County,SD,46003,0.0
observed,2020-05-12,Aurora County,SD,46003,0.1600151800644268
observed,2020-05-13,Aurora County,SD,46003,0.0
observed,2020-05-14,Aurora County,SD,46003,0.2799696607101622
observed,2020-05-15,Aurora County,SD,46003,0.23998483382825114
observed,2020-05-16,Aurora County,SD,46003,0.2000000069463379
observed,2020-05-17,Aurora County,SD,46003,0.43998484077458905
observed,2020-05-18,Aurora County,SD,46003,0.629969672866254
observed,2020-05-19,Aurora County,SD,46003,0.5000000173658458
observed,2020-05-20,Aurora County,SD,46003,0.41001518874734866
observed,2020-02-16,Beadle County,SD,46005,8.480007881778418
observed,2020-02-17,Beadle County,SD,46005,7.899992687126682
observed,2020-02-18,Beadle County,SD,46005,8.100000281326698
observed,2020-02-19,Beadle County,SD,46005,7.510015435342355
observed,2020-02-20,Beadle County,SD,46005,7.920000275074993
observed,2020-02-21,Beadle County,SD,46005,8.610023060800893
observed,2020-02-22,Beadle County,SD,46005,8.419985117933484
observed,2020-02-23,Beadle County,SD,46005,7.749969920155895
observed,2020-02-24,Beadle County,SD,46005,7.679977504978353
observed,2020-02-25,Beadle County,SD,46005,7.600015438468208
observed,2020-02-26,Beadle County,SD,46005,7.800023032668224
observed,2020-02-27,Beadle County,SD,46005,7.449992671497421
observed,2020-02-28,Beadle County,SD,46005,6.3600229826545895
observed,2020-02-29,Beadle County,SD,46005,6.579969879519817
observed,2020-03-01,Beadle County,SD,46005,6.369992633987194
observed,2020-03-02,Beadle County,SD,46005,6.81002299828385
observed,2020-03-03,Beadle County,SD,46005,6.3800305706029
observed,2020-03-04,Beadle County,SD,46005,6.009992621483786
observed,2020-03-05,Beadle County,SD,46005,5.480030539344379
observed,2020-03-06,Beadle County,SD,46005,5.220000181299427
observed,2020-03-07,Beadle County,SD,46005,5.120030526840969
observed,2020-03-08,Beadle County,SD,46005,4.459984980395986
observed,2020-03-09,Beadle County,SD,46005,4.470022917011693
observed,2020-03-10,Beadle County,SD,46005,4.1400001437892
observed,2020-03-11,Beadle County,SD,46005,4.200022907634136
observed,2020-03-12,Beadle County,SD,46005,4.169977383070119
observed,2020-03-13,Beadle County,SD,46005,4.169977383070119
observed,2020-03-14,Beadle County,SD,46005,4.630015335315085
observed,2020-03-15,Beadle County,SD,46005,4.4500153290633815
observed,2020-03-16,Beadle County,SD,46005,4.580030508085857
observed,2020-03-17,Beadle County,SD,46005,4.529977395573527
observed,2020-03-18,Beadle County,SD,46005,5.330007772373592
observed,2020-03-19,Beadle County,SD,46005,5.249977420580345
observed,2020-03-20,Beadle County,SD,46005,4.4900305049600036
observed,2020-03-21,Beadle County,SD,46005,4.740022926389249
observed,2020-03-22,Beadle County,SD,46005,4.270015322811677
observed,2020-03-23,Beadle County,SD,46005,3.770030479953187
observed,2020-03-24,Beadle County,SD,46005,3.719977367440858
observed,2020-03-25,Beadle County,SD,46005,3.0699697576115805
observed,2020-03-26,Beadle County,SD,46005,2.679992505827255
observed,2020-03-27,Beadle County,SD,46005,2.319992493323845
observed,2020-03-28,Beadle County,SD,46005,2.0799697232272067
observed,2020-03-29,Beadle County,SD,46005,1.680022820110275
observed,2020-03-30,Beadle County,SD,46005,1.2500303924293257
observed,2020-03-31,Beadle County,SD,46005,1.2300228044810138
observed,2020-04-01,Beadle County,SD,46005,0.8100000281326695
observed,2020-04-02,Beadle County,SD,46005,0.8199696794652762
observed,2020-04-03,Beadle County,SD,46005,0.5499696700877191
observed,2020-04-04,Beadle County,SD,46005,0.42002277634834434
observed,2020-04-05,Beadle County,SD,46005,0.2200151821483282
observed,2020-04-06,Beadle County,SD,46005,0.20000759420001613
observed,2020-04-07,Beadle County,SD,46005,0.2200151821483282
observed,2020-04-08,Beadle County,SD,46005,0.24002277009663828
observed,2020-04-09,Beadle County,SD,46005,0.209977245532621
observed,2020-04-10,Beadle County,SD,46005,0.29000759732586917
observed,2020-04-11,Beadle County,SD,46005,0.279969660710162
observed,2020-04-12,Beadle County,SD,46005,0.22998483348093304
observed,2020-04-13,Beadle County,SD,46005,0.13001517902247517
observed,2020-04-14,Beadle County,SD,46005,0.06999241517754098
observed,2020-04-15,Beadle County,SD,46005,0.029977239280916904
observed,2020-04-16,Beadle County,SD,46005,0.0
observed,2020-04-17,Beadle County,SD,46005,0.11997724240676992
observed,2020-04-18,Beadle County,SD,46005,0.009969651332604867
observed,2020-04-19,Beadle County,SD,46005,0.0
observed,2020-04-20,Beadle County,SD,46005,0.0
observed,2020-04-21,Beadle County,SD,46005,0.0
observed,2020-04-22,Beadle County,SD,46005,0.0
observed,2020-04-23,Beadle County,SD,46005,0.0
observed,2020-04-24,Beadle County,SD,46005,0.0
observed,2020-04-25,Beadle County,SD,46005,0.0
observed,2020-04-26,Beadle County,SD,46005,0.0
observed,2020-04-27,Beadle County,SD,46005,0.0
observed,2020-04-28,Beadle County,SD,46005,0.0
observed,2020-04-29,Beadle County,SD,46005,0.0
observed,2020-04-30,Beadle County,SD,46005,0.0
observed,2020-05-01,Beadle County,SD,46005,0.06002276384493418
observed,2020-05-02,Beadle County,SD,46005,0.15999241830339206
observed,2020-05-03,Beadle County,SD,46005,0.11000759107416312
observed,2020-05-04,Beadle County,SD,46005,0.299977248658474
observed,2020-05-05,Beadle County,SD,46005,0.31998483660678606
observed,2020-05-06,Beadle County,SD,46005,0.1500227669707872
observed,2020-05-07,Beadle County,SD,46005,0.02000758794831204
observed,2020-05-08,Beadle County,SD,46005,0.06002276384493418
observed,2020-05-09,Beadle County,SD,46005,0.0
observed,2020-05-10,Beadle County,SD,46005,0.0
observed,2020-05-11,Beadle County,SD,46005,0.049984827229228944
observed,2020-05-12,Beadle County,SD,46005,0.24999242142924508
observed,2020-05-13,Beadle County,SD,46005,0.09000000312585302
observed,2020-05-14,Beadle County,SD,46005,0.369969663836015
