condition,date,county,state,fips,illness
observed,2020-02-16,Anderson County,TN,47001,3.8400001333696934
observed,2020-02-17,Anderson County,TN,47001,3.6499849522633165
observed,2020-02-18,Anderson County,TN,47001,3.480000120866284
observed,2020-02-19,Anderson County,TN,47001,3.4600152946790064
observed,2020-02-20,Anderson County,TN,47001,2.890015274881943
observed,2020-02-21,Anderson County,TN,47001,2.790000096901418
observed,2020-02-22,Anderson County,TN,47001,2.7100152686302383
observed,2020-02-23,Anderson County,TN,47001,2.790000096901418
observed,2020-02-24,Anderson County,TN,47001,2.5099849126691884
observed,2020-02-25,Anderson County,TN,47001,2.370000082314108
observed,2020-02-26,Anderson County,TN,47001,2.580000089607763
observed,2020-02-27,Anderson County,TN,47001,2.929984927256499
observed,2020-02-28,Anderson County,TN,47001,3.439984944969661
observed,2020-02-29,Anderson County,TN,47001,3.169984935592104
observed,2020-03-01,Anderson County,TN,47001,3.1300152832175483
observed,2020-03-02,Anderson County,TN,47001,3.540000122950186
observed,2020-03-03,Anderson County,TN,47001,3.829984958515021
observed,2020-03-04,Anderson County,TN,47001,3.7600153050985137
observed,2020-03-05,Anderson County,TN,47001,3.810000132327743
observed,2020-03-06,Anderson County,TN,47001,3.6600001271179887
observed,2020-03-07,Anderson County,TN,47001,3.480000120866284
observed,2020-03-08,Anderson County,TN,47001,3.409984943927711
observed,2020-03-09,Anderson County,TN,47001,3.750000130243841
observed,2020-03-10,Anderson County,TN,47001,4.240015321769726
observed,2020-03-11,Anderson County,TN,47001,4.249984973102332
observed,2020-03-12,Anderson County,TN,47001,4.759984990815494
observed,2020-03-13,Anderson County,TN,47001,4.480015330105331
observed,2020-03-14,Anderson County,TN,47001,4.879984994983297
observed,2020-03-15,Anderson County,TN,47001,4.690015337398986
observed,2020-03-16,Anderson County,TN,47001,5.310000184425279
observed,2020-03-17,Anderson County,TN,47001,4.950000171921871
observed,2020-03-18,Anderson County,TN,47001,4.8199849928993945
observed,2020-03-19,Anderson County,TN,47001,4.660015336357036
observed,2020-03-20,Anderson County,TN,47001,4.039984965808676
observed,2020-03-21,Anderson County,TN,47001,3.6600001271179887
observed,2020-03-22,Anderson County,TN,47001,3.1900152853014503
observed,2020-03-23,Anderson County,TN,47001,3.1099849335082035
observed,2020-03-24,Anderson County,TN,47001,2.6500152665463363
observed,2020-03-25,Anderson County,TN,47001,1.9800000687687482
observed,2020-03-26,Anderson County,TN,47001,1.9200000666848462
observed,2020-03-27,Anderson County,TN,47001,1.6900152332039131
observed,2020-03-28,Anderson County,TN,47001,1.4200152238263573
observed,2020-03-29,Anderson County,TN,47001,1.4400000500136352
observed,2020-03-30,Anderson County,TN,47001,1.480015225910258
observed,2020-03-31,Anderson County,TN,47001,1.2799848699492085
observed,2020-04-01,Anderson County,TN,47001,1.1500152144488003
observed,2020-04-02,Anderson County,TN,47001,0.9600000333424231
observed,2020-04-03,Anderson County,TN,47001,0.7900152019453921
observed,2020-04-04,Anderson County,TN,47001,0.8400000291746204
