condition,date,county,state,fips,illness
observed,2020-02-16,Anderson County,TX,48001,5.630007782793098
observed,2020-02-17,Anderson County,TX,48001,5.4200077754994425
observed,2020-02-18,Anderson County,TX,48001,5.4900077779306615
observed,2020-02-19,Anderson County,TX,48001,5.2599850081813395
observed,2020-02-20,Anderson County,TX,48001,5.0199774125920555
observed,2020-02-21,Anderson County,TX,48001,5.200022942365826
observed,2020-02-22,Anderson County,TX,48001,5.690022959384355
observed,2020-02-23,Anderson County,TX,48001,5.499992603770623
observed,2020-02-24,Anderson County,TX,48001,5.170015354070198
observed,2020-02-25,Anderson County,TX,48001,4.920022932640953
observed,2020-02-26,Anderson County,TX,48001,4.850022930209734
observed,2020-02-27,Anderson County,TX,48001,4.930007758480914
observed,2020-02-28,Anderson County,TX,48001,5.4900077779306615
observed,2020-02-29,Anderson County,TX,48001,5.590015368657509
observed,2020-03-01,Anderson County,TX,48001,5.049985000887684
observed,2020-03-02,Anderson County,TX,48001,5.1899850057501205
observed,2020-03-03,Anderson County,TX,48001,5.499992603770623
observed,2020-03-04,Anderson County,TX,48001,5.690022959384355
observed,2020-03-05,Anderson County,TX,48001,5.849992615926714
observed,2020-03-06,Anderson County,TX,48001,5.670000196928688
observed,2020-03-07,Anderson County,TX,48001,5.2599850081813395
observed,2020-03-08,Anderson County,TX,48001,5.2599850081813395
observed,2020-03-09,Anderson County,TX,48001,5.310015358932635
observed,2020-03-10,Anderson County,TX,48001,5.219992594045749
observed,2020-03-11,Anderson County,TX,48001,4.580007746324823
observed,2020-03-12,Anderson County,TX,48001,4.27000014830432
observed,2020-03-13,Anderson County,TX,48001,4.480000155597976
observed,2020-03-14,Anderson County,TX,48001,4.410000153166757
observed,2020-03-15,Anderson County,TX,48001,4.379992564871128
observed,2020-03-16,Anderson County,TX,48001,4.8300001677540685
observed,2020-03-17,Anderson County,TX,48001,4.559984983869156
observed,2020-03-18,Anderson County,TX,48001,4.760000165322849
observed,2020-03-19,Anderson County,TX,48001,5.530000192066252
observed,2020-03-20,Anderson County,TX,48001,5.079992589183313
observed,2020-03-21,Anderson County,TX,48001,4.920022932640953
observed,2020-03-22,Anderson County,TX,48001,4.5899925721647845
observed,2020-03-23,Anderson County,TX,48001,4.489984981437937
observed,2020-03-24,Anderson County,TX,48001,3.8299773712613434
observed,2020-03-25,Anderson County,TX,48001,3.660022888879023
observed,2020-03-26,Anderson County,TX,48001,3.479977359105251
observed,2020-03-27,Anderson County,TX,48001,2.540022849979528
observed,2020-03-28,Anderson County,TX,48001,1.8800152398029344
observed,2020-03-29,Anderson County,TX,48001,1.980022830529782
observed,2020-03-30,Anderson County,TX,48001,1.7100076466448695
observed,2020-03-31,Anderson County,TX,48001,1.3099772837374815
observed,2020-04-01,Anderson County,TX,48001,1.26000004376193
observed,2020-04-02,Anderson County,TX,48001,1.2999924578975208
observed,2020-04-03,Anderson County,TX,48001,1.0000227964927249
observed,2020-04-04,Anderson County,TX,48001,0.7900227891990692
observed,2020-04-05,Anderson County,TX,48001,0.8300152033346584
observed,2020-04-06,Anderson County,TX,48001,0.9000152057658773
observed,2020-04-07,Anderson County,TX,48001,0.870007617470249
observed,2020-04-08,Anderson County,TX,48001,0.6799772618565164
observed,2020-04-09,Anderson County,TX,48001,0.4900000170185286
observed,2020-04-10,Anderson County,TX,48001,0.3400151863161298
observed,2020-04-11,Anderson County,TX,48001,0.28998483556483523
observed,2020-04-12,Anderson County,TX,48001,0.6799772618565164
observed,2020-04-13,Anderson County,TX,48001,0.9800000340370572
observed,2020-04-14,Anderson County,TX,48001,1.0599848623082369
observed,2020-04-15,Anderson County,TX,48001,1.0700227989239424
observed,2020-04-16,Anderson County,TX,48001,0.9000152057658773
observed,2020-04-17,Anderson County,TX,48001,0.9199848574458003
observed,2020-04-18,Anderson County,TX,48001,0.9800000340370572
observed,2020-04-19,Anderson County,TX,48001,0.8300152033346584
observed,2020-04-20,Anderson County,TX,48001,0.8300152033346584
observed,2020-04-21,Anderson County,TX,48001,0.42998484042727175
observed,2020-04-22,Anderson County,TX,48001,0.35000001215609206
observed,2020-04-23,Anderson County,TX,48001,0.35000001215609206
observed,2020-04-24,Anderson County,TX,48001,0.4100151887473488
observed,2020-04-25,Anderson County,TX,48001,0.21998483313361625
observed,2020-04-26,Anderson County,TX,48001,0.24999242142924463
observed,2020-04-27,Anderson County,TX,48001,0.17999241899802712
observed,2020-04-28,Anderson County,TX,48001,0.14000000486243652
observed,2020-04-29,Anderson County,TX,48001,0.1600227673181042
