condition,date,county,state,fips,illness
observed,2020-02-16,Beaver County,UT,49001,5.950000206653562
observed,2020-02-17,Beaver County,UT,49001,6.090000211515998
observed,2020-02-18,Beaver County,UT,49001,6.180022976402884
observed,2020-02-19,Beaver County,UT,49001,6.360015395400911
observed,2020-02-20,Beaver County,UT,49001,6.309985044649615
observed,2020-02-21,Beaver County,UT,49001,5.950000206653562
observed,2020-02-22,Beaver County,UT,49001,6.05999262322037
observed,2020-02-23,Beaver County,UT,49001,6.05999262322037
observed,2020-02-24,Beaver County,UT,49001,5.6799850227686495
observed,2020-02-25,Beaver County,UT,49001,5.14000776577457
observed,2020-02-26,Beaver County,UT,49001,5.0199774125920555
observed,2020-02-27,Beaver County,UT,49001,5.130022939934609
observed,2020-02-28,Beaver County,UT,49001,4.500022918053643
observed,2020-02-29,Beaver County,UT,49001,4.319977388279872
observed,2020-03-01,Beaver County,UT,49001,4.3499849765755005
observed,2020-03-02,Beaver County,UT,49001,4.069984966850627
observed,2020-03-03,Beaver County,UT,49001,4.0800229034663325
observed,2020-03-04,Beaver County,UT,49001,3.940022898603896
observed,2020-03-05,Beaver County,UT,49001,4.540015332189233
observed,2020-03-06,Beaver County,UT,49001,4.230007734168732
observed,2020-03-07,Beaver County,UT,49001,4.279984974144282
observed,2020-03-08,Beaver County,UT,49001,4.79999257945844
observed,2020-03-09,Beaver County,UT,49001,4.599977398004745
observed,2020-03-10,Beaver County,UT,49001,4.850022930209734
observed,2020-03-11,Beaver County,UT,49001,4.449992567302347
observed,2020-03-12,Beaver County,UT,49001,4.41998497900672
observed,2020-03-13,Beaver County,UT,49001,4.1500229058975515
observed,2020-03-14,Beaver County,UT,49001,4.370007739031168
observed,2020-03-15,Beaver County,UT,49001,4.5199925697335654
observed,2020-03-16,Beaver County,UT,49001,4.3499849765755005
observed,2020-03-17,Beaver County,UT,49001,4.480000155597976
observed,2020-03-18,Beaver County,UT,49001,4.669977400435964
observed,2020-03-19,Beaver County,UT,49001,5.410022949659481
observed,2020-03-20,Beaver County,UT,49001,5.06002293750339
observed,2020-03-21,Beaver County,UT,49001,4.41998497900672
observed,2020-03-22,Beaver County,UT,49001,3.780000131285792
observed,2020-03-23,Beaver County,UT,49001,3.1199925211091983
observed,2020-03-24,Beaver County,UT,49001,2.9199773396555053
observed,2020-03-25,Beaver County,UT,49001,2.370015256821463
observed,2020-03-26,Beaver County,UT,49001,1.7599848866204209
observed,2020-03-27,Beaver County,UT,49001,1.129984864739456
observed,2020-03-28,Beaver County,UT,49001,0.8499848550145813
observed,2020-03-29,Beaver County,UT,49001,0.7200227867678503
observed,2020-03-30,Beaver County,UT,49001,0.7200227867678503
observed,2020-03-31,Beaver County,UT,49001,0.6799772618565164
observed,2020-04-01,Beaver County,UT,49001,0.7799848525833638
observed,2020-04-02,Beaver County,UT,49001,0.80000761503903
observed,2020-04-03,Beaver County,UT,49001,0.7700000267434016
observed,2020-04-04,Beaver County,UT,49001,0.9899848598770178
observed,2020-04-05,Beaver County,UT,49001,0.7300076126078124
observed,2020-04-06,Beaver County,UT,49001,0.7399924384477732
observed,2020-04-07,Beaver County,UT,49001,0.6799772618565164
observed,2020-04-08,Beaver County,UT,49001,0.8199772667189529
observed,2020-04-09,Beaver County,UT,49001,0.9599772715813895
observed,2020-04-10,Beaver County,UT,49001,0.9199848574458003
observed,2020-04-11,Beaver County,UT,49001,0.8300152033346584
observed,2020-04-12,Beaver County,UT,49001,0.9199848574458003
observed,2020-04-13,Beaver County,UT,49001,0.7799848525833638
observed,2020-04-14,Beaver County,UT,49001,0.5500151936097853
observed,2020-04-15,Beaver County,UT,49001,0.5600000194497475
observed,2020-04-16,Beaver County,UT,49001,0.5100227794741963
observed,2020-04-17,Beaver County,UT,49001,0.6900151984722218
observed,2020-04-18,Beaver County,UT,49001,0.7399924384477732
observed,2020-04-19,Beaver County,UT,49001,0.7300076126078124
observed,2020-04-20,Beaver County,UT,49001,0.6399848477209273
observed,2020-04-21,Beaver County,UT,49001,0.6900151984722218
observed,2020-04-22,Beaver County,UT,49001,0.7000000243121841
observed,2020-04-23,Beaver County,UT,49001,0.6399848477209273
observed,2020-04-24,Beaver County,UT,49001,0.3700227746117597
observed,2020-04-25,Beaver County,UT,49001,0.10999241656680812
observed,2020-04-26,Beaver County,UT,49001,0.03000758829562839
observed,2020-04-27,Beaver County,UT,49001,0.0
observed,2020-04-28,Beaver County,UT,49001,0.0
observed,2020-04-29,Beaver County,UT,49001,0.0
observed,2020-04-30,Beaver County,UT,49001,0.0
observed,2020-05-01,Beaver County,UT,49001,0.0
observed,2020-05-02,Beaver County,UT,49001,0.009984825839960718
observed,2020-05-03,Beaver County,UT,49001,0.009984825839960718
observed,2020-05-04,Beaver County,UT,49001,0.18997724483798786
observed,2020-05-05,Beaver County,UT,49001,0.24999242142924463
observed,2020-05-06,Beaver County,UT,49001,0.10000759072684741
observed,2020-05-07,Beaver County,UT,49001,0.1300151790224758
observed,2020-05-08,Beaver County,UT,49001,0.17999241899802712
observed,2020-05-09,Beaver County,UT,49001,0.24000759558928392
observed,2020-05-10,Beaver County,UT,49001,0.18997724483798786
observed,2020-05-11,Beaver County,UT,49001,0.25997724726920685
observed,2020-05-12,Beaver County,UT,49001,0.07998482827117973
observed,2020-05-13,Beaver County,UT,49001,0.0
observed,2020-05-14,Beaver County,UT,49001,0.1300151790224758
observed,2020-05-15,Beaver County,UT,49001,0.10999241656680812
observed,2020-05-16,Beaver County,UT,49001,0.0
observed,2020-05-17,Beaver County,UT,49001,0.06001517659125678
observed,2020-05-18,Beaver County,UT,49001,0.09002276488688518
observed,2020-05-19,Beaver County,UT,49001,0.07000000243121901
observed,2020-05-20,Beaver County,UT,49001,0.10999241656680812
observed,2020-02-16,Box Elder County,UT,49003,5.499992603770623
observed,2020-02-17,Box Elder County,UT,49003,5.760022961815574
observed,2020-02-18,Box Elder County,UT,49003,5.4900077779306615
observed,2020-02-19,Box Elder County,UT,49003,6.180022976402884
observed,2020-02-20,Box Elder County,UT,49003,6.279977456353986
observed,2020-02-21,Box Elder County,UT,49003,6.269992630514025
observed,2020-02-22,Box Elder County,UT,49003,6.689992645101335
observed,2020-02-23,Box Elder County,UT,49003,6.850015412419439
observed,2020-02-24,Box Elder County,UT,49003,6.4199774612164235
observed,2020-02-25,Box Elder County,UT,49003,5.870015378382382
observed,2020-02-26,Box Elder County,UT,49003,5.810000201791125
observed,2020-02-27,Box Elder County,UT,49003,5.4900077779306615
observed,2020-02-28,Box Elder County,UT,49003,5.2599850081813395
observed,2020-02-29,Box Elder County,UT,49003,5.310015358932635
observed,2020-03-01,Box Elder County,UT,49003,5.1899850057501205
observed,2020-03-02,Box Elder County,UT,49003,5.159977417454493
observed,2020-03-03,Box Elder County,UT,49003,5.2500001823413776
observed,2020-03-04,Box Elder County,UT,49003,5.14000776577457
observed,2020-03-05,Box Elder County,UT,49003,5.539985017906213
observed,2020-03-06,Box Elder County,UT,49003,5.2400153565014165
observed,2020-03-07,Box Elder County,UT,49003,5.009992586752094
observed,2020-03-08,Box Elder County,UT,49003,5.299977422316929
observed,2020-03-09,Box Elder County,UT,49003,5.009992586752094
observed,2020-03-10,Box Elder County,UT,49003,4.739977402867183
observed,2020-03-11,Box Elder County,UT,49003,4.120015317601923
observed,2020-03-12,Box Elder County,UT,49003,4.0800229034663325
observed,2020-03-13,Box Elder County,UT,49003,3.8899925478526
observed,2020-03-14,Box Elder County,UT,49003,4.279984974144282
observed,2020-03-15,Box Elder County,UT,49003,4.599977398004745
observed,2020-03-16,Box Elder County,UT,49003,4.510007743893604
observed,2020-03-17,Box Elder County,UT,49003,4.659992574596004
observed,2020-03-18,Box Elder County,UT,49003,4.690000162891631
observed,2020-03-19,Box Elder County,UT,49003,5.2500001823413776
observed,2020-03-20,Box Elder County,UT,49003,5.009992586752094
observed,2020-03-21,Box Elder County,UT,49003,4.489984981437937
observed,2020-03-22,Box Elder County,UT,49003,3.660022888879023
observed,2020-03-23,Box Elder County,UT,49003,3.2299849376760066
observed,2020-03-24,Box Elder County,UT,49003,3.1100076952692364
observed,2020-03-25,Box Elder County,UT,49003,2.540022849979528
observed,2020-03-26,Box Elder County,UT,49003,1.8999848914828574
observed,2020-03-27,Box Elder County,UT,49003,1.2900076320575586
observed,2020-03-28,Box Elder County,UT,49003,0.9199848574458003
observed,2020-03-29,Box Elder County,UT,49003,0.7900227891990692
observed,2020-03-30,Box Elder County,UT,49003,0.7700000267434016
observed,2020-03-31,Box Elder County,UT,49003,0.8099924408789922
observed,2020-04-01,Box Elder County,UT,49003,0.7799848525833638
observed,2020-04-02,Box Elder County,UT,49003,0.7300076126078124
observed,2020-04-03,Box Elder County,UT,49003,0.590007607745376
observed,2020-04-04,Box Elder County,UT,49003,0.7600152009034409
observed,2020-04-05,Box Elder County,UT,49003,0.48001519117856783
observed,2020-04-06,Box Elder County,UT,49003,0.4900000170185286
observed,2020-04-07,Box Elder County,UT,49003,0.4699772545628609
observed,2020-04-08,Box Elder County,UT,49003,0.5999924335853367
observed,2020-04-09,Box Elder County,UT,49003,0.6900151984722218
observed,2020-04-10,Box Elder County,UT,49003,0.6699924360165557
observed,2020-04-11,Box Elder County,UT,49003,0.5800227819054138
observed,2020-04-12,Box Elder County,UT,49003,0.6200151960410043
observed,2020-04-13,Box Elder County,UT,49003,0.5699848452897083
observed,2020-04-14,Box Elder County,UT,49003,0.31000759802050143
observed,2020-04-15,Box Elder County,UT,49003,0.2300227697493217
observed,2020-04-16,Box Elder County,UT,49003,0.17999241899802712
observed,2020-04-17,Box Elder County,UT,49003,0.45999242872290014
observed,2020-04-18,Box Elder County,UT,49003,0.590007607745376
observed,2020-04-19,Box Elder County,UT,49003,0.590007607745376
observed,2020-04-20,Box Elder County,UT,49003,0.5600000194497475
observed,2020-04-21,Box Elder County,UT,49003,0.5200076053141569
observed,2020-04-22,Box Elder County,UT,49003,0.53997725699408
observed,2020-04-23,Box Elder County,UT,49003,0.5699848452897083
observed,2020-04-24,Box Elder County,UT,49003,0.31999242386046367
observed,2020-04-25,Box Elder County,UT,49003,0.09002276488688518
observed,2020-04-26,Box Elder County,UT,49003,0.0
observed,2020-04-27,Box Elder County,UT,49003,0.0
observed,2020-04-28,Box Elder County,UT,49003,0.0
