condition,date,county,state,fips,illness
observed,2020-02-16,Accomack County,VA,51001,7.509985086327645
observed,2020-02-17,Accomack County,VA,51001,6.9200002403433025
observed,2020-02-18,Accomack County,VA,51001,6.420030571992168
observed,2020-02-19,Accomack County,VA,51001,6.699969883687619
observed,2020-02-20,Accomack County,VA,51001,6.1700153888018905
observed,2020-02-21,Accomack County,VA,51001,6.099969862848605
observed,2020-02-22,Accomack County,VA,51001,6.010015383244818
observed,2020-02-23,Accomack County,VA,51001,5.779969851734463
observed,2020-02-24,Accomack County,VA,51001,5.979969858680802
observed,2020-02-25,Accomack County,VA,51001,5.6299850210320646
observed,2020-02-26,Accomack County,VA,51001,5.669985022421334
observed,2020-02-27,Accomack County,VA,51001,4.920000170879919
observed,2020-02-28,Accomack County,VA,51001,4.890015344345324
observed,2020-02-29,Accomack County,VA,51001,5.000000173658456
observed,2020-03-01,Accomack County,VA,51001,5.080000176436991
observed,2020-03-02,Accomack County,VA,51001,5.040000175047722
observed,2020-03-03,Accomack County,VA,51001,5.340030534481942
observed,2020-03-04,Accomack County,VA,51001,5.000000173658456
observed,2020-03-05,Accomack County,VA,51001,4.7700153401775225
observed,2020-03-06,Accomack County,VA,51001,4.539969808667166
observed,2020-03-07,Accomack County,VA,51001,4.570015333231184
observed,2020-03-08,Accomack County,VA,51001,4.620030509475124
observed,2020-03-09,Accomack County,VA,51001,4.659969812834969
observed,2020-03-10,Accomack County,VA,51001,4.570015333231184
observed,2020-03-11,Accomack County,VA,51001,4.360000151430173
observed,2020-03-12,Accomack County,VA,51001,4.210015320727776
observed,2020-03-13,Accomack County,VA,51001,4.480000155597976
observed,2020-03-14,Accomack County,VA,51001,4.720000163933582
observed,2020-03-15,Accomack County,VA,51001,5.099969828116913
observed,2020-03-16,Accomack County,VA,51001,4.890015344345324
observed,2020-03-17,Accomack County,VA,51001,4.640000161155045
observed,2020-03-18,Accomack County,VA,51001,4.650015336009719
observed,2020-03-19,Accomack County,VA,51001,4.499969807277899
observed,2020-03-20,Accomack County,VA,51001,4.200000145873102
observed,2020-03-21,Accomack County,VA,51001,3.9700153123921695
observed,2020-03-22,Accomack County,VA,51001,3.7799697822710816
observed,2020-03-23,Accomack County,VA,51001,3.5600001236448207
observed,2020-03-24,Accomack County,VA,51001,3.1800304594614883
observed,2020-03-25,Accomack County,VA,51001,2.7899849223940625
observed,2020-03-26,Accomack County,VA,51001,2.450015259599999
observed,2020-03-27,Accomack County,VA,51001,2.330015255432196
observed,2020-03-28,Accomack County,VA,51001,1.9200000666848471
observed,2020-03-29,Accomack County,VA,51001,1.5099848779374985
observed,2020-03-30,Accomack County,VA,51001,1.4599697016935576
observed,2020-03-31,Accomack County,VA,51001,1.5099848779374985
observed,2020-04-01,Accomack County,VA,51001,1.5700152290361113
observed,2020-04-02,Accomack County,VA,51001,1.5700152290361113
observed,2020-04-03,Accomack County,VA,51001,1.5099848779374985
observed,2020-04-04,Accomack County,VA,51001,1.3399696975257545
observed,2020-04-05,Accomack County,VA,51001,1.229984868212625
observed,2020-04-06,Accomack County,VA,51001,1.25996969474722
observed,2020-04-07,Accomack County,VA,51001,1.019969686411614
observed,2020-04-08,Accomack County,VA,51001,0.6299848473736093
observed,2020-04-09,Accomack County,VA,51001,0.49001519152588463
observed,2020-04-10,Accomack County,VA,51001,0.4200303636020206
observed,2020-04-11,Accomack County,VA,51001,0.33996966279406376
observed,2020-04-12,Accomack County,VA,51001,0.3099848362594686
observed,2020-04-13,Accomack County,VA,51001,0.3700151873580815
