condition,date,county,state,fips,illness
observed,2020-02-16,Adams County,WA,53001,5.4900077779306615
observed,2020-02-17,Adams County,WA,53001,6.220015390538474
observed,2020-02-18,Adams County,WA,53001,5.709992611064278
observed,2020-02-19,Adams County,WA,53001,6.330007807105282
observed,2020-02-20,Adams County,WA,53001,5.98000779494919
observed,2020-02-21,Adams County,WA,53001,5.740000199359907
observed,2020-02-22,Adams County,WA,53001,5.649977434473021
observed,2020-02-23,Adams County,WA,53001,5.620022956953138
observed,2020-02-24,Adams County,WA,53001,5.530000192066252
observed,2020-02-25,Adams County,WA,53001,5.280007770637006
observed,2020-02-26,Adams County,WA,53001,4.769984991162811
observed,2020-02-27,Adams County,WA,53001,4.160007731737513
observed,2020-02-28,Adams County,WA,53001,4.309992562439911
observed,2020-02-29,Adams County,WA,53001,4.389977390711091
observed,2020-03-01,Adams County,WA,53001,4.680015337051669
observed,2020-03-02,Adams County,WA,53001,4.8099774052984
observed,2020-03-03,Adams County,WA,53001,5.149992591614532
observed,2020-03-04,Adams County,WA,53001,5.089977415023274
observed,2020-03-05,Adams County,WA,53001,4.8099774052984
observed,2020-03-06,Adams County,WA,53001,5.210007768205789
observed,2020-03-07,Adams County,WA,53001,5.079992589183313
observed,2020-03-08,Adams County,WA,53001,5.4399774271793655
observed,2020-03-09,Adams County,WA,53001,5.740000199359907
observed,2020-03-10,Adams County,WA,53001,5.450015363795073
observed,2020-03-11,Adams County,WA,53001,4.769984991162811
observed,2020-03-12,Adams County,WA,53001,5.06002293750339
observed,2020-03-13,Adams County,WA,53001,4.970000172616505
observed,2020-03-14,Adams County,WA,53001,4.72000775118726
observed,2020-03-15,Adams County,WA,53001,5.14000776577457
observed,2020-03-16,Adams County,WA,53001,5.149992591614532
observed,2020-03-17,Adams County,WA,53001,4.8099774052984
observed,2020-03-18,Adams County,WA,53001,5.049985000887684
observed,2020-03-19,Adams County,WA,53001,5.159977417454493
observed,2020-03-20,Adams County,WA,53001,4.990022935072172
