condition,date,county,state,fips,illness
observed,2020-02-15,Adams County,WI,55001,10.709999999999999
observed,2020-02-16,Adams County,WI,55001,10.84999746835443
observed,2020-02-17,Adams County,WI,55001,11.07
observed,2020-02-18,Adams County,WI,55001,10.579974683544304
observed,2020-02-19,Adams County,WI,55001,10.330025316455696
observed,2020-02-20,Adams County,WI,55001,9.949974683544303
observed,2020-02-21,Adams County,WI,55001,9.490025316455696
observed,2020-02-22,Adams County,WI,55001,8.94
observed,2020-02-23,Adams County,WI,55001,9.340025316455696
observed,2020-02-24,Adams County,WI,55001,8.91
observed,2020-02-25,Adams County,WI,55001,8.089974683544304
observed,2020-02-26,Adams County,WI,55001,7.840025316455697
observed,2020-02-27,Adams County,WI,55001,7.530000000000001
observed,2020-02-28,Adams County,WI,55001,7.2299999999999995
observed,2020-02-29,Adams County,WI,55001,6.859974683544305
observed,2020-03-01,Adams County,WI,55001,6.66
observed,2020-03-02,Adams County,WI,55001,6.169974683544304
observed,2020-03-03,Adams County,WI,55001,6.130025316455695
observed,2020-03-04,Adams County,WI,55001,5.459999999999999
observed,2020-03-05,Adams County,WI,55001,4.83
observed,2020-03-06,Adams County,WI,55001,4.840025316455697
observed,2020-03-07,Adams County,WI,55001,4.56
observed,2020-03-08,Adams County,WI,55001,4.999974683544304
observed,2020-03-09,Adams County,WI,55001,5.16
observed,2020-03-10,Adams County,WI,55001,5.31
observed,2020-03-11,Adams County,WI,55001,5.149974683544303
observed,2020-03-12,Adams County,WI,55001,5.389974683544303
observed,2020-03-13,Adams County,WI,55001,5.800025316455696
observed,2020-03-14,Adams County,WI,55001,5.119974683544305
observed,2020-03-15,Adams County,WI,55001,5.560025316455696
observed,2020-03-16,Adams County,WI,55001,5.359974683544305
observed,2020-03-17,Adams County,WI,55001,5.19
observed,2020-03-18,Adams County,WI,55001,5.3200253164556965
observed,2020-03-19,Adams County,WI,55001,5.129999999999999
observed,2020-03-20,Adams County,WI,55001,4.729974683544303
observed,2020-03-21,Adams County,WI,55001,4.129974683544303
observed,2020-03-22,Adams County,WI,55001,3.8400000000000003
observed,2020-03-23,Adams County,WI,55001,3.139974683544303
observed,2020-03-24,Adams County,WI,55001,2.890025316455696
observed,2020-03-25,Adams County,WI,55001,2.370000000000001
observed,2020-03-26,Adams County,WI,55001,1.9200000000000002
observed,2020-03-27,Adams County,WI,55001,1.7800253164556972
observed,2020-03-28,Adams County,WI,55001,1.4200253164556964
observed,2020-03-29,Adams County,WI,55001,1.3699746835443047
observed,2020-03-30,Adams County,WI,55001,1.099974683544304
observed,2020-03-31,Adams County,WI,55001,0.9799746835443032
observed,2020-04-01,Adams County,WI,55001,0.889974683544303
observed,2020-04-02,Adams County,WI,55001,0.5100000000000002
