condition,date,county,state,fips,illness
observed,2020-02-16,Barbour County,WV,54001,9.689985162042731
observed,2020-02-17,Barbour County,WV,54001,9.370030674450657
observed,2020-02-18,Barbour County,WV,54001,9.670030684870163
observed,2020-02-19,Barbour County,WV,54001,9.300000323004728
observed,2020-02-20,Barbour County,WV,54001,9.610015508278908
observed,2020-02-21,Barbour County,WV,54001,9.570030681396995
observed,2020-02-22,Barbour County,WV,54001,9.52003067966041
observed,2020-02-23,Barbour County,WV,54001,9.420030676187242
observed,2020-02-24,Barbour County,WV,54001,8.950000310848635
observed,2020-02-25,Barbour County,WV,54001,8.250000286536453
observed,2020-02-26,Barbour County,WV,54001,7.820030620616537
observed,2020-02-27,Barbour County,WV,54001,6.889985064793996
observed,2020-02-28,Barbour County,WV,54001,6.429969874310064
observed,2020-02-29,Barbour County,WV,54001,6.160015388454572
observed,2020-03-01,Barbour County,WV,54001,6.310015393664326
observed,2020-03-02,Barbour County,WV,54001,7.2200305997775205
observed,2020-03-03,Barbour County,WV,54001,6.8500002379120835
observed,2020-03-04,Barbour County,WV,54001,7.03998507000375
observed,2020-03-05,Barbour County,WV,54001,6.5500002274925775
observed,2020-03-06,Barbour County,WV,54001,6.629969881256402
observed,2020-03-07,Barbour County,WV,54001,6.439985049164735
observed,2020-03-08,Barbour County,WV,54001,6.810015411030172
observed,2020-03-09,Barbour County,WV,54001,6.470030573728753
observed,2020-03-10,Barbour County,WV,54001,6.189985040481813
observed,2020-03-11,Barbour County,WV,54001,5.539985017906213
observed,2020-03-12,Barbour County,WV,54001,5.6200305442068155
observed,2020-03-13,Barbour County,WV,54001,5.889985030062305
observed,2020-03-14,Barbour County,WV,54001,5.660015371088726
observed,2020-03-15,Barbour County,WV,54001,5.1500001788682095
observed,2020-03-16,Barbour County,WV,54001,4.900000170185286
observed,2020-03-17,Barbour County,WV,54001,4.310015324200945
observed,2020-03-18,Barbour County,WV,54001,4.129969794427173
observed,2020-03-19,Barbour County,WV,54001,4.210015320727775
observed,2020-03-20,Barbour County,WV,54001,3.8399849588623374
observed,2020-03-21,Barbour County,WV,54001,3.220030460850756
observed,2020-03-22,Barbour County,WV,54001,2.950000102458489
observed,2020-03-23,Barbour County,WV,54001,2.689984918920894
observed,2020-03-24,Barbour County,WV,54001,2.310015254737562
observed,2020-03-25,Barbour County,WV,54001,1.770030410489805
observed,2020-03-26,Barbour County,WV,54001,1.7399848859257865
observed,2020-03-27,Barbour County,WV,54001,1.2399848685599406
observed,2020-03-28,Barbour County,WV,54001,1.1399848650867728
