condition,date,county,state,fips,illness
observed,2020-02-16,Albany County,WY,56001,5.280000183383328
observed,2020-02-17,Albany County,WY,56001,5.310000184425279
observed,2020-02-18,Albany County,WY,56001,5.100000177131624
observed,2020-02-19,Albany County,WY,56001,5.110015351986297
observed,2020-02-20,Albany County,WY,56001,5.280000183383328
observed,2020-02-21,Albany County,WY,56001,5.490000190676983
observed,2020-02-22,Albany County,WY,56001,5.479985015822311
observed,2020-02-23,Albany County,WY,56001,5.410015362405804
observed,2020-02-24,Albany County,WY,56001,5.34000018546723
observed,2020-02-25,Albany County,WY,56001,4.690015337398986
observed,2020-02-26,Albany County,WY,56001,4.579984984563789
observed,2020-02-27,Albany County,WY,56001,4.390015326979479
observed,2020-02-28,Albany County,WY,56001,3.4500001198243337
observed,2020-02-29,Albany County,WY,56001,4.290000148998954
observed,2020-03-01,Albany County,WY,56001,4.050000140663348
observed,2020-03-02,Albany County,WY,56001,3.979984963724774
observed,2020-03-03,Albany County,WY,56001,4.660015336357036
observed,2020-03-04,Albany County,WY,56001,4.909984996025247
observed,2020-03-05,Albany County,WY,56001,5.100000177131624
observed,2020-03-06,Albany County,WY,56001,4.740000164628216
observed,2020-03-07,Albany County,WY,56001,4.009984964766726
observed,2020-03-08,Albany County,WY,56001,4.110000142747249
observed,2020-03-09,Albany County,WY,56001,4.240015321769726
observed,2020-03-10,Albany County,WY,56001,4.050000140663348
observed,2020-03-11,Albany County,WY,56001,3.4500001198243337
observed,2020-03-12,Albany County,WY,56001,3.5500152978048587
observed,2020-03-13,Albany County,WY,56001,3.439984944969661
observed,2020-03-14,Albany County,WY,56001,4.0200001396213985
observed,2020-03-15,Albany County,WY,56001,3.930000136495546
observed,2020-03-16,Albany County,WY,56001,3.8400001333696934
observed,2020-03-17,Albany County,WY,56001,3.930000136495546
observed,2020-03-18,Albany County,WY,56001,3.9100153103082667
observed,2020-03-19,Albany County,WY,56001,4.6699849876896415
observed,2020-03-20,Albany County,WY,56001,4.5600001583765115
observed,2020-03-21,Albany County,WY,56001,4.309984975186232
observed,2020-03-22,Albany County,WY,56001,3.6600001271179887
observed,2020-03-23,Albany County,WY,56001,3.750000130243841
observed,2020-03-24,Albany County,WY,56001,3.559984949137464
observed,2020-03-25,Albany County,WY,56001,3.2100001114887284
observed,2020-03-26,Albany County,WY,56001,2.6700000927336154
observed,2020-03-27,Albany County,WY,56001,1.9300152415395186
observed,2020-03-28,Albany County,WY,56001,1.5499848793267657
observed,2020-03-29,Albany County,WY,56001,1.560000054181438
observed,2020-03-30,Albany County,WY,56001,1.519984878284815
observed,2020-03-31,Albany County,WY,56001,1.7200152342458634
observed,2020-04-01,Albany County,WY,56001,1.3500000468877829
observed,2020-04-02,Albany County,WY,56001,1.2300000427199802
observed,2020-04-03,Albany County,WY,56001,1.020000035426325
observed,2020-04-04,Albany County,WY,56001,0.9100152061131948
observed,2020-04-05,Albany County,WY,56001,0.9300000323004727
observed,2020-04-06,Albany County,WY,56001,0.9499848584877506
observed,2020-04-07,Albany County,WY,56001,0.8500152040292928
observed,2020-04-08,Albany County,WY,56001,0.7800000270907184
observed,2020-04-09,Albany County,WY,56001,0.73001519986149
observed,2020-04-10,Albany County,WY,56001,0.5100000177131625
